#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.141132
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.999967
N14: 0.930077
Scotussa_daguerrei: 0.944317
Dichromatos_lilloanus: 0.996291
Chlorus_bolivianus: 1.95682
Dichroplus_vittatus: 1.94517
Ronderosia_sp: 0.956152
Leiotettix_flavipes: 0.995968
Dichroplus_pratensis: 1.14261
Dichroplus_patruelis: 0.998126
Dichroplus_silveiraguidoi: 1.99797
Xyleus_laevipes: 0.995291
Total number of loss events: 15.0297
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N5: 0.926223
Dichroplus_conspersus: 0.853571
Dichroplus_pratensis: 0.85357
N26: 0.853066
N28: 0.875262
Dichroplus_democraticus: 1.00022
N32: 0.772071
N34: 0.765616
N37: 0.648986
N41: 0.8771
N43: 0.950319
Total number of duplication events: 11.5609
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 3.15322e-010
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	1.66111e-007	2.30365e-006	0.00275383	7.85228e-028
N3	3.2268e-007	1.96991e-007	9.87306e-005	1.20296e-026
N4	0.000128419	0.000128595	1.50839e-005	2.1199e-027
N5	2.18357e-009	1.76077e-007	0.926223	3.35272e-019
N6	4.97506e-008	1.63447e-008	0.0142648	3.94227e-021
N7	2.10073e-008	3.01798e-007	0.0586344	5.26765e-022
N8	0	1.66752e-025	1.55704e-005	2.08967e-023
N9	1.2758e-007	3.29322e-005	0.000747629	3.42306e-024
Atrachelacris_sp	2.26671e-008	0.999967	0.000114541	0
N10	2.74383e-005	6.08172e-008	9.49824e-006	4.95146e-019
Leiotettix_viridis	5.30861e-006	9.03001e-007	0.000105043	0
Pseudoscopas_nigrigena	5.30861e-006	9.03001e-007	0.000105043	0
N11	3.20616e-007	0.000233366	0.000599514	3.18401e-023
N12	4.24306e-007	0.0554803	0.000209408	1.51535e-018
N13	0.000561551	0.00475086	5.23555e-005	1.27119e-017
N14	7.60153e-009	0.930077	8.92238e-007	1.07499e-020
Leiotettix_pulcher	3.58339e-009	0.0100214	3.02696e-010	0
Tropidostethus_sp	3.58339e-009	0.0100214	3.02696e-010	0
Scotussa_lemniscata	0.0599017	2.54178e-007	8.92542e-007	0
Scotussa_daguerrei	2.90238e-005	0.944317	5.3248e-005	0
Scotussa_impudica	0.000500949	0.000303108	0.000262656	0
N15	7.80922e-007	0.00370811	0.000845516	2.55881e-022
Dichromatos_lilloanus	9.57519e-010	0.996291	3.22239e-005	0
Ommexecha_sp	0.00370728	1.7431e-006	3.22239e-005	0
Paulinia_acuminata	2.35197e-005	0.000632659	0.0595121	0
