#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.120037
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.999415
Dichromatos_lilloanus: 0.995522
Leiotettix_pulcher: 0.998312
Scotussa_daguerrei: 0.994901
Chlorus_bolivianus: 1.92146
Ronderosia_sp: 0.923616
Tropidostethus_sp: 0.997782
Dichroplus_vittatus: 1.9976
Leiotettix_flavipes: 0.995161
Dichroplus_patruelis: 0.999187
Dichroplus_pratensis: 1.06079
Dichroplus_silveiraguidoi: 1.99131
Xyleus_laevipes: 0.995694
Total number of loss events: 16.0317
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N6: 0.872884
Dichroplus_conspersus: 0.981446
Dichroplus_pratensis: 0.981356
Dichroplus_democraticus: 1.00216
N32: 0.510259
N36: 0.999255
N38: 0.79321
N43: 0.977886
Total number of duplication events: 9.22923
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 8.37911e-006
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.000893502	0.00101258	0.0287985	2.39116e-020
N3	0.000107906	0.000111248	0.000879643	7.70705e-022
N4	0.000109927	0.00010986	0.000455253	1.27375e-021
N5	0.000391913	0.000395312	0.000258332	2.64006e-021
N6	1.49847e-005	1.43094e-005	0.872884	2.06352e-014
N7	5.45703e-007	2.89061e-006	0.122823	1.07532e-015
N8	1.91203e-007	6.47555e-005	0.00324024	6.19915e-021
N9	1.37386e-005	0.000772462	0.000977016	1.98986e-013
Atrachelacris_sp	8.3603e-008	0.999415	8.29359e-005	3.21242e-012
N10	0.000574025	3.30559e-006	3.80343e-005	4.03685e-014
Leiotettix_viridis	0.000149362	0.000933578	4.49016e-005	4.22424e-013
N11	0.000146338	0.000652707	4.48213e-005	3.3902e-011
Ommatolampis_sp	1.13396e-008	2.48488e-007	8.03065e-008	0
Pseudoscopas_nigrigena	1.13396e-008	2.48488e-007	8.03065e-008	0
N12	4.62824e-007	0.00441672	0.000643899	6.25322e-020
Dichromatos_lilloanus	8.67279e-006	0.995522	0.000416053	3.43135e-012
N13	6.66294e-005	0.000687498	0.000208539	1.00578e-015
N14	0.00499164	0.00094687	0.000200825	2.15755e-011
N15	4.01532e-006	0.00143984	6.49838e-006	2.04091e-014
Leiotettix_pulcher	4.60076e-011	0.998312	1.90348e-007	0
Scotussa_lemniscata	0.00168821	2.62068e-007	1.90348e-007	0
Scotussa_impudica	0.000260524	0.000239629	6.68873e-006	8.05243e-011
Scotussa_daguerrei	3.19616e-006	0.994901	0.000207513	2.06416e-010
N16	1.62881e-007	4.23891e-005	0.0010232	3.73674e-021
N17	2.81419e-006	0.0759838	0.000465535	1.03374e-015
Chlorus_bolivianus	2.20166e-008	1.92146	0.00281146	0
N18	0.00318305	0.0040374	0.00269632	3.40155e-006
Paulinia_acuminata	0.0763881	0.000219877	0.000115163	2.09983e-007
Ronderosia_sp	4.19965e-007	0.923616	0.00011515	0
N19	4.75416e-006	1.08729e-005	0.000614431	6.00639e-019
N20	4.23396e-006	0.000667917	0.000929949	3.87425e-013
N21	0.000235419	2.84984e-006	0.00059283	3.26464e-013
N22	1.11806e-005	0.00174949	0.000860006	8.81608e-012
Dichroplus_maculipennis	0.00235169	0.000916446	0.00027971	1.15614e-009
Tropidostethus_sp	2.99147e-007	0.997782	0.00027971	0
Ommexecha_sp	0.000615296	0.00132218	0.00113972	1.67296e-009
Dichroplus_vittatus	1.00497e-011	1.9976	0.00173261	0
N23	0.000135057	0.00519195	0.00242172	4.66422e-013
Leiotettix_flavipes	1.49019e-008	0.995161	0.000240844	0
Marellia_remipes	0.00485092	0.000267037	0.000240845	4.04149e-009
N24	1.31065e-005	0.000213779	0.0771609	3.49444e-013
N25	0.000166961	0.00189478	0.0495969	9.49035e-012
Dichroplus_elongatus	1.17903e-005	3.01365e-006	0.000365446	0
N26	1.24386e-007	0.000803933	0.000359484	2.05673e-018
Dichroplus_paraelongatus	0.000812621	4.40789e-008	5.96156e-006	0
