#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.645078
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 1.00395
Leiotettix_pulcher: 0.996417
Scotussa_daguerrei: 1.00662
Dichroplus_pratensis: 1.12056
Dichroplus_silveiraguidoi: 1.96504
Dichroplus_patruelis: 0.997523
Chlorus_bolivianus: 1.25802
Tropidostethus_sp: 0.713374
Dichromatos_lilloanus: 0.758979
Dichroplus_vittatus: 1.30189
Leiotettix_flavipes: 0.744399
Ronderosia_sp: 0.771296
Xyleus_laevipes: 0.997708
Total number of loss events: 14.2187
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N7: 0.856925
Dichroplus_conspersus: 0.869283
Dichroplus_pratensis: 0.869282
Dichroplus_democraticus: 1.00017
Marellia_remipes: 0.976673
N20: 0.97131
N22: 0.97955
Dichromatos_lilloanus: 0.618884
Ronderosia_sp: 0.637633
Ommatolampis_sp: 1.04222
N31: 0.614969
N32: 0.543124
N37: 0.72124
N41: 1.00924
N43: 1.58584
Total number of duplication events: 20.1024
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 2.58019e-006
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00213915	0.00373862	0.451653	1.94009e-018
N3	5.97273e-005	6.96895e-005	0.0617962	4.83815e-020
N4	0.00103958	0.00105272	0.124266	2.91691e-018
N5	0.000154719	0.000182677	0.0398065	1.60501e-020
N6	1.86326e-006	6.83904e-007	0.00129931	1.52094e-022
N7	6.70171e-005	0.00014753	0.856925	6.26345e-014
N8	6.39099e-005	1.12198e-006	0.0150041	6.33185e-015
N9	0.000108237	0.000193321	0.0632497	3.39371e-015
Atrachelacris_sp	1.91867e-007	1.00395	0.0658879	0
N10	6.73095e-005	8.14261e-007	0.00256589	2.70316e-015
Leiotettix_viridis	0.000685742	0.00222639	0.063322	1.00099e-012
Pseudoscopas_nigrigena	0.000685742	0.00222639	0.063322	1.00099e-012
N11	0.000540923	0.00212121	0.118516	2.58597e-010
N12	0.000123428	0.00368748	0.0102706	2.45322e-015
Leiotettix_pulcher	1.87967e-009	0.996417	0.000350511	0
Scotussa_lemniscata	0.00369609	0.000114424	0.00035051	0
N13	0.00017182	0.000158696	0.0104598	1.1473e-015
Paulinia_acuminata	6.01392e-008	7.24327e-007	0.000161324	0
Scotussa_impudica	6.01392e-008	7.24327e-007	0.000161324	0
Scotussa_daguerrei	0.00409687	1.00662	0.144142	3.70381e-014
N14	4.13822e-006	1.20908e-006	0.000384184	4.18044e-022
N15	0.000132431	0.000139831	0.000434232	1.55277e-022
N16	0.000767581	0.0102034	0.130968	2.90214e-012
Dichroplus_conspersus	0.0097964	0.00130239	0.869283	1.16051e-007
Dichroplus_pratensis	1.26894e-006	1.12056	0.869282	0
N17	7.41007e-006	3.08864e-006	5.83233e-005	1.88348e-022
N18	8.10784e-006	3.8973e-005	2.10175e-005	6.34444e-023
Dichroplus_democraticus	0.00101363	0.000990611	1.00017	1.00481e-012
N19	0.0020864	0.0369569	6.72177e-005	1.42312e-018
Dichroplus_silveiraguidoi	0.000256445	1.96504	1.98488e-007	0
Marellia_remipes	1.24305e-013	5.13753e-013	0.976673	0
N20	0.000717088	0.000720425	0.97131	1.77163e-011
N21	0.000107548	0.000112378	0.0253551	3.9803e-015
Dichroplus_exilis	0.000112867	0.000113432	0.00352551	0
Dichroplus_fuscus	0.000112867	0.000113432	0.00352551	0
Dichroplus_schulzi	0.000121654	0.000126888	0.0288806	0
N22	0.00256359	0.0032309	0.97955	5.94296e-011
Dichroplus_elongatus	0.000146161	0.000133287	0.021133	0
N23	0.000113898	0.00257818	0.0210488	5.47156e-016
Dichroplus_paraelongatus	0.00247725	4.75674e-008	8.42465e-005	0
Dichroplus_patruelis	1.55806e-011	0.997523	8.42465e-005	0
N24	1.39006e-006	0.222902	0.341623	7.0683e-019
N25	1.70873e-005	0.0193018	0.0414962	1.74406e-014
N26	0.00154436	0.0548098	0.16123	8.69914e-009
Chlorus_bolivianus	1.70722e-006	1.25802	0.457655	0
N27	0.0108236	0.00152481	0.332108	1.1721e-008
Ommexecha_sp	0.280547	0.0134186	0.125549	1.00622e-008
Tropidostethus_sp	0.00242315	0.713374	0.125549	0
Dichromatos_lilloanus	0.0066928	0.758979	0.618884	0
N28	8.78813e-006	0.00632404	0.022122	3.46129e-014
N29	0.00110721	0.0287933	0.159472	3.52172e-011
N30	0.00558397	0.0140074	0.046106	9.69006e-011
Dichroplus_maculipennis	0.253346	0.0192295	0.432058	1.25481e-006
Dichroplus_vittatus	2.79747e-006	1.30189	0.432058	0
Leiotettix_flavipes	0.00169126	0.744399	0.478163	0
Ronderosia_sp	0.00671076	0.771296	0.637633	0
