#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.33609
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.973537
Leiotettix_pulcher: 0.993829
Scotussa_daguerrei: 0.973556
Dichromatos_lilloanus: 1.00442
Chlorus_bolivianus: 1.95279
Ronderosia_sp: 0.940734
Dichroplus_vittatus: 1.83481
Leiotettix_flavipes: 0.887809
Dichroplus_pratensis: 1.73188
Tropidostethus_sp: 0.940514
Dichroplus_silveiraguidoi: 1.99151
Dichroplus_patruelis: 0.998011
Xyleus_laevipes: 0.998955
Total number of loss events: 16.671
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N5: 0.905925
N21: 0.754905
Dichroplus_democraticus: 1.00169
N27: 0.989532
Diponthus_sp: 1.00001
N30: 0.815682
Paulinia_acuminata: 0.836703
N32: 0.703286
N37: 0.761668
N43: 1.18206
Total number of duplication events: 12.934
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 1.81796e-006
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.000885351	0.00140288	0.156485	2.88168e-017
N3	1.45551e-005	1.52402e-005	0.0057401	3.35653e-019
N4	0.00187164	0.00195988	0.0377283	4.25784e-018
N5	1.12225e-005	0.001381	0.905925	1.61635e-013
N6	2.71141e-007	5.28058e-005	0.020447	6.34054e-019
N7	0.000705067	3.12202e-005	0.0440299	2.6582e-015
N8	0.000135445	0.0261089	0.0282837	6.54892e-014
N9	0.00032593	0.000333333	0.000798657	1.09705e-015
Atrachelacris_sp	1.25519e-005	0.973537	0.000748404	0
N10	0.022508	0.00211002	0.000644163	4.18486e-013
N11	0.000208537	0.00341459	0.000103209	3.25348e-012
Leiotettix_pulcher	2.47892e-010	0.993829	1.03272e-006	0
Scotussa_lemniscata	0.00617057	3.82964e-007	1.03273e-006	0
Scotussa_impudica	0.00324687	0.000610364	0.000104242	3.34434e-012
Scotussa_daguerrei	2.39607e-005	0.973556	0.0015472	0
N12	0.000838002	0.000346973	0.0109488	3.27641e-013
Leiotettix_viridis	0.00120755	0.00324435	0.0188819	3.9863e-011
Pseudoscopas_nigrigena	0.00120755	0.00324435	0.0188819	3.9863e-011
Dichromatos_lilloanus	0.00343796	1.00442	0.0738609	1.17773e-015
N13	7.14129e-007	0.0229133	0.00892134	1.99128e-019
N14	0.000131944	0.0384612	0.0137675	1.13704e-016
N15	0.000332116	0.00289861	0.00178909	5.1058e-015
Chlorus_bolivianus	0.000531735	1.95279	0.0697145	0
Ommatolampis_sp	0.0573591	0.0202648	0.0697145	3.25893e-008
Ronderosia_sp	0.00329324	0.940734	0.0715036	8.44393e-012
N16	0.000239298	0.0932569	0.0381397	1.14941e-013
N17	0.00152655	0.0065678	0.00401162	4.52104e-013
Dichroplus_maculipennis	0.116837	0.00939504	0.0431198	1.12925e-007
Dichroplus_vittatus	3.303e-007	1.83481	0.0431198	0
Leiotettix_flavipes	0.00202864	0.887809	0.0471315	0
N18	0.000109454	0.000112291	0.000218434	2.1664e-023
