#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.311482
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.989469
Leiotettix_pulcher: 0.995347
Scotussa_daguerrei: 0.989401
Dichromatos_lilloanus: 0.989059
Tropidostethus_sp: 0.991706
Dichroplus_vittatus: 1.75516
Ronderosia_sp: 0.815281
Leiotettix_flavipes: 0.849953
Chlorus_bolivianus: 1.5333
Dichroplus_silveiraguidoi: 1.98752
Dichroplus_pratensis: 1.05844
Dichroplus_patruelis: 0.995721
Xyleus_laevipes: 0.999502
Total number of loss events: 15.4871
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Chlorus_bolivianus: 0.500274
Dichroplus_conspersus: 1.00004
Dichroplus_democraticus: 1.00326
Dichroplus_pratensis: 1.00001
N25: 0.719019
N32: 0.686716
N34: 0.654479
N41: 0.660968
N43: 1.39628
Total number of duplication events: 12.4466
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 1.96725e-005
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00612309	0.0170148	0.39011	9.04491e-014
N3	0.000287767	0.000401232	0.0157358	1.45569e-017
N4	0.00143035	0.0014974	0.0117793	1.03915e-018
N5	3.70463e-007	0.00183001	0.499751	7.57338e-017
N6	4.18855e-005	4.27908e-005	0.224293	6.97832e-014
N7	0.00172797	0.000134749	0.25109	2.71689e-012
N8	4.99037e-005	4.04428e-006	0.018596	1.12062e-013
N9	5.08593e-007	1.67143e-006	0.00412352	4.66887e-019
N10	2.73787e-006	0.010538	0.00194287	7.87589e-020
Atrachelacris_sp	3.17735e-006	0.989469	0.000209973	0
N11	0.000529817	0.000598053	0.000178836	1.62347e-014
N12	0.00843899	1.90801e-005	2.5294e-005	3.74407e-013
N13	5.83412e-005	0.00254878	5.57251e-006	1.08994e-012
Leiotettix_pulcher	1.56199e-009	0.995347	2.69755e-007	0
Scotussa_lemniscata	0.00465448	1.73243e-006	2.69756e-007	2.07556e-014
Scotussa_impudica	0.00217294	9.64652e-006	5.84226e-006	1.12103e-012
Scotussa_daguerrei	1.49052e-006	0.989401	3.11363e-005	0
N14	1.77203e-007	4.04747e-007	8.51529e-005	2.45117e-020
N15	0.00114098	0.0133834	0.00206656	2.4846e-014
Dichromatos_lilloanus	2.16586e-010	0.989059	0	0
Marellia_remipes	0.0109411	7.66733e-007	1.13598e-006	0
N16	3.13136e-005	1.98411e-005	0.0013377	3.63883e-016
Leiotettix_viridis	0.000432539	0.000767432	0.000729995	1.17345e-012
Pseudoscopas_nigrigena	0.000432539	0.000767432	0.000729995	1.17345e-012
Paulinia_acuminata	0.00172393	0.00516584	0.00627637	2.49815e-016
N17	0.000322324	0.00888845	0.0238358	8.02195e-011
Ommexecha_sp	0.00832099	2.77041e-005	0.0010365	2.40485e-012
Tropidostethus_sp	5.76279e-008	0.991706	0.0010365	0
N18	4.38512e-006	0.14836	0.159335	1.7895e-013
N19	0.000261162	0.0349162	0.0451185	1.17947e-012
N20	0.00548829	0.0136351	0.0172743	1.2777e-010
Dichroplus_maculipennis	0.184305	0.000118668	0.0542343	6.76803e-007
Dichroplus_vittatus	1.26877e-006	1.75516	0.0542342	0
Ronderosia_sp	0.000141505	0.815281	0.0715084	0
Leiotettix_flavipes	0.000794498	0.849953	0.116627	6.9438e-013
Chlorus_bolivianus	0.00586007	1.5333	0.500274	0
N21	4.21786e-008	5.43889e-007	7.12237e-006	4.04273e-026
N22	5.14675e-007	0.000159482	3.69802e-006	2.97281e-027
N23	5.07237e-005	2.77823e-005	1.17524e-006	8.27777e-020
Dichroplus_conspersus	0.00236493	0.00534483	1.00004	4.81455e-006
N24	0.000284307	0.0127056	3.10077e-006	9.87924e-019
Dichroplus_democraticus	0.00742601	0.00462395	1.00326	9.88782e-011
Dichroplus_silveiraguidoi	2.5108e-005	1.98752	4.15425e-005	0
Dichroplus_pratensis	3.23546e-007	1.05844	1.00001	0
N25	0.000538834	0.000530898	0.719019	2.03945e-012
N26	0.000475408	0.000738488	0.256882	2.20429e-010
N27	2.70857e-005	2.94012e-005	0.0240027	8.6879e-013
Dichroplus_elongatus	3.38699e-008	6.36418e-007	0.00011508	3.77958e-018
Ommatolampis_sp	3.38699e-008	6.36418e-007	0.00011508	3.77958e-018
N28	1.42208e-006	0.00418378	0.0240186	8.13397e-013
Dichroplus_paraelongatus	0.00417997	4.8427e-007	9.91683e-005	8.01766e-016
Dichroplus_patruelis	1.79644e-010	0.995721	0	0
N29	0.00106893	0.00157344	0.279582	1.01787e-010
N30	1.90649e-007	4.91654e-006	0.00140343	1.24752e-015
Dichroplus_exilis	3.30973e-009	5.6993e-008	1.41098e-005	0
Dichroplus_fuscus	3.30973e-009	5.6993e-008	1.41098e-005	0
Dichroplus_schulzi	1.4958e-007	4.93533e-006	0.00141754	1.24765e-015
N31	0.000484919	0.000483263	0.308306	2.77557e-010
N32	0.00289896	0.0116227	0.686716	6.13838e-007
Dichromorpha_sp	2.19728e-006	0.000122478	0.0167926	1.00311e-011
N33	2.85638e-006	0.000122385	0.016488	1.00251e-011
Hyalopteryx_rufipennis	6.38756e-008	1.79677e-006	0.000304643	3.06461e-017
Leptysma_sp	6.38756e-008	1.79677e-006	0.000304643	3.06461e-017
N34	0.00273024	0.0106899	0.654479	1.38414e-006
N35	0.000417888	0.000947422	0.0490039	1.5569e-010
Schistocerca_cancellata	5.67486e-009	1.73421e-007	2.17001e-005	0
Schistocerca_pallens	5.67486e-009	1.73421e-007	2.17001e-005	0
Schistocerca_flavofasciata	0.000422151	0.000955086	0.0490256	1.51346e-010
N36	0.000530812	0.000666633	0.361247	3.32498e-010
N37	0.00042186	0.000506516	0.272248	1.58159e-009
N38	5.6018e-005	7.98017e-005	0.0792041	1.77221e-010
N39	0.00146862	0.00503224	0.304736	2.00352e-010
N40	0.00042881	7.23721e-006	0.00132952	1.61032e-013
Diponthus_sp	0.000536143	0.000769226	0.00877664	3.24813e-012
Xyleus_insignis	0.000536143	0.000769226	0.00877664	3.24813e-012
Xyleus_laevipes	1.25801e-007	0.999502	0.0101062	0
Xyleus_modestus	0.00356757	0.0173547	0.314842	1.93239e-008
Prionolopha_serrata	0.0045371	0.0207857	0.394046	3.43121e-008
N41	0.00539268	0.0227085	0.660968	4.03175e-007
N42	1.55109e-006	8.35906e-005	0.00515631	1.04442e-012
Zoniopoda_hempeli	3.92831e-008	1.44713e-006	0.000173358	6.63378e-018
Zoniopoda_tarsata	3.92831e-008	1.44713e-006	0.000173358	6.63378e-018
Zoniopoda_omnicolor	1.09944e-006	8.44042e-005	0.00532967	1.04507e-012
N43	0.0243091	0.149308	1.39628	1.17207e-005
Trimerotropis_ochraceipennis	0.000282865	0.00177621	0.0290286	1.07667e-009
Trimerotropis_pallidipennis	0.000282865	0.00177621	0.0290286	1.07667e-009
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.00966776	1.02093	1.41763	2.98928e-012
Leiotettix_pulcher	0.0186917	1.02998	1.41763	4.46986e-012
Scotussa_lemniscata	0.0233462	0.0346324	1.41763	4.49061e-012
Scotussa_impudica	0.0208063	0.0320915	1.41763	4.50095e-012
Scotussa_daguerrei	0.0101959	1.02146	1.41763	3.00551e-012
Dichromatos_lilloanus	0.010803	1.02337	1.41763	3.01413e-012
