#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.478886
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.862165
Leiotettix_pulcher: 0.955894
Dichromatos_lilloanus: 0.854242
N17: 0.640167
Chlorus_bolivianus: 1.97158
Dichroplus_vittatus: 1.94456
Ronderosia_sp: 0.943957
Leiotettix_flavipes: 0.947647
Dichroplus_patruelis: 0.99369
Dichroplus_silveiraguidoi: 1.9883
Dichroplus_pratensis: 1.05182
Xyleus_laevipes: 0.981703
Total number of loss events: 15.3842
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N2: 0.602722
N9: 0.621625
N23: 0.546897
Dichroplus_democraticus: 1.00228
N27: 0.975557
Dichroplus_pratensis: 1.00002
N29: 1.00012
Marellia_remipes: 1.00164
Ommatolampis_sp: 1.00817
N31: 0.537465
N41: 0.578001
N43: 1.65921
Total number of duplication events: 14.3395
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.00119214
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0142879	0.0554506	0.602722	1.73145e-012
N3	0.00426147	0.0063187	0.0569397	5.93312e-016
N4	3.32075e-005	0.000187477	0.0068891	5.79121e-017
N5	5.69601e-006	1.07457e-005	0.000414612	4.44388e-020
N6	2.13187e-006	0.000228246	0.00083475	1.37426e-020
N7	0.000215874	1.47626e-006	1.56737e-005	1.09854e-022
N8	1.40855e-006	2.09341e-005	0.361146	8.27707e-015
N9	8.13854e-005	0.034636	0.621625	1.00434e-013
N10	3.05446e-005	0.00271029	0.00347537	3.71097e-020
N11	0.000308176	0.000116816	0.00702805	1.98904e-015
N12	6.7377e-006	0.108285	0.00658459	1.59646e-014
N13	0.000142704	0.000701191	6.27797e-005	4.48541e-019
N14	0.0070599	0.000442338	6.30877e-005	2.82048e-010
Atrachelacris_sp	0.00143969	0.862165	2.17402e-005	0
N15	0.0985999	0.000169612	1.33595e-005	2.70095e-008
N16	0.00271712	0.00671649	8.28456e-006	2.85629e-010
Leiotettix_pulcher	1.72471e-008	0.955894	9.62193e-008	0
Scotussa_lemniscata	0.0441095	3.5604e-006	9.62201e-008	3.63642e-013
Scotussa_impudica	0.0416162	0.00153107	8.38077e-006	7.0695e-008
Dichromatos_lilloanus	0.00014185	0.854242	8.4828e-005	0
N17	4.50519e-006	0.640167	0.000133864	3.35177e-013
Scotussa_daguerrei	0.000923752	0.215421	1.377e-005	0
Tropidostethus_sp	0.000923752	0.215421	1.377e-005	0
N18	0.0365832	0.000580111	0.00454051	1.49989e-008
Leiotettix_viridis	0.00180721	0.00173835	0.00219172	1.18441e-008
Pseudoscopas_nigrigena	0.00180721	0.00173835	0.00219172	1.18441e-008
Chlorus_bolivianus	0.0221178	1.97158	0.0137608	0
N19	1.30334e-005	0.0179536	0.00908454	1.66139e-017
N20	0.000227912	0.00387695	0.00295543	3.09018e-011
N21	0.00587455	0.00146051	0.00150941	1.77083e-011
N22	0.0494593	7.32904e-005	0.00169924	5.8534e-008
Dichroplus_maculipennis	0.00332831	0.00159083	0.00198651	2.6843e-007
Ommexecha_sp	0.00332831	0.00159083	0.00198651	2.6843e-007
Dichroplus_vittatus	4.31713e-008	1.94456	0.00368678	0
Ronderosia_sp	0.00011939	0.943957	0.00519619	0
Leiotettix_flavipes	0.000161432	0.947647	0.00815163	0
N23	0.00148706	0.00166661	0.546897	2.45885e-009
Dichroplus_elongatus	0.0012087	0.00148867	0.0919636	1.86056e-009
N24	0.000593777	0.00716148	0.0908786	8.51217e-010
Dichroplus_paraelongatus	0.00631307	3.33174e-006	0.00108494	7.07231e-014
Dichroplus_patruelis	4.1882e-009	0.99369	0.00108493	0
N25	9.53168e-006	3.06178e-005	1.54874e-006	1.71167e-019
N26	0.000143656	0.0118908	1.28173e-006	3.52449e-019
Dichroplus_democraticus	0.008173	0.00479777	1.00228	9.71025e-011
Dichroplus_silveiraguidoi	2.91871e-005	1.9883	2.83501e-005	0
N27	0.00138453	0.00225171	0.975557	1.85446e-011
N28	8.65562e-007	2.05194e-005	0.024437	1.26307e-012
Dichroplus_exilis	2.85115e-009	4.45603e-008	1.85901e-005	0
Dichroplus_fuscus	2.85115e-009	4.45603e-008	1.85901e-005	0
Dichroplus_schulzi	0.000114553	0.000134207	0.0244556	1.2631e-012
Dichroplus_pratensis	2.93101e-006	1.05182	1.00002	0
N29	0.00374547	0.00973324	1.00012	4.37148e-012
Dichroplus_conspersus	1.0757e-007	4.11648e-006	0.00110814	1.48504e-015
Paulinia_acuminata	1.0757e-007	4.11648e-006	0.00110814	1.48504e-015
Marellia_remipes	0.00408214	0.00966635	1.00164	2.21286e-012
Ommatolampis_sp	0.00458899	0.0109153	1.00817	2.77089e-007
N30	4.17655e-005	0.000345506	0.0922175	1.04205e-009
N31	0.00273245	0.0049134	0.537465	9.80596e-008
N32	0.00194094	0.0047	0.313731	1.75235e-007
N33	0.00132463	0.00266065	0.113556	1.39499e-008
Dichromorpha_sp	0.000371709	0.000459526	0.00792519	1.84549e-012
Hyalopteryx_rufipennis	0.000371709	0.000459526	0.00792519	1.84549e-012
Leptysma_sp	0.00244045	0.00599153	0.121482	1.32201e-008
N34	0.00404348	0.0183096	0.409103	1.17641e-007
N35	0.000643256	0.00132855	0.0259505	1.32059e-009
Schistocerca_cancellata	1.46985e-007	4.19435e-006	0.000276083	1.63176e-016
Schistocerca_pallens	1.46985e-007	4.19435e-006	0.000276083	1.63176e-016
Schistocerca_flavofasciata	0.00110151	0.00180462	0.0262266	9.33294e-010
N36	0.00157907	0.00196816	0.392578	1.81885e-009
N37	0.000222402	0.000377911	0.133368	2.64253e-009
N38	0.00021113	0.000343617	0.111684	4.12049e-010
N39	0.00157	0.00238416	0.195196	1.70603e-008
Diponthus_sp	0.00246022	0.00632999	0.139499	2.06961e-008
Prionolopha_serrata	0.00246022	0.00632999	0.139499	2.06961e-008
N40	0.00378217	0.034733	0.327997	3.79992e-009
Xyleus_insignis	0.0189212	0.000625702	0.00682041	9.98999e-011
Xyleus_laevipes	3.29258e-006	0.981703	0.00682033	0
Xyleus_modestus	0.00676877	0.037225	0.446379	2.43582e-008
N41	0.00746427	0.0356435	0.578001	2.32127e-007
Zoniopoda_hempeli	6.75354e-007	4.91234e-005	0.00175249	7.84138e-014
N42	1.12855e-006	4.63101e-005	0.00148968	6.69759e-014
Zoniopoda_omnicolor	5.28698e-008	3.20352e-006	0.000262802	1.32164e-017
Zoniopoda_tarsata	5.28698e-008	3.20352e-006	0.000262802	1.32164e-017
N43	0.0435137	0.336184	1.65921	0.00119037
Trimerotropis_ochraceipennis	0.000648132	0.00327599	0.0223347	4.14224e-009
Trimerotropis_pallidipennis	0.000648132	0.00327599	0.0223347	4.14224e-009
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.0278768	1.07128	1.66782	2.83907e-010
Leiotettix_pulcher	0.127754	1.17189	1.66782	2.7579e-008
Scotussa_lemniscata	0.171864	0.216	1.66782	2.75794e-008
Scotussa_impudica	0.166653	0.210811	1.66782	9.79884e-008
Dichromatos_lilloanus	0.0195191	1.06291	1.66782	1.85876e-012
Scotussa_daguerrei	0.0201628	1.06355	1.66782	2.19394e-012
Tropidostethus_sp	0.0201628	1.06355	1.66782	2.19394e-012
Leiotettix_viridis	0.0576182	0.102	1.66782	2.68449e-008
Pseudoscopas_nigrigena	0.0576182	0.102	1.66782	2.68449e-008
Chlorus_bolivianus	0.0410374	2.07114	1.66782	1.84081e-012
Dichroplus_maculipennis	0.0777922	0.121809	1.66782	3.27014e-007
Ommexecha_sp	0.0777922	0.121809	1.66782	3.27014e-007
Dichroplus_vittatus	0.0250046	2.0647	1.66782	5.04509e-011
Ronderosia_sp	0.0192494	1.06264	1.66782	3.27426e-011
Leiotettix_flavipes	0.0190635	1.06245	1.66782	1.84082e-012
Dichroplus_elongatus	0.0215034	0.0653735	1.66782	4.32115e-009
Dichroplus_paraelongatus	0.0272016	0.0710496	1.66782	3.31188e-009
Dichroplus_patruelis	0.0208885	1.06474	1.66782	3.31181e-009
Dichroplus_democraticus	0.0271325	0.0789165	1.67009	9.88346e-011
Dichroplus_silveiraguidoi	0.0189887	2.06242	0.667847	1.7321e-012
Dichroplus_exilis	0.0202012	0.0645002	1.66783	2.15397e-011
Dichroplus_fuscus	0.0202012	0.0645002	1.66783	2.15397e-011
Dichroplus_schulzi	0.0203149	0.0646138	1.66783	2.15398e-011
Dichroplus_pratensis	0.0185933	1.11401	1.66782	1.7321e-012
Dichroplus_conspersus	0.0223339	0.0717049	1.6682	6.10507e-012
Paulinia_acuminata	0.0223339	0.0717049	1.6682	6.10507e-012
Marellia_remipes	0.0226647	0.0716232	1.6682	3.94496e-012
Ommatolampis_sp	0.0231384	0.0726847	1.66783	2.77091e-007
Dichromorpha_sp	0.0206994	0.0685297	1.66762	2.8829e-007
Hyalopteryx_rufipennis	0.0206994	0.0685297	1.66762	2.8829e-007
Leptysma_sp	0.0214435	0.0714011	1.66762	2.87558e-007
Schistocerca_cancellata	0.021749	0.0803519	1.66773	2.18065e-007
Schistocerca_pallens	0.021749	0.0803519	1.66773	2.18065e-007
Schistocerca_flavofasciata	0.0222071	0.0808238	1.66773	2.17678e-007
Diponthus_sp	0.0203725	0.0672	1.66726	4.36737e-008
Prionolopha_serrata	0.0203725	0.0672	1.66726	4.36737e-008
Xyleus_insignis	0.0390456	0.0938445	1.66739	9.81704e-009
Xyleus_laevipes	0.0201277	1.07492	1.66739	9.71714e-009
Xyleus_modestus	0.0228999	0.0953672	1.66726	2.98634e-008
Zoniopoda_hempeli	0.0233737	0.093457	1.66727	2.34989e-007
Zoniopoda_omnicolor	0.0233742	0.0934574	1.66727	2.34989e-007
Zoniopoda_tarsata	0.0233742	0.0934574	1.66727	2.34989e-007
Trimerotropis_ochraceipennis	0.0441619	0.33946	1.68155	0.00119037
Trimerotropis_pallidipennis	0.0441619	0.33946	1.68155	0.00119037
