#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.253993
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.993924
Tropidostethus_sp: 0.995223
Leiotettix_pulcher: 0.996372
Scotussa_daguerrei: 0.999041
Dichromatos_lilloanus: 0.926075
Ronderosia_sp: 0.92476
Leiotettix_flavipes: 0.998856
Chlorus_bolivianus: 1.78263
Dichroplus_pratensis: 1.50854
Dichroplus_silveiraguidoi: 1.99132
Dichroplus_patruelis: 0.998608
Dichroplus_vittatus: 1.22561
Xyleus_laevipes: 0.981567
Total number of loss events: 15.8222
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N6: 0.699505
Dichroplus_conspersus: 0.859977
Dichroplus_democraticus: 1.00124
N25: 0.991739
N27: 0.993133
Dichroplus_maculipennis: 0.785451
Dichroplus_vittatus: 0.785095
Pseudoscopas_nigrigena: 0.996026
N31: 0.833872
Prionolopha_serrata: 0.723526
N40: 0.703485
N41: 0.710264
N43: 1.26558
Total number of duplication events: 16.0973
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.000208551
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00539859	0.0120343	0.263998	1.63326e-014
N3	4.80047e-005	5.97293e-005	0.00510279	4.20756e-018
N4	0.00401123	0.00481486	0.0166194	2.76332e-017
N5	2.53513e-006	4.90273e-006	0.000183936	2.50569e-021
N6	7.34922e-005	0.000267543	0.699505	7.94705e-014
N7	1.06032e-005	0.000971014	0.278699	1.27608e-013
N8	4.20288e-005	1.42062e-005	0.00540575	7.58595e-014
N9	0.00123984	0.000483791	0.0150838	6.30685e-015
N10	3.59223e-006	0.000603765	0.00131046	4.72498e-016
N11	2.81486e-007	0.00405375	8.59854e-006	3.77259e-020
N12	6.26552e-005	0.00136212	4.44725e-006	1.14259e-016
Atrachelacris_sp	1.56383e-006	0.993924	1.73218e-006	0
Ommexecha_sp	0.00660838	0.00224788	1.73218e-006	0
Tropidostethus_sp	1.92616e-006	0.995223	6.17944e-006	0
N13	2.06835e-005	0.000255368	1.21622e-005	5.0924e-019
N14	0.000678526	8.43501e-006	1.90443e-006	4.12016e-015
N15	0.000124139	0.0036925	7.16459e-007	1.00174e-015
Leiotettix_pulcher	3.61255e-010	0.996372	1.26187e-008	0
Scotussa_lemniscata	0.00362862	9.56213e-007	1.26187e-008	0
Scotussa_impudica	0.000660769	0.000890743	7.29078e-007	0
Scotussa_daguerrei	3.77988e-007	0.999041	2.63351e-006	0
Leiotettix_viridis	0.0012737	0.00259105	0.00132526	7.57858e-014
N16	0.000582472	0.0738902	0.0148726	1.08733e-013
Dichromatos_lilloanus	3.00782e-005	0.926075	0.00153651	0
N17	0.0038993	0.00588309	0.00151733	1.2801e-012
Marellia_remipes	0.0752428	2.55397e-006	1.91795e-005	0
Ronderosia_sp	2.56101e-008	0.92476	1.91795e-005	0
Leiotettix_flavipes	0.000143416	0.998856	0.0218149	0
N18	0.00114612	0.0187593	0.100305	2.03489e-012
Chlorus_bolivianus	3.70391e-007	1.78263	0.200208	0
Paulinia_acuminata	0.0160914	0.00360945	0.20021	0
N19	2.65397e-006	2.18992e-006	2.11284e-005	3.76675e-023
N20	3.8578e-007	2.55051e-006	2.07173e-006	1.10422e-023
N21	7.80751e-006	1.34631e-005	0.140023	2.12241e-017
Dichroplus_conspersus	0.0015246	0.0021761	0.859977	1.29011e-011
N22	0.00085082	0.0138805	0.382359	5.84591e-012
