#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.36918
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.720932
N9: 0.631507
Leiotettix_pulcher: 0.958225
Scotussa_daguerrei: 0.730382
Chlorus_bolivianus: 1.09166
Dichroplus_pratensis: 1.19411
Dichroplus_patruelis: 0.997374
Dichroplus_silveiraguidoi: 1.99631
Dichroplus_vittatus: 1.42573
Leiotettix_flavipes: 0.999679
N38: 0.996952
Total number of loss events: 12.0947
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N7: 0.695936
Chlorus_bolivianus: 0.742716
Dichroplus_conspersus: 0.80345
Dichroplus_pratensis: 0.80345
N16: 0.797066
Dichroplus_democraticus: 1.0005
N20: 0.979354
Dichroplus_maculipennis: 0.566972
Dichroplus_vittatus: 0.566972
N24: 0.517471
Leiotettix_flavipes: 0.656344
Leiotettix_viridis: 0.656344
N26: 0.519064
N43: 0.987136
Total number of duplication events: 13.1952
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 6.09605e-010
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00012904	0.000133738	0.0107091	2.87339e-024
N3	0.000686156	0.000695587	0.00567062	2.22188e-020
N4	1.0898e-012	1.87548e-007	8.87996e-006	3.01069e-026
N5	0.000113316	0.000123555	2.22561e-005	1.3904e-028
N6	3.41456e-007	0.00407885	0.0980559	6.41243e-020
N7	0.00401883	0.115974	0.695936	2.97246e-013
Atrachelacris_sp	0.000150569	0.720932	0.0467133	0
N8	5.23504e-005	0.00377274	0.0278922	4.32481e-016
N9	1.19842e-005	0.631507	0.0181019	2.31954e-016
Dichromatos_lilloanus	1.1657e-006	0.0854885	0.000640428	0
Ronderosia_sp	1.1657e-006	0.0854885	0.000640428	0
N10	0.0143177	0.000934994	0.0165042	3.67654e-013
N11	0.229138	0.000170363	0.00192256	2.45703e-012
N12	0.000892087	0.00224519	0.000308965	5.84798e-014
Leiotettix_pulcher	2.27911e-009	0.958225	6.60657e-006	0
Scotussa_lemniscata	0.0417743	6.06975e-007	6.60656e-006	0
Scotussa_impudica	0.0406171	0.000196275	0.000315571	0
Scotussa_daguerrei	1.793e-007	0.730382	0.00223814	0
Chlorus_bolivianus	2.30317e-006	1.09166	0.742716	0
N13	1.01644e-005	9.36238e-008	2.18128e-007	1.28886e-024
N14	7.6389e-007	6.20128e-006	0.150096	2.28375e-017
N15	1.82011e-005	0.00239696	0.0464542	1.02567e-015
Dichroplus_conspersus	0.00279067	0.000517774	0.80345	0
Dichroplus_pratensis	8.16359e-007	1.19411	0.80345	0
N16	0.00048533	0.000488694	0.797066	1.10137e-011
Dichroplus_elongatus	0.000122928	0.000117086	0.052838	0
