#Nodes with GAIN events with expectation above 0.5
Dichroplus_maculipennis: 0.600024
Total number of gain events: 0.955494
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.850749
Leiotettix_pulcher: 0.968136
Scotussa_daguerrei: 0.854511
Dichromatos_lilloanus: 0.851759
Chlorus_bolivianus: 1.82735
N14: 0.515615
Dichroplus_vittatus: 1.38741
Dichroplus_silveiraguidoi: 1.9917
Dichroplus_patruelis: 0.997928
Tropidostethus_sp: 0.996207
Xyleus_laevipes: 0.98854
Total number of loss events: 13.659
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N4: 0.839025
Dichroplus_conspersus: 1.00001
Dichroplus_democraticus: 1.00116
N21: 0.833427
N22: 0.902893
N29: 0.786189
N41: 0.792069
Hyalopteryx_rufipennis: 0.912613
N43: 1.14947
Total number of duplication events: 9.94088
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 6.69676e-008
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N21:ML=12 to Dichroplus_pratensis:ML=10  ProbOfChange = 0.998427  sum expections= 0.345108
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 2	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00321848	0.00489812	0.155887	2.66158e-016
N3	0.000800306	0.000822666	0.00549056	1.17037e-019
N4	3.93121e-005	0.00385459	0.839025	2.88946e-014
N5	0.000655548	0.00198464	0.147404	1.46845e-012
N6	1.47422e-006	0.14482	0.0132697	2.47062e-016
N7	4.00908e-005	0.00106883	0.000157878	7.88119e-019
Atrachelacris_sp	0.00173288	0.850749	0.000235816	0
N8	0.00442775	0.000795565	0.000189056	3.77032e-015
N9	0.118612	6.94306e-005	3.9374e-005	2.35883e-012
N10	0.00108524	0.0042959	7.33287e-006	8.54156e-014
Leiotettix_pulcher	1.84644e-009	0.968136	5.24574e-008	0
Scotussa_lemniscata	0.0318642	4.94054e-007	5.24574e-008	0
Scotussa_impudica	0.0289452	0.00029188	7.38533e-006	0
Scotussa_daguerrei	0.00185957	0.854511	4.67593e-005	0
Dichromatos_lilloanus	0.00171632	0.851759	0.000393794	0
N11	0.00535221	0.000276017	0.0111763	4.75849e-010
Leiotettix_viridis	0.000300556	0.000292877	0.00248728	8.04127e-012
Pseudoscopas_nigrigena	0.000300556	0.000292877	0.00248728	8.04127e-012
N12	8.46921e-005	0.0597191	0.0465048	4.61458e-016
N13	0.000250936	0.00238441	0.00231138	2.64459e-014
Chlorus_bolivianus	0.000100422	1.82735	0.112248	0
Dichromorpha_sp	0.0602821	0.0169725	0.112257	1.80517e-008
N14	0.000122312	0.515615	0.102804	9.25341e-014
N15	0.000366219	0.0288653	0.00535891	3.17819e-014
N16	0.00613743	0.00572371	0.000691816	8.72357e-014
Dichroplus_maculipennis	0.600024	0.000103501	0.00570762	0
Dichroplus_vittatus	2.41684e-006	1.38741	0.00570762	0
Ronderosia_sp	0.0012593	0.393695	0.00639944	0
Leiotettix_flavipes	0.00144398	0.422364	0.0117585	0
N17	0.000111845	0.000116356	8.02231e-005	6.75015e-023
N18	4.41176e-007	8.28412e-007	1.14099e-006	3.69606e-025
N19	4.82002e-006	2.18279e-005	1.33298e-006	3.84242e-024
Dichroplus_conspersus	0.00242354	0.00321174	1.00001	2.00752e-012
N20	0.000129692	0.0083917	1.21591e-006	3.75602e-022
Dichroplus_democraticus	0.00650144	0.00172931	1.00116	0
Dichroplus_silveiraguidoi	2.22504e-005	1.9917	1.23173e-005	0
N21	0.00236089	0.0224034	0.833427	6.0562e-014
Dichroplus_pratensis	0	2	0	0
Leptysma_sp	0.0148946	3.94706e-007	0.163629	0
N22	0.000605929	0.000606644	0.902893	9.36928e-014
N23	0.000297645	0.000333895	0.0940084	5.54186e-013
Dichroplus_elongatus	0.000259151	0.000235597	0.00311071	0
N24	0.000107231	0.00215535	0.00301657	7.08783e-017
Dichroplus_paraelongatus	0.00207208	3.79774e-007	9.4144e-005	0
Dichroplus_patruelis	9.68435e-011	0.997928	9.4144e-005	0
N25	1.36233e-005	1.53972e-005	0.0646205	2.44278e-013
N26	0.000268333	0.000280773	0.0323576	1.08293e-013
Dichroplus_exilis	6.28907e-008	8.26084e-007	0.00014106	0
Dichroplus_fuscus	6.28907e-008	8.26084e-007	0.00014106	0
Dichroplus_schulzi	0.00090771	0.00092021	0.0324987	1.08262e-013
N27	3.65886e-006	2.1638e-005	0.0929683	7.00228e-013
N28	7.57517e-006	6.3468e-006	0.0918687	3.154e-013
N29	0.000594757	0.000829184	0.786189	3.57421e-013
N30	0.00101563	0.00157299	0.0255576	5.124e-014
Diponthus_sp	0.00117337	0.0018955	0.00899774	0
Xyleus_modestus	0.00117337	0.0018955	0.00899774	0
N31	1.75751e-007	9.79512e-007	0.00216318	9.29429e-016
N32	0.000105557	0.000104807	0.0150667	2.73314e-016
N33	5.6139e-006	1.04874e-005	0.00381692	3.76944e-016
N34	0.000954115	0.00148848	0.0133691	8.20197e-015
N35	2.8677e-008	6.97138e-007	2.10624e-005	1.23494e-018
N36	0.000112471	0.000107197	6.59477e-005	5.64521e-019
Marellia_remipes	0.000254959	0.000260831	5.23879e-005	4.4714e-015
Prionolopha_serrata	0.000254959	0.000260831	5.23879e-005	4.4714e-015
N37	0.000115809	0.0039128	0.000107666	7.24809e-020
Ommexecha_sp	0.00403683	0.000242907	1.06692e-005	0
Tropidostethus_sp	9.14393e-007	0.996207	1.06692e-005	0
Paulinia_acuminata	0.000946741	0.00121813	0.000139398	4.11005e-018
N38	0.00118535	0.0132596	0.0128078	2.27224e-014
Xyleus_insignis	0.0117457	0.000284124	0.00070071	5.09465e-012
Xyleus_laevipes	3.0102e-006	0.98854	0.00070071	0
Ommatolampis_sp	0.00249359	0.00819968	0.0173254	1.408e-015
N39	0.00226687	0.00498809	0.0320953	2.16998e-013
N40	1.23073e-006	1.04443e-005	0.000205479	3.71154e-017
Zoniopoda_hempeli	0.00011378	0.000115746	9.1398e-005	0
Zoniopoda_tarsata	0.00011378	0.000115746	9.1398e-005	0
Zoniopoda_omnicolor	0.000234755	0.000245941	0.000296877	0
N41	0.00408596	0.0104202	0.792069	9.86247e-010
N42	0.000264428	0.000390735	0.0286623	1.38916e-014
Schistocerca_cancellata	7.58991e-009	1.16741e-007	2.12744e-005	0
Schistocerca_pallens	7.58991e-009	1.16741e-007	2.12744e-005	0
Schistocerca_flavofasciata	0.00026608	0.000392428	0.0286835	0
Hyalopteryx_rufipennis	0.00657805	0.0132079	0.912613	9.07987e-012
N43	0.0128775	0.0500419	1.14947	4.74145e-008
Trimerotropis_ochraceipennis	0.000250531	0.000507504	0.0138168	0
Trimerotropis_pallidipennis	0.000250531	0.000507504	0.0138168	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.00648809	1.0082	1.16147	1.49786e-012
Leiotettix_pulcher	0.12888	1.13075	1.16147	3.94588e-012
Scotussa_lemniscata	0.160744	0.16261	1.16147	3.94588e-012
Scotussa_impudica	0.15674	0.158606	1.16147	3.86046e-012
Scotussa_daguerrei	0.0110425	1.01276	1.16147	1.50163e-012
Dichromatos_lilloanus	0.00643144	1.00814	1.16147	1.49786e-012
Leiotettix_viridis	0.0103664	0.0121289	1.16147	4.85388e-010
Pseudoscopas_nigrigena	0.0103664	0.0121289	1.16147	4.85388e-010
Chlorus_bolivianus	0.00449415	1.89903	1.16147	5.60681e-014
Dichromorpha_sp	0.0646758	0.0886514	1.16148	1.80517e-008
Dichroplus_maculipennis	0.610792	0.619602	1.16147	2.41174e-013
Dichroplus_vittatus	0.0107712	2.00691	1.16147	2.41174e-013
Ronderosia_sp	0.00589062	1.00747	1.16147	1.53938e-013
Leiotettix_flavipes	0.00570908	1.00727	1.16147	1.22156e-013
Dichroplus_conspersus	0.00655943	0.00907154	1.16147	2.00779e-012
Dichroplus_democraticus	0.010767	0.0159808	1.16262	2.66276e-016
Dichroplus_silveiraguidoi	0.00428783	2.00595	0.161473	2.66276e-016
Dichroplus_pratensis	0.00649196	2.02824	0.994885	6.08282e-014
Leptysma_sp	0.0213866	0.0282418	1.15851	6.08282e-014
Dichroplus_elongatus	0.00529335	0.00701328	1.16147	6.48145e-013
Dichroplus_paraelongatus	0.00721351	0.00893341	1.16147	6.48216e-013
Dichroplus_patruelis	0.00514143	1.00686	1.16147	6.48216e-013
Dichroplus_exilis	0.00501858	0.00674078	1.16147	4.4653e-013
Dichroplus_fuscus	0.00501858	0.00674078	1.16147	4.4653e-013
Dichroplus_schulzi	0.00565789	0.00737939	1.16147	4.46499e-013
Diponthus_sp	0.00601347	0.00922377	1.16147	1.42456e-012
Xyleus_modestus	0.00601347	0.00922377	1.16147	1.42456e-012
Marellia_remipes	0.00525739	0.00772877	1.16147	1.38757e-012
Prionolopha_serrata	0.00525739	0.00772877	1.16147	1.38757e-012
Ommexecha_sp	0.0090426	0.0115164	1.16147	1.3831e-012
Tropidostethus_sp	0.00500668	1.00748	1.16147	1.3831e-012
Paulinia_acuminata	0.00583667	0.00857817	1.16147	1.3831e-012
Xyleus_insignis	0.0168669	0.0194153	1.16147	6.49227e-012
Xyleus_laevipes	0.00512418	1.00767	1.16147	1.39762e-012
Ommatolampis_sp	0.00642379	0.0140608	1.16147	1.37593e-012
Zoniopoda_hempeli	0.00620653	0.0108706	1.16147	1.59128e-012
Zoniopoda_tarsata	0.00620653	0.0108706	1.16147	1.59128e-012
Zoniopoda_omnicolor	0.00632627	0.0109903	1.16147	1.59124e-012
Schistocerca_cancellata	0.0075801	0.0157372	1.16148	9.87277e-010
Schistocerca_pallens	0.0075801	0.0157372	1.16148	9.87277e-010
Schistocerca_flavofasciata	0.00758175	0.0157387	1.16148	9.87263e-010
Hyalopteryx_rufipennis	0.00980019	0.0181277	1.16147	9.78037e-012
Trimerotropis_ochraceipennis	0.013128	0.0505494	1.16328	4.74145e-008
Trimerotropis_pallidipennis	0.013128	0.0505494	1.16328	4.74145e-008
