#Nodes with GAIN events with expectation above 0.5
N19: 0.802504
Total number of gain events: 0.891569
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.995373
Dichromatos_lilloanus: 0.998633
Leiotettix_pulcher: 0.992786
N14: 0.997088
N15: 0.817728
Chlorus_bolivianus: 1.14302
Dichroplus_vittatus: 1.18946
Dichroplus_silveiraguidoi: 1.98703
Dichroplus_pratensis: 1.21845
Dichroplus_patruelis: 0.998425
Xyleus_laevipes: 0.99738
Total number of loss events: 12.8403
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N6: 0.992116
N23: 0.574433
Dichroplus_democraticus: 1.00243
N27: 0.6875
Dichroplus_pratensis: 0.802907
N29: 0.930296
N32: 0.996278
N34: 0.843551
N39: 0.961472
N43: 1.16103
Total number of duplication events: 11.0893
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.00035716
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00413245	0.00717615	0.179553	2.56545e-015
N3	2.88494e-006	1.4158e-005	0.00109695	1.97458e-019
N4	2.43459e-005	1.15688e-005	0.00161688	7.00156e-020
N5	0.000397101	0.000418613	0.00109768	6.41345e-019
N6	1.04396e-006	0.00135806	0.992116	5.12748e-017
N7	0.000349765	5.106e-006	0.00488103	4.01452e-017
N8	6.19674e-005	0.000420171	0.00233864	1.91584e-016
N9	0.000681929	2.13534e-005	0.00034348	2.58979e-014
N10	2.87956e-005	0.00396119	0.000274993	7.88672e-014
Atrachelacris_sp	3.35751e-006	0.995373	5.598e-005	0
Leiotettix_viridis	0.00482939	0.000946365	5.598e-005	6.36079e-013
Pseudoscopas_nigrigena	0.00143715	0.00237102	0.000330973	4.42392e-013
Dichromatos_lilloanus	6.45278e-006	0.998633	0.000674455	0
N11	9.78803e-005	0.00132923	0.00269547	2.05352e-016
N12	0.00145721	2.70738e-005	0.000183486	2.66199e-013
N13	0.000167736	0.00683537	0.000132759	1.54682e-013
Leiotettix_pulcher	7.84625e-007	0.992786	1.38059e-006	0
Scotussa_lemniscata	0.0072169	1.98946e-006	1.38059e-006	0
Scotussa_impudica	0.00106074	0.000881871	0.00013414	2.12471e-012
N14	6.00371e-006	0.997088	0.000317626	2.18156e-017
Scotussa_daguerrei	3.36483e-008	0.000677214	2.37547e-010	0
Tropidostethus_sp	3.36483e-008	0.000677214	2.37547e-010	0
N15	1.94686e-007	0.817728	0.00623352	1.06088e-019
N16	8.28384e-007	0.0377045	1.33717e-005	3.81617e-020
Chlorus_bolivianus	0.00139062	1.14302	0.00164524	0
Leiotettix_flavipes	0.000848342	0.144031	0.00164524	0
N17	0.00130984	0.00535403	0.000800531	1.94487e-013
N18	0.0161374	0.00281218	0.000126278	2.72445e-013
N19	0.802504	0.000472608	0.000677813	3.90243e-008
Dichroplus_maculipennis	0.00248073	0.000481117	5.60252e-005	0
Ommexecha_sp	0.00248073	0.000481117	5.60252e-005	0
Dichroplus_vittatus	1.03771e-006	1.18946	0.000733798	0
Ronderosia_sp	0.000752997	0.177615	0.000860076	0
N20	5.68924e-007	9.17416e-007	6.29266e-006	1.62342e-024
N21	2.32102e-007	1.21798e-006	2.42838e-006	1.66989e-027
N22	2.11467e-007	5.20534e-007	1.73682e-008	2.23356e-026
N23	5.85157e-005	9.74952e-005	0.574433	8.23674e-012
N24	0.000648709	0.001557	0.424868	6.89015e-011
Dichroplus_conspersus	5.42374e-008	1.05868e-006	0.000699931	0
Marellia_remipes	5.42374e-008	1.05868e-006	0.000699931	0
Paulinia_acuminata	0.000654933	0.00177211	0.425568	6.87099e-011
N25	0.000403684	0.0133078	2.17573e-007	1.5948e-024
Dichroplus_democraticus	0.00812568	0.00240308	1.00243	2.42229e-010
Dichroplus_silveiraguidoi	3.1294e-005	1.98703	2.33327e-005	0
N26	0.00010218	0.00317667	0.197094	6.09418e-015
N27	0.00301408	6.63163e-005	0.6875	2.82754e-007
N28	5.8292e-006	2.63243e-005	0.115239	8.19896e-013
Dichroplus_exilis	1.44241e-008	2.05607e-007	0.000169484	0
Dichroplus_fuscus	1.44241e-008	2.05607e-007	0.000169484	0
Dichroplus_schulzi	0.000116512	0.000358622	0.115408	0
Dichroplus_pratensis	4.7824e-006	1.21845	0.802907	0
N29	0.00050889	0.000513026	0.930296	7.72213e-014
N30	2.86726e-006	3.98932e-005	0.0681942	1.27619e-013
Dichroplus_elongatus	1.13705e-005	1.99563e-006	0.00151379	0
N31	1.89288e-007	0.00156543	0.00150349	1.78785e-021
Dichroplus_paraelongatus	0.00157465	5.37986e-008	1.03028e-005	0
Dichroplus_patruelis	7.08838e-012	0.998425	1.03028e-005	0
Diponthus_sp	0.000241709	0.00050767	0.069708	6.33618e-012
N32	0.00375203	0.00714278	0.996278	1.25506e-010
N33	7.55446e-007	1.1378e-005	0.00443625	5.41421e-017
Zoniopoda_hempeli	4.2995e-008	6.97018e-007	0.000394439	0
Zoniopoda_tarsata	4.2995e-008	6.97018e-007	0.000394439	0
Zoniopoda_omnicolor	4.05794e-007	1.16089e-005	0.00483069	0
N34	0.00170517	0.00173803	0.843551	4.51164e-009
N35	0.000594038	0.00195128	0.153731	2.68858e-010
Dichromorpha_sp	1.1558e-006	2.32931e-005	0.00544309	0
N36	1.66659e-006	2.33394e-005	0.00531548	1.87668e-015
Hyalopteryx_rufipennis	6.73676e-008	9.00348e-007	0.000127616	0
Leptysma_sp	6.73676e-008	9.00348e-007	0.000127616	0
N37	0.000270108	0.000840807	0.140357	2.85049e-010
N38	0.000126466	0.000424199	0.018812	1.56308e-015
Schistocerca_cancellata	3.84193e-009	6.01991e-008	5.63778e-006	0
Schistocerca_pallens	3.84193e-009	6.01991e-008	5.63778e-006	0
Schistocerca_flavofasciata	0.000127692	0.000427934	0.0188177	0
N39	0.00162603	0.00361806	0.961472	6.72398e-010
N40	7.33085e-005	0.000286153	0.0350293	1.26089e-011
N41	0.000126832	0.000404466	0.0072504	1.16044e-014
Ommatolampis_sp	1.08845e-007	1.62151e-006	6.90865e-005	0
Prionolopha_serrata	1.08845e-007	1.62151e-006	6.90865e-005	0
Xyleus_modestus	0.000263201	0.000815273	0.00731949	4.71852e-013
N42	1.07183e-005	0.00261619	0.0260779	1.22648e-012
Xyleus_insignis	0.0031172	0.00229598	0.0162709	1.43784e-012
Xyleus_laevipes	0.000177566	0.99738	0.0162709	0
N43	0.0139586	0.0590869	1.16103	0.000356831
Trimerotropis_ochraceipennis	0.000129223	0.000847024	0.0232789	0
Trimerotropis_pallidipennis	0.000129223	0.000847024	0.0232789	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.00568364	1.00876	1.18337	1.07614e-013
Leiotettix_viridis	0.0105097	0.0143327	1.18337	7.43694e-013
Pseudoscopas_nigrigena	0.00708863	0.0117962	1.18337	4.7114e-013
Dichromatos_lilloanus	0.00497601	1.00804	1.18337	2.84936e-015
Leiotettix_pulcher	0.0066312	1.00996	1.18337	4.23744e-013
Scotussa_lemniscata	0.0138473	0.0171773	1.18337	4.23744e-013
Scotussa_impudica	0.00752341	0.0112218	1.18337	2.39377e-012
Scotussa_daguerrei	0.0050115	1.00808	1.18337	2.88494e-015
Tropidostethus_sp	0.0050115	1.00808	1.18337	2.88494e-015
Chlorus_bolivianus	0.00594947	2.00743	1.18337	2.61778e-015
Leiotettix_flavipes	0.00540719	1.00844	1.18337	2.61778e-015
Dichroplus_maculipennis	0.82699	0.835826	1.18337	3.90248e-008
Ommexecha_sp	0.82699	0.835826	1.18337	3.90248e-008
Dichroplus_vittatus	0.0220063	2.02434	1.18337	4.6955e-013
Ronderosia_sp	0.00662085	1.00967	1.18337	1.97105e-013
Dichroplus_conspersus	0.00526507	0.0092787	1.18337	7.71408e-011
Marellia_remipes	0.00526507	0.0092787	1.18337	7.71408e-011
Paulinia_acuminata	0.00527124	0.00949275	1.18337	7.69493e-011
Dichroplus_democraticus	0.0130872	0.023334	1.18581	2.42231e-010
Dichroplus_silveiraguidoi	0.00499277	2.00796	0.183397	2.56636e-015
Dichroplus_exilis	0.00767968	0.0108921	1.18338	2.82755e-007
Dichroplus_fuscus	0.00767968	0.0108921	1.18338	2.82755e-007
Dichroplus_schulzi	0.00779035	0.0112242	1.18338	2.82754e-007
Dichroplus_pratensis	0.00466454	1.22925	1.18337	8.66054e-015
Dichroplus_elongatus	0.00508048	0.00817632	1.18337	2.07406e-013
Dichroplus_paraelongatus	0.00664395	0.0097398	1.18337	2.07406e-013
Dichroplus_patruelis	0.00506929	1.00817	1.18337	2.07406e-013
Diponthus_sp	0.00530795	0.0086421	1.18337	6.41596e-012
Zoniopoda_hempeli	0.0079125	0.0143567	1.18338	1.25508e-010
Zoniopoda_tarsata	0.0079125	0.0143567	1.18338	1.25508e-010
Zoniopoda_omnicolor	0.00791211	0.0143563	1.18338	1.25508e-010
Dichromorpha_sp	0.00643569	0.0109029	1.18338	4.7805e-009
Hyalopteryx_rufipennis	0.00643627	0.0109039	1.18338	4.78051e-009
Leptysma_sp	0.00643627	0.0109039	1.18338	4.78051e-009
Schistocerca_cancellata	0.00623708	0.0101934	1.18338	4.7967e-009
Schistocerca_pallens	0.00623708	0.0101934	1.18338	4.7967e-009
Schistocerca_flavofasciata	0.0062383	0.0101971	1.18338	4.79669e-009
Ommatolampis_sp	0.00595872	0.0114865	1.18337	6.85021e-010
Prionolopha_serrata	0.00595872	0.0114865	1.18337	6.85021e-010
Xyleus_modestus	0.00609498	0.0118956	1.18337	6.85482e-010
Xyleus_insignis	0.00888639	0.0157064	1.18337	6.75065e-010
Xyleus_laevipes	0.00594676	1.01079	1.18337	6.73627e-010
Trimerotropis_ochraceipennis	0.0140878	0.059934	1.18431	0.000356831
Trimerotropis_pallidipennis	0.0140878	0.059934	1.18431	0.000356831
