#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.538827
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.997676
Scotussa_daguerrei: 0.998114
Leiotettix_pulcher: 0.993904
Dichromatos_lilloanus: 0.998134
Chlorus_bolivianus: 1.87118
Dichroplus_vittatus: 1.62771
Leiotettix_flavipes: 0.628606
Ronderosia_sp: 0.697521
Dichroplus_patruelis: 0.997912
Dichroplus_silveiraguidoi: 1.99611
Dichroplus_pratensis: 1.06328
Tropidostethus_sp: 0.996916
Xyleus_laevipes: 0.995127
Total number of loss events: 15.3366
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N6: 0.852906
Dichroplus_democraticus: 1.00042
Dichroplus_pratensis: 1.00002
Dichroplus_conspersus: 1.00019
N26: 0.911009
N43: 1.05031
Total number of duplication events: 6.6033
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 5.21199e-007
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00138671	0.00188752	0.0566131	6.32755e-018
N3	0.000554165	0.000580803	0.00295253	1.91268e-020
N4	0.000108315	0.000207768	0.000166406	3.62216e-022
N5	6.82421e-005	6.86822e-007	4.7897e-006	2.72332e-024
N6	4.32822e-005	1.68995e-005	0.852906	8.07395e-016
N7	2.46388e-007	0.001872	0.145651	5.08142e-016
N8	3.3481e-005	3.36262e-005	0.00118292	5.15873e-021
N9	0.000395476	2.91975e-006	0.000231505	9.48084e-022
N10	5.88741e-007	0.000409118	1.03787e-005	1.93691e-020
N11	0.000102163	0.00053976	2.59705e-005	3.25879e-014
Atrachelacris_sp	1.65661e-006	0.997676	7.2537e-006	0
N12	0.00229535	8.10374e-006	4.85038e-006	3.13405e-011
Leiotettix_viridis	0.000296857	0.00078969	2.40332e-006	0
Pseudoscopas_nigrigena	0.000296857	0.00078969	2.40332e-006	0
Scotussa_daguerrei	2.02742e-006	0.998114	3.32243e-005	0
N13	0.000925115	2.05207e-005	2.31802e-005	4.30132e-014
N14	0.000153768	0.0059375	1.97742e-005	4.18694e-014
Leiotettix_pulcher	7.34201e-007	0.993904	6.50619e-007	0
Scotussa_lemniscata	0.0059487	0.000309673	6.50626e-007	0
Scotussa_impudica	0.00086073	0.00061525	2.04248e-005	1.58681e-012
Dichromatos_lilloanus	1.75449e-006	0.998134	0.000275111	0
N15	1.35534e-006	0.115035	0.0011835	9.51556e-017
N16	0.00467798	0.0170087	0.000197722	1.0747e-014
Chlorus_bolivianus	1.45769e-008	1.87118	7.6832e-005	0
Diponthus_sp	0.126874	5.65598e-007	7.68321e-005	0
N17	2.00494e-006	0.185795	0.000143416	1.41186e-018
N18	0.000273719	0.0691743	8.05188e-005	6.59106e-014
N19	0.00157539	0.00221686	2.4458e-006	1.48108e-014
Dichroplus_maculipennis	0.363265	0.0144772	4.81698e-005	0
Dichroplus_vittatus	1.37895e-007	1.62771	4.81697e-005	0
Leiotettix_flavipes	0.000206416	0.628606	5.06156e-005	0
Ronderosia_sp	0.000217357	0.697521	0.000131135	0
N20	1.70833e-005	1.11795e-005	0.0705435	2.34249e-012
N21	0.000267377	0.000565354	0.074861	2.29352e-012
Dichroplus_elongatus	2.46459e-005	8.79587e-006	0.00170393	0
N22	7.25552e-007	0.00207223	0.00169366	1.9142e-016
