#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.163286
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.93097
Leiotettix_pulcher: 0.986194
Scotussa_daguerrei: 0.932743
Dichromatos_lilloanus: 0.95716
Chlorus_bolivianus: 1.96609
Ronderosia_sp: 0.989497
Dichroplus_pratensis: 1.0779
Dichroplus_silveiraguidoi: 1.99527
Dichroplus_patruelis: 0.997319
Dichroplus_vittatus: 1.3575
Leiotettix_flavipes: 1.00231
Xyleus_laevipes: 0.999756
Tropidostethus_sp: 0.996414
Total number of loss events: 15.367
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N5: 0.975746
Dichroplus_conspersus: 0.919561
Dichroplus_pratensis: 0.91956
Dichroplus_democraticus: 1.00068
N19: 0.977185
N21: 0.976343
Dichroplus_maculipennis: 0.625623
Dichroplus_vittatus: 0.625618
Leiotettix_flavipes: 0.836498
N25: 0.831344
N43: 1.04938
Total number of duplication events: 11.3775
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 1.62174e-006
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00129608	0.00156916	0.0787289	2.38439e-018
N3	0.00013605	0.000153024	0.00445518	6.2802e-022
N4	1.32207e-006	1.09286e-006	9.43778e-005	2.27995e-025
N5	7.46716e-006	0.0116954	0.975746	3.44772e-014
N6	9.41296e-007	0.0311737	0.00847073	1.07673e-018
N7	0.000168901	0.0267958	0.0150329	8.96362e-016
Atrachelacris_sp	2.19153e-008	0.93097	0.00083153	0
N8	0.00237588	0.000814048	0.000768168	2.03075e-015
N9	0.0547587	1.04492e-005	5.65671e-005	8.27319e-015
N10	0.000164705	0.00146879	6.62856e-006	6.8073e-018
Leiotettix_pulcher	4.12357e-010	0.986194	1.66289e-007	0
Scotussa_lemniscata	0.0138057	1.77737e-007	1.66289e-007	0
Scotussa_impudica	0.0125069	0.000460049	6.79485e-006	0
Scotussa_daguerrei	8.28653e-006	0.932743	6.3362e-005	0
Dichromatos_lilloanus	2.03491e-005	0.95716	0.0158645	0
N11	0.000107427	8.469e-005	0.00139013	3.22334e-020
Chlorus_bolivianus	2.08287e-005	1.96609	0.0229451	0
N12	0.00210149	2.58511e-006	0.00518534	1.22536e-014
N13	8.60234e-005	0.00102596	0.00762212	9.96272e-014
Leiotettix_viridis	0.0110936	0.00146833	0.0101376	1.01311e-012
Ronderosia_sp	1.65542e-006	0.989497	0.0101376	0
Pseudoscopas_nigrigena	0.0101858	0.00184594	0.0177597	5.17714e-013
