#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.125765
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.985428
Dichromatos_lilloanus: 0.985867
Chlorus_bolivianus: 1.24216
Ronderosia_sp: 0.693406
Dichroplus_pratensis: 1.83426
Dichroplus_patruelis: 0.998254
Dichroplus_silveiraguidoi: 1.99604
Leiotettix_pulcher: 0.993729
Scotussa_daguerrei: 0.999658
Dichroplus_vittatus: 1.70254
Leiotettix_flavipes: 0.996859
Xyleus_laevipes: 0.989787
Tropidostethus_sp: 0.999883
Total number of loss events: 16.0183
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N14: 0.531884
Dichroplus_democraticus: 1.00058
N23: 0.951208
N26: 0.636856
Hyalopteryx_rufipennis: 0.91465
N30: 0.703649
N32: 1.00199
N34: 0.869257
N43: 1.46634
Total number of duplication events: 14.8722
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 8.26083e-006
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00583105	0.0187708	0.47476	1.72772e-013
N3	5.00205e-006	1.97909e-005	0.00302299	3.24925e-018
N4	7.58443e-006	1.62888e-005	0.0067234	6.9745e-019
N5	0.000724703	0.000714469	0.00332511	3.88645e-019
N6	0.000256129	0.000270988	0.000502244	5.1977e-019
N7	5.47727e-007	3.39933e-006	2.62209e-005	4.15738e-022
N8	5.6633e-008	0.0165986	0.499208	2.88985e-019
N9	0.000169136	0.00167073	0.405136	5.78452e-013
N10	0.00079187	0.000128318	0.044586	4.81066e-015
Atrachelacris_sp	0.000422698	0.985428	0.0510648	0
N11	0.0166811	6.90057e-005	0.0201924	1.58335e-011
Leiotettix_viridis	0.00110901	0.00304999	0.0308723	4.48333e-010
Pseudoscopas_nigrigena	0.00110901	0.00304999	0.0308723	4.48333e-010
Dichromatos_lilloanus	0.00198914	0.985867	0.095651	0
N12	1.2799e-006	0.292115	0.0327319	8.35097e-017
Chlorus_bolivianus	0.000470501	1.24216	0.46806	0
Ronderosia_sp	0.0115475	0.693406	0.46806	0
N13	5.71193e-007	2.16064e-006	9.52144e-007	9.24884e-024
N14	1.1717e-006	2.9945e-007	0.531884	1.06153e-015
N15	3.37625e-006	7.76489e-006	0.0543479	3.55253e-017
N16	0.000435767	0.0143081	0.260805	3.58105e-013
Dichromorpha_sp	0.0109274	1.04776e-006	0.151794	0
Dichroplus_pratensis	1.41096e-008	1.83426	0.152962	0
Dichroplus_conspersus	0.000565195	0.00226769	0.413767	1.86284e-013
N17	3.52293e-006	1.16532e-006	0.235961	2.29654e-016
N18	0.000242095	0.000884727	0.22487	2.7583e-013
Dichroplus_elongatus	1.24434e-005	7.38901e-006	0.00728336	0
N19	3.21297e-007	0.00173978	0.00722989	7.44563e-017
Dichroplus_paraelongatus	0.00174583	1.09263e-007	5.34669e-005	0
Dichroplus_patruelis	1.77879e-011	0.998254	5.34669e-005	0
N20	0.000242878	0.000870546	0.225362	2.75183e-013
N21	4.55906e-007	5.84221e-006	0.00658318	2.23891e-016
Dichroplus_exilis	2.00437e-008	3.50503e-007	0.000207497	0
Dichroplus_fuscus	2.00437e-008	3.50503e-007	0.000207497	0
Dichroplus_schulzi	2.12116e-007	5.82259e-006	0.00679068	0
N22	3.25865e-006	0.00395833	2.99407e-008	7.58792e-024
Dichroplus_democraticus	0.00329936	0.00113183	1.00058	3.81764e-010
Dichroplus_silveiraguidoi	1.64495e-006	1.99604	2.98057e-006	0
N23	0.000540929	0.000883049	0.951208	1.643e-013
N24	3.96076e-005	1.15307e-006	0.00235924	1.72509e-014
N25	0.000180525	0.00694051	0.0460807	4.6245e-013
Leiotettix_pulcher	3.55409e-009	0.993729	0.000378759	0
Scotussa_lemniscata	0.00627292	2.38896e-006	0.000378757	0
Scotussa_impudica	0.000603132	0.00264906	0.0464594	4.12168e-013
Scotussa_daguerrei	0.000555126	0.999658	0.0488187	0
N26	0.000594402	0.00113463	0.636856	1.9633e-010
N27	0.000339654	0.00999732	0.0761039	5.7592e-012
Dichroplus_maculipennis	0.00918131	0.00151366	0.28757	3.08098e-008
Dichroplus_vittatus	2.54946e-007	1.70254	0.287569	0
N28	4.66066e-005	0.00268873	0.271803	4.16014e-011
Leiotettix_flavipes	0.00112563	0.996859	0.0918705	0
Leptysma_sp	0.00337044	0.00242234	0.0918705	3.32729e-011
N29	2.10455e-005	8.49576e-006	0.0892024	2.31402e-013
Hyalopteryx_rufipennis	0.0037986	0.0185184	0.91465	5.19618e-008
N30	0.00154206	0.00234399	0.703649	3.76874e-009
N31	0.000895522	0.00335793	0.210963	2.41939e-009
Schistocerca_cancellata	4.36061e-009	1.90358e-007	3.8905e-005	0
Schistocerca_pallens	4.36061e-009	1.90358e-007	3.8905e-005	0
Schistocerca_flavofasciata	0.000768961	0.00325496	0.211002	2.41839e-009
N32	0.0036854	0.013158	1.00199	8.12705e-009
N33	1.41952e-006	3.72564e-005	0.0064214	1.5523e-013
Zoniopoda_hempeli	9.16693e-008	4.69723e-006	0.00219396	0
Zoniopoda_omnicolor	9.16693e-008	4.69723e-006	0.00219396	0
Zoniopoda_tarsata	5.00435e-007	0.000284664	0.00861537	0
N34	0.000616211	0.000652269	0.869257	9.97784e-011
N35	2.00455e-006	8.79144e-006	0.0175609	1.49557e-013
N36	0.000297757	0.00110243	0.0692402	1.24148e-012
Diponthus_sp	0.00141587	0.00586004	0.0575401	2.20526e-010
Xyleus_modestus	0.00141587	0.00586004	0.0575401	2.20526e-010
N37	3.81869e-005	5.53486e-005	0.0421174	3.87366e-014
N38	0.000914306	0.00463013	0.0795606	2.41468e-010
Ommexecha_sp	5.73584e-006	0.000345067	0.00510098	0
Prionolopha_serrata	5.73584e-006	0.000345067	0.00510098	0
N39	0.0008738	0.0147649	0.0816869	1.0738e-010
Xyleus_insignis	0.0100397	0.0010081	0.00297466	0
Xyleus_laevipes	5.31521e-006	0.989787	0.00297461	0
N40	0.000928605	0.0033072	0.138343	9.14677e-012
N41	3.55035e-007	6.72159e-005	0.000408704	4.10598e-015
N42	0.000269757	0.00101023	0.00544614	6.79992e-013
Marellia_remipes	3.70868e-007	8.75225e-006	0.000143031	0
Ommatolampis_sp	3.70868e-007	8.75225e-006	0.000143031	0
Tropidostethus_sp	5.86416e-005	0.999883	0.00558917	0
Paulinia_acuminata	0.000530592	0.00299613	0.00599789	4.08183e-014
N43	0.0161351	0.124784	1.46634	8.15885e-006
Trimerotropis_ochraceipennis	2.24499e-005	0.00139761	0.026673	0
Trimerotropis_pallidipennis	2.24499e-005	0.00139761	0.026673	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.00820878	1.02362	1.48836	7.5604e-013
Leiotettix_viridis	0.0255762	0.0413124	1.48836	4.64922e-010
Pseudoscopas_nigrigena	0.0255762	0.0413124	1.48836	4.64922e-010
Dichromatos_lilloanus	0.00898335	1.02393	1.48836	7.51229e-013
Chlorus_bolivianus	0.00729685	1.57067	1.48836	1.7286e-013
Ronderosia_sp	0.0183739	1.02192	1.48836	1.7286e-013
Dichromorpha_sp	0.0181933	0.034115	1.48719	5.31978e-013
Dichroplus_pratensis	0.00726592	1.86837	1.48836	5.31978e-013
Dichroplus_conspersus	0.00739533	0.0220736	1.48836	3.60158e-013
Dichroplus_elongatus	0.00708482	0.0206914	1.48836	4.49898e-013
Dichroplus_paraelongatus	0.00881853	0.0224239	1.48836	4.49972e-013
Dichroplus_patruelis	0.0070727	1.02068	1.48836	4.49972e-013
Dichroplus_exilis	0.00707364	0.0206761	1.48836	4.49474e-013
Dichroplus_fuscus	0.00707364	0.0206761	1.48836	4.49474e-013
Dichroplus_schulzi	0.00707337	0.0206757	1.48836	4.4925e-013
Dichroplus_democraticus	0.0101282	0.024888	1.48894	3.81937e-010
Dichroplus_silveiraguidoi	0.00683049	2.01979	0.488364	1.72776e-013
Leiotettix_pulcher	0.00758553	1.02135	1.48836	8.16777e-013
Scotussa_lemniscata	0.0138584	0.0276194	1.48836	8.16777e-013
Scotussa_impudica	0.00800814	0.0233256	1.48836	7.66495e-013
Scotussa_daguerrei	0.00792052	1.02033	1.48836	3.37076e-013
Dichroplus_maculipennis	0.0166837	0.0321669	1.48836	3.1012e-008
Dichroplus_vittatus	0.00750265	1.73319	1.48836	2.02262e-010
Leiotettix_flavipes	0.00833498	1.0202	1.48836	2.38104e-010
Leptysma_sp	0.0105798	0.025767	1.48836	2.71377e-010
Hyalopteryx_rufipennis	0.00966328	0.0373337	1.48836	5.19622e-008
Schistocerca_cancellata	0.00830227	0.0245174	1.48836	6.18854e-009
Schistocerca_pallens	0.00830227	0.0245174	1.48836	6.18854e-009
Schistocerca_flavofasciata	0.00817571	0.0244143	1.48836	6.18753e-009
Zoniopoda_hempeli	0.00952296	0.0319905	1.48839	8.12738e-009
Zoniopoda_omnicolor	0.00952296	0.0319905	1.48839	8.12738e-009
Zoniopoda_tarsata	0.00952195	0.0322332	1.48839	8.12723e-009
Diponthus_sp	0.00816289	0.0263943	1.48836	3.21868e-010
Xyleus_modestus	0.00816289	0.0263943	1.48836	3.21868e-010
Ommexecha_sp	0.00740749	0.0244624	1.48836	3.41608e-010
Prionolopha_serrata	0.00740749	0.0244624	1.48836	3.41608e-010
Xyleus_insignis	0.0174009	0.0352602	1.48836	2.0752e-010
Xyleus_laevipes	0.00736657	1.02404	1.48836	2.0752e-010
Marellia_remipes	0.00764635	0.0238164	1.48836	1.09782e-010
Ommatolampis_sp	0.00764635	0.0238164	1.48836	1.09782e-010
Tropidostethus_sp	0.00743486	1.02268	1.48836	1.09102e-010
Paulinia_acuminata	0.00790646	0.0257264	1.48836	1.09139e-010
Trimerotropis_ochraceipennis	0.0161575	0.126181	1.49302	8.15885e-006
Trimerotropis_pallidipennis	0.0161575	0.126181	1.49302	8.15885e-006
