#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.169769
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.998061
Leiotettix_pulcher: 0.995903
Scotussa_daguerrei: 0.999539
Dichromatos_lilloanus: 0.990413
Dichroplus_vittatus: 1.63168
Leiotettix_flavipes: 0.880677
Ronderosia_sp: 0.897504
Dichroplus_pratensis: 1.25959
Dichroplus_silveiraguidoi: 1.99014
Dichroplus_patruelis: 0.998945
Chlorus_bolivianus: 1.03478
N38: 0.971567
Total number of loss events: 13.9226
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Dichromorpha_sp: 0.73692
Dichroplus_pratensis: 0.736919
Dichroplus_conspersus: 0.811909
Dichroplus_democraticus: 1.00212
N24: 0.580716
Chlorus_bolivianus: 1.00013
N29: 0.960988
N32: 0.696158
N40: 0.922946
N43: 1.01497
Total number of duplication events: 12.9549
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 1.01509e-006
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.000118091	0.00013284	0.0114312	4.28676e-024
N3	0.000205641	0.00018731	0.00719596	3.58193e-020
N4	0.000658846	0.00266288	0.00395199	5.00817e-018
N5	0.00207229	0.000114803	0.000129972	3.55263e-020
N6	1.48981e-007	2.32043e-008	0.437621	5.24141e-018
N7	7.25979e-005	6.66916e-005	0.381287	4.51238e-015
N8	9.11426e-005	9.13078e-005	0.15061	3.93188e-016
N9	0.000108858	0.000120418	0.0180542	3.34825e-017
N10	0.000113027	0.00204555	0.00824839	7.98022e-016
Atrachelacris_sp	8.6411e-007	0.998061	0.00417356	0
Pseudoscopas_nigrigena	0.00233253	0.00103258	0.00417356	1.22263e-013
N11	0.000465035	0.00196369	0.0124206	3.05091e-015
Hyalopteryx_rufipennis	1.72979e-009	4.7747e-008	1.3379e-006	0
Leiotettix_viridis	1.72979e-009	4.7747e-008	1.3379e-006	0
N12	0.000105973	0.000566974	0.020457	4.51711e-018
N13	0.000471673	0.000133417	0.00681641	3.9026e-014
N14	0.000249899	0.00447903	0.0031073	6.06799e-015
Leiotettix_pulcher	4.64797e-007	0.995903	9.54631e-005	0
Scotussa_lemniscata	0.0042122	0.00011473	9.54627e-005	0
Scotussa_impudica	0.00039733	0.000829867	0.00320276	3.24157e-013
Scotussa_daguerrei	3.14933e-007	0.999539	0.0100192	0
N15	0.000413101	0.0117594	0.180921	3.40552e-013
Dichromatos_lilloanus	5.88958e-010	0.990413	0	0
Leptysma_sp	0.00942091	6.54179e-007	0.000165064	0
N16	7.40868e-005	0.102657	0.224254	4.01393e-019
N17	0.000146935	0.0170309	0.0577572	1.03591e-013
N18	0.00241217	0.00876418	0.0377881	2.34881e-013
Dichroplus_maculipennis	0.121523	0.0049195	0.242574	2.19866e-007
Dichroplus_vittatus	1.46e-006	1.63168	0.242573	0
Leiotettix_flavipes	0.000137035	0.880677	0.280362	0
Ronderosia_sp	4.36387e-005	0.897504	0.338119	0
N19	0.000107856	0.00010764	7.03116e-007	2.59312e-026
N20	9.45638e-005	0.000106308	0.18809	5.67663e-019
N21	0.000108229	0.00348607	0.0749896	1.16784e-014
Dichromorpha_sp	0.00334881	0.000421759	0.73692	4.742e-009
Dichroplus_pratensis	1.24291e-006	1.25959	0.736919	0
Dichroplus_conspersus	0.000100109	0.000379422	0.811909	6.43761e-012
N22	7.94594e-008	3.02264e-007	4.8354e-009	5.54101e-029
N23	0.000135082	0.00995088	2.93521e-008	2.41003e-028
Dichroplus_democraticus	0.00562068	0.00210142	1.00212	4.58124e-012
Dichroplus_silveiraguidoi	1.17891e-005	1.99014	1.32132e-005	0
N24	5.30985e-005	5.23808e-005	0.580716	2.42818e-018
N25	0.000248023	0.000753775	0.415592	2.16425e-012
Dichroplus_elongatus	0.000114798	0.000108755	0.00369216	0
N26	0.000104891	0.00114434	0.00368242	7.52213e-019
Dichroplus_paraelongatus	0.0010455	8.26818e-009	9.73765e-006	0
Dichroplus_patruelis	6.70976e-013	0.998945	0	0
N27	0.000161242	0.000479906	0.402879	2.29486e-012
N28	0.000111244	0.000116381	0.0164031	1.27454e-018
Dichroplus_exilis	1.3659e-010	2.04103e-009	1.83571e-006	0
Dichroplus_fuscus	1.3659e-010	2.04103e-009	1.83571e-006	0
Dichroplus_schulzi	0.000111809	0.000116945	0.0164049	0
Chlorus_bolivianus	2.95417e-006	1.03478	1.00013	0
N29	0.00114276	0.00390283	0.960988	5.31192e-007
N30	0.000240923	0.000551034	0.0430757	4.50142e-015
Schistocerca_cancellata	1.56077e-009	3.42436e-008	1.62416e-005	0
Schistocerca_pallens	1.56077e-009	3.42436e-008	1.62416e-005	0
Schistocerca_flavofasciata	0.000242775	0.000554743	0.0430919	0
N31	0.000119077	0.000106555	0.0880285	6.53277e-014
N32	0.00043193	0.000767502	0.696158	1.67001e-008
N33	0.00046555	0.00293362	0.214313	2.12103e-009
Diponthus_sp	0.000245626	0.000552917	0.0127658	0
Xyleus_modestus	0.000245626	0.000552917	0.0127658	0
N34	0.000340055	0.00114965	0.211567	5.85776e-010
N35	0.000113937	0.000148922	0.0142294	1.36144e-015
N36	4.91648e-007	0.000773788	0.000852202	3.51597e-018
N37	0.0010449	0.000498002	0.000416119	1.58726e-016
Marellia_remipes	0.000110388	0.000112149	1.34855e-005	0
Xyleus_insignis	0.000110388	0.000112149	1.34855e-005	0
N38	3.33241e-006	0.971567	0.000428863	1.54282e-020
Tropidostethus_sp	0.000113521	0.027753	7.41158e-007	0
Xyleus_laevipes	0.000113521	0.027753	7.41158e-007	0
Paulinia_acuminata	0.000299808	0.000830545	0.00128214	1.40596e-016
N39	0.000120951	0.000128276	0.00843411	1.28847e-014
Ommatolampis_sp	0.000418132	0.000990267	0.00707735	1.21423e-013
Prionolopha_serrata	0.000418132	0.000990267	0.00707735	1.21423e-013
N40	0.00217714	0.00893866	0.922946	6.25959e-008
N41	1.04655e-007	1.10056e-006	0.000223326	7.14733e-020
Ommexecha_sp	0.000108791	0.000108952	7.22546e-005	0
Zoniopoda_tarsata	0.000108791	0.000108952	7.22546e-005	0
N42	9.76726e-008	1.08649e-006	0.000213603	9.8187e-020
Zoniopoda_hempeli	0.000109074	0.000109242	8.19776e-005	0
Zoniopoda_omnicolor	0.000109074	0.000109242	8.19776e-005	0
N43	0.00325688	0.0139007	1.01497	1.77268e-007
Trimerotropis_ochraceipennis	0.00011277	0.00017251	0.00775231	0
Trimerotropis_pallidipennis	0.00011277	0.00017251	0.00775231	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.0034415	1.00348	1.0227	5.74739e-015
Pseudoscopas_nigrigena	0.00577317	0.0064544	1.0227	1.2801e-013
Hyalopteryx_rufipennis	0.00379265	0.00534001	1.0227	8.00028e-015
Leiotettix_viridis	0.00379265	0.00534001	1.0227	8.00028e-015
Leiotettix_pulcher	0.00404676	1.00434	1.0227	5.00144e-014
Scotussa_lemniscata	0.0082585	0.00855001	1.0227	5.00144e-014
Scotussa_impudica	0.00419373	0.00478611	1.0227	3.68103e-013
Scotussa_daguerrei	0.00332504	1.00336	1.0227	4.9204e-015
Dichromatos_lilloanus	0.00354071	1.00534	1.02254	3.45074e-013
Leptysma_sp	0.0129616	0.0149246	1.0227	3.45074e-013
Dichroplus_maculipennis	0.127211	0.136469	1.0227	2.19866e-007
Dichroplus_vittatus	0.00568966	1.76322	1.0227	3.38482e-013
Leiotettix_flavipes	0.00341307	1.00346	1.0227	1.03601e-013
Ronderosia_sp	0.00317274	1.00326	1.0227	1.07223e-017
Dichromorpha_sp	0.00671432	0.00721961	1.02271	4.74202e-009
Dichroplus_pratensis	0.00336676	1.26639	1.02271	1.1684e-014
Dichroplus_conspersus	0.00335739	0.0036912	1.02271	6.43762e-012
Dichroplus_democraticus	0.00891856	0.0152581	1.02483	4.58124e-012
Dichroplus_silveiraguidoi	0.00330967	2.0033	0.0227231	5.07952e-018
Dichroplus_elongatus	0.00357872	0.00412068	1.02271	2.16426e-012
Dichroplus_paraelongatus	0.00461431	0.00515628	1.02271	2.16426e-012
Dichroplus_patruelis	0.00356881	1.0041	1.0227	2.16426e-012
Dichroplus_exilis	0.00348839	0.00385444	1.02271	2.29487e-012
Dichroplus_fuscus	0.00348839	0.00385444	1.02271	2.29487e-012
Dichroplus_schulzi	0.00348895	0.00385501	1.02271	2.29486e-012
Chlorus_bolivianus	0.000985532	1.03776	1.02271	5.04399e-018
Schistocerca_cancellata	0.00170742	0.00477405	1.02271	5.31192e-007
Schistocerca_pallens	0.00170742	0.00477405	1.02271	5.31192e-007
Schistocerca_flavofasciata	0.00170927	0.00477772	1.02271	5.31192e-007
Diponthus_sp	0.00138028	0.00449344	1.0227	1.88212e-008
Xyleus_modestus	0.00138028	0.00449344	1.0227	1.88212e-008
Marellia_remipes	0.00227887	0.00368941	1.0227	1.7286e-008
Xyleus_insignis	0.00227887	0.00368941	1.0227	1.7286e-008
Tropidostethus_sp	0.00124044	1.0024	1.0227	1.7286e-008
Xyleus_laevipes	0.00124044	1.0024	1.0227	1.7286e-008
Paulinia_acuminata	0.0014229	0.00313601	1.0227	1.7286e-008
Ommatolampis_sp	0.00154824	0.00327509	1.0227	1.72861e-008
Prionolopha_serrata	0.00154824	0.00327509	1.0227	1.72861e-008
Ommexecha_sp	0.0025232	0.0092881	1.0227	6.2596e-008
