#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.112913
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.971282
N10: 0.690912
Leiotettix_pulcher: 0.994955
Scotussa_daguerrei: 0.994851
Chlorus_bolivianus: 1.33345
Dichroplus_pratensis: 1.22199
Dichroplus_silveiraguidoi: 1.99537
Dichroplus_patruelis: 0.998106
Dichroplus_vittatus: 1.51629
Leiotettix_flavipes: 0.985013
Tropidostethus_sp: 0.998597
Xyleus_laevipes: 0.998224
Total number of loss events: 14.4801
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N7: 0.651317
Chlorus_bolivianus: 0.730373
Dichroplus_conspersus: 0.816447
Dichroplus_pratensis: 0.814296
Dichroplus_democraticus: 1.002
N19: 0.603691
N21: 0.602701
Pseudoscopas_nigrigena: 1.00012
Leiotettix_flavipes: 0.59317
Diponthus_sp: 0.860231
N43: 1.23997
Total number of duplication events: 13.8623
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.000630821
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00225496	0.00462474	0.227027	1.24573e-016
N3	0.00260348	0.00341632	0.0464161	3.08127e-018
N4	1.6048e-006	3.20688e-006	0.000272948	7.82593e-022
N5	1.47468e-007	8.21497e-007	0.000116291	3.95166e-024
N6	1.0284e-007	0.00432473	0.269636	2.90359e-019
N7	4.33062e-005	0.000272057	0.651317	1.13209e-013
N8	9.82078e-007	0.0208875	0.0541352	2.94909e-016
N9	0.000882471	0.00345833	0.0187045	2.98015e-012
Atrachelacris_sp	8.51315e-005	0.971282	0.00521135	0
Leiotettix_viridis	0.0281448	0.00190761	0.00521138	1.51879e-011
N10	1.24449e-006	0.690912	0.0201313	7.30635e-017
Dichromatos_lilloanus	0.000382271	0.283034	0.00378463	1.86562e-013
Ronderosia_sp	0.000382271	0.283034	0.00378463	1.86562e-013
N11	9.67927e-005	0.000377126	0.0359131	5.7515e-013
N12	0.00450099	0.000281558	0.0327609	5.04946e-011
N13	0.000159424	0.00481519	0.00994937	1.39292e-011
Leiotettix_pulcher	2.76496e-010	0.994955	5.86537e-005	0
Scotussa_lemniscata	0.00504412	6.99394e-007	5.86537e-005	0
Scotussa_impudica	0.00081245	0.000441883	0.010008	1.40346e-011
Scotussa_daguerrei	0.000803881	0.994851	0.042769	4.63453e-013
Chlorus_bolivianus	9.52598e-008	1.33345	0.730373	0
N14	1.81463e-007	4.05799e-007	5.84849e-006	3.95675e-026
N15	0.000352706	0.00618076	0.185707	1.14575e-015
Dichroplus_conspersus	0.00352146	0.00507591	0.816447	4.86563e-008
Dichroplus_pratensis	5.58551e-007	1.22199	0.814296	0
N16	1.26446e-007	2.63326e-007	1.45278e-007	1.31148e-026
N17	0.000239204	0.00333962	2.49421e-007	2.29427e-025
Dichroplus_democraticus	0.00228965	0.00366592	1.002	1.25473e-011
Dichroplus_silveiraguidoi	2.92647e-006	1.99537	5.86962e-006	0
N18	1.46971e-006	3.15221e-007	0.375841	2.34163e-016
N19	0.000354962	0.00048163	0.603691	1.41875e-012
Dichroplus_elongatus	1.17677e-005	6.76739e-006	0.0204689	5.76172e-014
N20	3.01253e-007	0.00188945	0.0203661	5.61424e-014
Dichroplus_paraelongatus	0.0018942	7.67651e-008	0.000102846	0
Dichroplus_patruelis	1.80756e-011	0.998106	0.000102846	0
N21	0.000354313	0.00046987	0.602701	1.43172e-012
N22	3.32289e-007	7.21485e-006	0.02134	6.63338e-014
Dichroplus_exilis	5.34715e-009	9.70411e-008	0.000118475	0
Dichroplus_fuscus	5.34715e-009	9.70411e-008	0.000118475	0
Dichroplus_schulzi	2.52624e-007	7.18517e-006	0.0214585	6.63415e-014
Pseudoscopas_nigrigena	0.00104157	0.00243105	1.00012	1.90964e-014
N23	0.000149764	0.0151576	0.407228	3.03942e-014
N24	0.000626535	0.00763158	0.112181	7.96337e-011
Dichroplus_maculipennis	0.0188949	0.00116797	0.478536	7.60934e-008
Dichroplus_vittatus	4.90162e-007	1.51629	0.480987	0
Leiotettix_flavipes	0.0112645	0.985013	0.59317	6.1185e-011
N25	0.000103039	0.000154481	0.187531	8.18092e-011
N26	0.000175649	0.000248902	0.484724	1.03617e-010
N27	0.000206592	0.000421771	0.215652	1.62181e-011
N28	0.000156383	0.000443788	0.0913288	4.13695e-011
N29	3.30936e-005	5.40174e-005	0.0289927	6.8075e-012
Dichromorpha_sp	0.000207026	0.0015584	0.0383276	3.77006e-012
Hyalopteryx_rufipennis	0.000207026	0.0015584	0.0383276	3.77006e-012
Leptysma_sp	0.00056188	0.00285114	0.0673203	2.98637e-012
N30	0.000761811	0.00434103	0.151004	1.7977e-010
N31	1.60162e-006	0.000321427	0.00764359	1.49142e-012
Schistocerca_cancellata	1.95836e-009	5.3188e-008	5.15625e-006	0
Schistocerca_pallens	1.95836e-009	5.3188e-008	5.15625e-006	0
Schistocerca_flavofasciata	1.5745e-006	0.000324675	0.00764875	1.49094e-012
N32	0.000147709	0.000345779	0.251122	1.24536e-011
N33	4.91742e-006	2.2266e-005	0.0312971	1.18951e-012
N34	1.80274e-005	2.73133e-005	0.0567155	4.55891e-013
N35	7.22492e-006	1.34246e-005	0.0165867	1.6299e-013
N36	3.83899e-006	0.000256339	0.0166825	8.09846e-014
