#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.247712
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.938897
Dichromatos_lilloanus: 0.933659
Ronderosia_sp: 0.933383
Leiotettix_pulcher: 0.996993
Scotussa_daguerrei: 0.990855
Dichroplus_vittatus: 1.89379
Leiotettix_flavipes: 0.911406
Chlorus_bolivianus: 1.93576
Dichroplus_pratensis: 1.96375
Dichroplus_patruelis: 0.996645
Dichroplus_silveiraguidoi: 1.97533
Xyleus_laevipes: 0.998914
Tropidostethus_sp: 0.999576
Total number of loss events: 16.7951
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N5: 0.939026
Dichroplus_democraticus: 1.00614
N24: 0.989828
N26: 0.815675
N43: 1.04097
Total number of duplication events: 7.76471
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 1.07145e-006
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00118061	0.00199082	0.0584405	4.54224e-017
N3	0.000116911	0.000115116	0.000691543	4.16008e-020
N4	0.000421878	0.000431758	0.00145626	4.27869e-018
N5	0.0015169	0.00266144	0.939026	9.60305e-012
N6	2.7678e-008	0.00739473	0.00394591	1.98309e-018
N7	9.16238e-006	0.000992934	0.0273249	7.75967e-017
N8	0.000119818	0.00244076	0.0289377	1.87401e-016
N9	6.66084e-007	0.0493042	0.000836525	1.07451e-019
Atrachelacris_sp	0.000107441	0.938897	0.000230528	0
N10	2.82067e-005	0.00525272	0.000141224	3.76263e-020
Dichromatos_lilloanus	9.21826e-005	0.933659	8.89071e-005	0
N11	0.00041516	0.000680668	2.92977e-005	2.10339e-014
Leiotettix_viridis	0.0656361	0.00503595	5.96094e-005	3.70704e-012
Ronderosia_sp	8.01133e-005	0.933383	5.96094e-005	0
N12	0.00318294	0.000452484	0.00103715	8.17267e-012
N13	0.00882525	4.11708e-006	2.54111e-005	4.45961e-013
N14	0.00040396	0.000133171	2.38704e-005	7.70151e-012
N15	0.000113835	0.00307409	2.59794e-006	6.58361e-016
Leiotettix_pulcher	4.19276e-011	0.996993	1.34073e-008	0
Scotussa_lemniscata	0.00300717	1.99597e-007	1.34073e-008	0
Scotussa_impudica	0.000169014	0.000122195	2.61134e-006	1.62387e-014
Pseudoscopas_nigrigena	0.000721523	0.000952036	2.64817e-005	9.13009e-013
Scotussa_daguerrei	4.71774e-006	0.990855	5.18929e-005	0
N16	0.000142989	0.0792905	0.0168172	9.85801e-013
N17	0.0016474	0.00821294	0.00228999	4.50843e-011
Dichroplus_maculipennis	0.0945506	0.00142003	0.0109196	9.19519e-008
Dichroplus_vittatus	2.26237e-007	1.89379	0.0109195	0
Leiotettix_flavipes	0.000303149	0.911406	0.0132096	0
Chlorus_bolivianus	1.10924e-005	1.93576	0.0573664	0
N18	0.000984031	0.000201533	0.0278042	2.31454e-010
N19	0.000134971	0.0080399	0.00556658	9.55974e-013
Dichroplus_conspersus	0.00859939	0.000521687	0.0279573	4.16112e-009
Dichroplus_pratensis	2.34384e-008	1.96375	0.0279572	0
N20	0.000770676	0.000460778	0.0315419	2.29263e-010
Dichroplus_elongatus	0.000166723	0.000132342	0.00198194	8.61569e-014
N21	0.000117328	0.00343445	0.00197896	4.60738e-016
Dichroplus_paraelongatus	0.00335154	7.90645e-008	2.98235e-006	0
Dichroplus_patruelis	1.43334e-011	0.996645	0	0
N22	0.000119523	0.000147137	3.67024e-005	3.9038e-021
N23	0.000826951	0.0248915	9.17357e-005	1.68337e-019
Dichroplus_democraticus	0.0122834	0.00991158	1.00614	1.00976e-010
Dichroplus_silveiraguidoi	0.00014717	1.97533	0.0002552	0
N24	0.00233291	0.0038503	0.989828	1.87696e-009
N25	1.09937e-006	1.63678e-005	0.0099189	1.42841e-014
Dichroplus_exilis	5.54952e-008	9.2942e-007	0.000571885	0
Dichroplus_fuscus	5.54952e-008	9.2942e-007	0.000571885	0
Dichroplus_schulzi	0.000126155	0.00014203	0.0104908	2.72743e-013
N26	0.00269904	0.00412374	0.815675	1.72693e-008
N27	0.00153769	0.00392118	0.186095	3.58997e-009
Schistocerca_cancellata	9.48026e-009	2.83036e-007	4.30788e-005	0
Schistocerca_pallens	9.48026e-009	2.83036e-007	4.30788e-005	0
Schistocerca_flavofasciata	0.00168285	0.00435563	0.186138	3.58927e-009
N28	0.000623511	0.000619879	0.476284	4.89859e-013
N29	0.00246913	0.00731061	0.475932	3.13567e-009
N30	0.000452365	0.00101319	0.0496983	2.14929e-010
Dichromorpha_sp	0.000128425	0.000115048	0.00058343	0
N31	2.82837e-007	0.00107244	0.000566672	9.84093e-018
Leptysma_sp	0.00108567	1.56098e-007	1.67587e-005	0
Xyleus_laevipes	1.45195e-011	0.998914	1.67587e-005	0
N32	0.000637018	0.00175158	0.0502385	1.71645e-010
Hyalopteryx_rufipennis	2.18684e-008	5.72448e-007	4.31789e-005	0
Xyleus_insignis	2.18684e-008	5.72448e-007	4.31789e-005	0
N33	0.000377009	0.000378843	0.192097	4.57309e-011
N34	6.06389e-005	5.97017e-005	0.0988687	4.41838e-011
N35	0.00253224	0.00930789	0.229121	6.20475e-010
Diponthus_sp	0.000125028	0.000216546	0.00612619	1.56309e-012
Xyleus_modestus	0.000125028	0.000216546	0.00612619	1.56309e-012
N36	0.00093831	0.00169786	0.219835	1.44363e-010
N37	2.77578e-006	4.36627e-005	0.0132098	7.15273e-014
N38	1.02367e-005	4.36809e-006	0.000815627	1.71683e-016
Marellia_remipes	0.000574684	0.00144516	0.00138672	4.92157e-014
Paulinia_acuminata	0.000574684	0.00144516	0.00138672	4.92157e-014
N39	1.57039e-006	0.000428097	0.00192712	3.98506e-016
N40	0.000418531	3.77522e-006	0.00014732	7.22355e-014
Ommexecha_sp	0.000403253	0.000397903	0.000127904	4.63569e-013
Prionolopha_serrata	0.000403253	0.000397903	0.000127904	4.63569e-013
Tropidostethus_sp	5.09208e-006	0.999576	0.000275225	0
Ommatolampis_sp	0.00146181	0.00374579	0.0154122	9.36822e-013
N41	0.0038547	0.0151375	0.333353	1.58305e-011
Zoniopoda_hempeli	2.77181e-007	1.33528e-005	0.000762792	0
N42	4.10707e-007	1.30465e-005	0.000703538	2.29574e-016
Zoniopoda_omnicolor	1.49814e-008	4.91753e-007	5.92538e-005	0
Zoniopoda_tarsata	1.49814e-008	4.91753e-007	5.92538e-005	0
N43	0.0112251	0.0439056	1.04097	9.43719e-007
Trimerotropis_ochraceipennis	0.000265168	0.000639321	0.0218692	1.29616e-010
Trimerotropis_pallidipennis	0.000265168	0.000639321	0.0218692	1.29616e-010
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.00347342	1.00423	1.06089	9.60337e-012
Dichromatos_lilloanus	0.00348637	1.00424	1.06089	9.60337e-012
Leiotettix_viridis	0.0694455	0.076301	1.06089	1.33314e-011
Ronderosia_sp	0.00388946	1.00465	1.06089	9.6244e-012
Leiotettix_pulcher	0.0158913	1.01668	1.06091	2.59242e-011
Scotussa_lemniscata	0.0188985	0.0196916	1.06091	2.59242e-011
Scotussa_impudica	0.0159465	0.0167395	1.06091	2.59398e-011
Pseudoscopas_nigrigena	0.016095	0.0174362	1.06091	1.9135e-011
Scotussa_daguerrei	0.00655297	1.00733	1.06091	1.7776e-011
Dichroplus_maculipennis	0.0995865	0.10251	1.06091	9.20075e-008
Dichroplus_vittatus	0.00503612	1.99488	1.06091	5.56733e-011
Leiotettix_flavipes	0.00369164	1.00428	1.06091	1.0589e-011
Chlorus_bolivianus	0.00324743	1.94835	1.06093	9.6031e-012
Dichroplus_conspersus	0.0129547	0.0139623	1.06094	4.40314e-009
Dichroplus_pratensis	0.00435533	1.97719	1.06094	2.42013e-010
Dichroplus_elongatus	0.00515774	0.00599379	1.06094	4.70406e-010
Dichroplus_paraelongatus	0.00845989	0.00929597	1.06094	4.7032e-010
Dichroplus_patruelis	0.00510834	1.00594	1.06094	4.7032e-010
Dichroplus_democraticus	0.0149493	0.0374879	1.06686	1.00976e-010
Dichroplus_silveiraguidoi	0.00281305	2.00291	0.060972	4.9915e-017
Dichroplus_exilis	0.00417299	0.00655242	1.06094	1.87698e-009
Dichroplus_fuscus	0.00417299	0.00655242	1.06094	1.87698e-009
Dichroplus_schulzi	0.00429799	0.00667716	1.06094	1.87724e-009
Schistocerca_cancellata	0.00553426	0.0101511	1.06094	2.08593e-008
Schistocerca_pallens	0.00553426	0.0101511	1.06094	2.08593e-008
Schistocerca_flavofasciata	0.00567941	0.0105853	1.06094	2.08586e-008
Dichromorpha_sp	0.00485405	0.0110495	1.06094	3.35109e-009
Leptysma_sp	0.00581158	0.0120071	1.06094	3.35109e-009
Xyleus_laevipes	0.0047259	1.01092	1.06094	3.35109e-009
Hyalopteryx_rufipennis	0.0049103	0.0116735	1.06094	3.30781e-009
Xyleus_insignis	0.0049103	0.0116735	1.06094	3.30781e-009
Diponthus_sp	0.00489904	0.0125737	1.06094	7.12442e-010
Xyleus_modestus	0.00489904	0.0125737	1.06094	7.12442e-010
Marellia_remipes	0.00376778	0.00624029	1.06094	2.34889e-010
Paulinia_acuminata	0.00376778	0.00624029	1.06094	2.34889e-010
Ommexecha_sp	0.00400621	0.00562054	1.06094	2.35375e-010
Prionolopha_serrata	0.00400621	0.00562054	1.06094	2.35375e-010
