#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.477277
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.695324
Ronderosia_sp: 0.693852
Chlorus_bolivianus: 1.44256
Leiotettix_pulcher: 0.989016
Scotussa_daguerrei: 0.951458
Dichroplus_vittatus: 1.95505
Leiotettix_flavipes: 0.997311
Dichroplus_patruelis: 0.998386
Dichroplus_pratensis: 1.18218
Dichroplus_silveiraguidoi: 1.99225
Xyleus_laevipes: 0.993269
Tropidostethus_sp: 0.988209
Total number of loss events: 15.3332
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N5: 0.641336
N17: 0.76027
Dichroplus_conspersus: 0.882077
Dichroplus_pratensis: 0.882075
Dichroplus_democraticus: 1.00005
Diponthus_sp: 1.00143
N24: 0.968532
N28: 0.685477
N33: 0.762213
Xyleus_modestus: 0.519551
N43: 1.49569
Total number of duplication events: 12.9189
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 4.04871e-005
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00732067	0.0210567	0.468769	3.6135e-014
N3	0.00187194	0.00208456	0.0314916	3.23165e-018
N4	1.80143e-006	8.21752e-006	0.234412	4.94619e-013
N5	0.000100174	0.0021141	0.641336	4.47504e-014
N6	0.000196585	0.0490767	0.114914	6.41756e-016
N7	7.83946e-007	0.24884	0.00394137	6.73728e-018
N8	0.0005772	0.00778105	0.00373026	6.76529e-014
N9	0.00240832	0.000654755	0.000537502	3.09356e-012
Atrachelacris_sp	0.000433328	0.695324	0.00167017	0
Leiotettix_viridis	0.276936	0.0610465	0.00167017	1.40147e-010
Ronderosia_sp	0.000732407	0.693852	0.00220767	0
N10	2.66273e-006	0.252387	0.000169684	1.89935e-017
Chlorus_bolivianus	6.41782e-007	1.44256	0.00576828	0
Dichromatos_lilloanus	0.00175761	0.449536	0.00576828	0
N11	0.00409745	0.00212417	0.00754062	8.84427e-013
N12	0.0423897	0.000791083	0.00186191	1.57988e-009
N13	0.000685805	0.00558175	0.00047009	1.71003e-010
Leiotettix_pulcher	3.07593e-009	0.989016	6.7197e-006	0
Scotussa_lemniscata	0.0111977	0.000219377	6.71967e-006	0
Scotussa_impudica	0.00697128	0.00157407	0.000476809	1.71561e-010
Scotussa_daguerrei	5.82818e-005	0.951458	0.00233872	0
N14	0.000165738	0.000915845	0.0320889	7.35152e-013
N15	0.0027645	0.0016431	0.0449369	9.96907e-008
N16	0.000239897	0.00599094	0.00546224	1.12081e-012
Dichroplus_maculipennis	0.00679276	0.00117628	0.042323	3.54401e-009
Dichroplus_vittatus	3.6411e-008	1.95505	0.0423056	0
Pseudoscopas_nigrigena	0.00198297	0.00234132	0.0477679	3.87428e-010
Leiotettix_flavipes	1.03839e-005	0.997311	0.0927048	0
N17	0.00351779	0.00818236	0.76027	1.23973e-010
Dichroplus_elongatus	0.000254557	0.000247858	0.00586244	0
N18	0.00010717	0.00171398	0.00580009	1.43423e-015
Dichroplus_paraelongatus	0.00171817	0.000104585	6.23391e-005	0
Dichroplus_patruelis	7.00323e-011	0.998386	6.23391e-005	0
N19	0.00050048	0.000509735	0.000474109	4.92983e-021
N20	0.000482149	0.00705155	0.117995	7.56221e-012
Dichroplus_conspersus	0.00733456	0.00338369	0.882077	1.32511e-007
Dichroplus_pratensis	1.09057e-005	1.18218	0.882075	0
N21	5.39938e-006	2.23736e-006	1.50024e-005	1.88233e-021
N22	0.000233201	0.000270483	1.24752e-005	3.52258e-022
Dichroplus_democraticus	0.00156878	0.00270109	1.00005	4.99566e-012
N23	0.000514578	0.00814563	6.38297e-006	6.85945e-021
Dichroplus_silveiraguidoi	2.72025e-005	1.99225	3.63751e-005	0
Diponthus_sp	0.0058235	0.00240515	1.00143	2.43412e-011
N24	0.00159323	0.00274882	0.968532	2.0149e-010
N25	0.000226724	0.000476356	0.0314333	5.83214e-015
Dichroplus_exilis	8.61595e-009	1.62486e-007	8.93556e-005	0
Dichroplus_fuscus	8.61595e-009	1.62486e-007	8.93556e-005	0
Dichroplus_schulzi	0.000231942	0.000487026	0.0315226	0
N26	0.000191697	0.000356962	0.20664	7.33045e-011
N27	0.000140655	0.000121884	0.062016	2.87245e-012
N28	0.00330696	0.00699742	0.685477	7.22201e-009
N29	0.000257562	0.000593309	0.0436134	3.19008e-011
Dichromorpha_sp	0.00166542	0.00270285	0.0342965	2.48852e-012
N30	0.000526128	0.000838576	0.0285165	1.10816e-011
