#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.648512
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.940489
Dichromatos_lilloanus: 0.5876
Ronderosia_sp: 0.5876
Leiotettix_pulcher: 0.964605
Scotussa_daguerrei: 0.845711
Chlorus_bolivianus: 1.5416
Dichroplus_vittatus: 1.57686
Leiotettix_flavipes: 0.653816
Dichroplus_silveiraguidoi: 1.99476
Dichroplus_pratensis: 1.04144
Dichroplus_patruelis: 0.998065
Tropidostethus_sp: 0.999934
Xyleus_laevipes: 0.997766
Total number of loss events: 14.5389
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N6: 0.689273
N18: 0.825676
Dichroplus_conspersus: 1.00003
Dichroplus_democraticus: 1.00088
Dichroplus_pratensis: 1.00001
N23: 0.983008
N25: 0.960162
N43: 0.965171
Total number of duplication events: 8.71083
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 1.17814e-007
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00283994	0.00331225	0.0647215	6.3108e-017
N3	0.0013041	0.00135265	0.00665607	2.80911e-018
N4	1.31565e-006	1.11755e-005	0.000341011	1.02862e-022
N5	6.24165e-007	2.96127e-007	0.166716	1.5664e-018
N6	5.13964e-005	0.0597992	0.689273	9.18519e-015
N7	0.000791639	0.00157904	0.134908	2.82323e-014
N8	0.00108409	0.000107383	0.00312523	2.2638e-014
Atrachelacris_sp	0.000130488	0.940489	0.00597283	0
N9	0.0575787	0.000138611	0.00304518	1.45848e-011
Leiotettix_viridis	0.00252959	0.00190876	0.00292765	5.88823e-010
Pseudoscopas_nigrigena	0.00252959	0.00190876	0.00292765	5.88823e-010
N10	3.10114e-005	0.0972696	0.00898192	1.29486e-018
N11	6.16238e-007	0.254899	3.50823e-005	3.79798e-020
Dichromatos_lilloanus	0.000299529	0.5876	7.36262e-005	0
Ronderosia_sp	0.000299529	0.5876	7.36262e-005	0
N12	0.00376122	0.000366724	8.26265e-005	1.39252e-015
N13	0.122069	0.00010638	2.55325e-005	4.99435e-012
N14	0.00125478	0.00450276	8.12748e-006	7.78704e-013
Leiotettix_pulcher	1.74863e-009	0.964605	3.73703e-008	0
Scotussa_lemniscata	0.0353948	5.50813e-007	3.73703e-008	0
Scotussa_impudica	0.0324993	0.000353115	8.16485e-006	0
Scotussa_daguerrei	0.000108741	0.845711	3.36973e-005	0
N15	2.33976e-006	0.267745	0.0101879	8.84095e-017
Chlorus_bolivianus	2.53921e-007	1.5416	0.13373	0
N16	0.000305579	0.0191377	0.038042	1.13275e-011
N17	0.00875102	0.0124493	0.0230187	4.71529e-010
Dichroplus_maculipennis	0.339843	0.0107834	0.072648	0
Dichroplus_vittatus	5.95757e-007	1.57686	0.0726478	0
Leiotettix_flavipes	0.00192961	0.653816	0.0956666	0
N18	0.00126425	0.00246823	0.825676	2.82501e-011
N19	3.53927e-007	9.25301e-006	0.00760384	3.98286e-018
Dichroplus_exilis	0	1.86787e-009	8.95501e-007	0
Dichroplus_fuscus	0	1.86787e-009	8.95501e-007	0
Dichroplus_schulzi	3.52471e-007	9.25307e-006	0.00760474	0
N20	1.80732e-007	0.000214874	5.78127e-006	3.40795e-028
N21	8.15745e-006	2.20436e-006	5.54045e-008	2.97085e-023
Dichroplus_conspersus	0.0016946	0.00236457	1.00003	1.06199e-012
N22	0.000127627	0.00515151	8.40827e-007	1.40187e-020
Dichroplus_democraticus	0.00466466	0.00375869	1.00088	1.02666e-011
Dichroplus_silveiraguidoi	1.84345e-005	1.99476	1.09638e-005	0
Dichroplus_pratensis	3.53288e-007	1.04144	1.00001	0
N23	0.00121013	0.00202923	0.983008	1.30976e-010
Dichroplus_elongatus	3.33885e-005	1.37213e-005	0.0173486	0
N24	1.04557e-006	0.00191678	0.0165872	1.18466e-014
Dichroplus_paraelongatus	0.00193609	6.88447e-007	0.000761352	0
Dichroplus_patruelis	2.75493e-010	0.998065	0.000761352	0
N25	7.00452e-005	0.000129906	0.960162	1.6297e-010
N26	8.45857e-006	6.55556e-006	0.0270988	3.02198e-015
N27	6.11467e-006	6.06367e-006	0.00663394	1.04023e-014
