#Nodes with GAIN events with expectation above 0.5
Dichroplus_maculipennis: 0.736094
Total number of gain events: 0.894896
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.990463
Leiotettix_pulcher: 0.989471
N12: 0.721361
Chlorus_bolivianus: 1.01678
Dichroplus_vittatus: 1.17283
Dichroplus_pratensis: 1.11467
Dichroplus_patruelis: 0.99717
Tropidostethus_sp: 1.00196
Dichroplus_silveiraguidoi: 1.99391
Scotussa_daguerrei: 0.989734
Xyleus_laevipes: 0.999141
Total number of loss events: 13.2139
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N2: 0.671907
N5: 0.890019
N12: 0.938717
Dichroplus_conspersus: 0.921005
Dichroplus_pratensis: 0.905534
Ommexecha_sp: 0.905534
N21: 0.566494
Dichroplus_democraticus: 1.00124
N26: 0.93197
Leiotettix_viridis: 0.588049
Pseudoscopas_nigrigena: 0.588049
N30: 0.906219
N32: 0.615751
Xyleus_modestus: 0.64338
N41: 0.845843
N43: 1.59038
Total number of duplication events: 18.6686
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.000421773
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0070601	0.0252876	0.671907	2.31569e-013
N3	0.000172327	0.00024468	0.028054	2.75396e-017
N4	0.0014848	0.00207529	0.0380251	1.944e-016
N5	0.000856585	0.000901633	0.890019	2.95651e-010
N6	0.000608956	0.0104549	0.109392	5.37785e-012
Atrachelacris_sp	3.59085e-006	0.990463	0.00353648	0
Marellia_remipes	0.00955772	1.74632e-005	0.00353648	0
N7	2.36341e-005	3.24528e-005	0.0597909	1.16174e-012
N8	0.00062619	0.0117594	0.0529949	4.35762e-014
Leiotettix_pulcher	1.39106e-009	0.989471	0.000142664	0
Scotussa_lemniscata	0.010527	1.81638e-006	0.000142664	0
N9	1.79239e-005	8.94769e-006	0.0102954	1.77597e-014
Paulinia_acuminata	0.000660288	0.00129759	0.0428421	1.72502e-013
Scotussa_impudica	0.000660288	0.00129759	0.0428421	1.72502e-013
N10	0.000124456	0.000149851	0.00283754	9.88316e-020
N11	0.000107701	0.000113734	9.8199e-005	9.56802e-024
N12	1.19521e-005	0.721361	0.938717	4.17532e-015
N13	0.000419035	0.231445	0.0332716	1.44847e-013
Chlorus_bolivianus	1.28726e-005	1.01678	0.0280224	0
Dichromatos_lilloanus	0.0125375	0.0539725	0.0280223	0
N14	0.000693289	0.0852288	0.0396412	6.71969e-012
N15	0.000703259	0.00725104	0.00477962	1.18652e-012
N16	0.0165669	0.0164029	0.00237974	2.12932e-012
Dichroplus_maculipennis	0.736094	0.0960989	0.0144934	1.92768e-006
Dichroplus_vittatus	1.18086e-005	1.17283	0.0144934	0
Leiotettix_flavipes	0.00163308	0.188781	0.0168731	0
Ronderosia_sp	0.00211705	0.1966	0.0216528	0
N17	0.000124621	0.000119304	1.10498e-005	1.24366e-024
N18	3.99237e-008	4.50189e-008	0.018729	7.07812e-018
N19	0.000102263	0.00012126	0.0602667	2.38582e-016
Dichroplus_conspersus	0.00117234	0.00306578	0.921005	2.30387e-008
N20	9.71525e-005	0.00126953	0.0154706	6.3588e-015
Dichroplus_pratensis	1.18091e-006	1.11467	0.905534	0
Ommexecha_sp	0.00232799	0.00249299	0.905534	2.44945e-006
N21	5.53274e-005	0.000740205	0.566494	1.77773e-014
N22	0.00116925	0.000695281	0.394268	1.63947e-010
Dichroplus_elongatus	0.00019586	0.000137887	0.0205087	0
N23	2.20757e-006	0.00277291	0.0200177	5.86794e-015
Dichroplus_paraelongatus	0.00282912	6.47297e-007	0.000490991	0
Dichroplus_patruelis	1.70883e-009	0.99717	0.000490992	0
Tropidostethus_sp	0.00529223	1.00196	0.414777	0
N24	1.73897e-006	9.64598e-006	3.37752e-008	1.86453e-025
N25	0.000126741	0.00622812	3.42678e-008	3.49517e-023
Dichroplus_democraticus	0.00479482	0.00239045	1.00124	2.76642e-010
Dichroplus_silveiraguidoi	4.12644e-006	1.99391	7.44845e-006	0
N26	0.000489952	0.000485126	0.93197	9.65612e-010
N27	0.000115012	0.000133995	0.0678891	5.12299e-015
Dichroplus_exilis	1.03134e-008	1.56724e-007	0.000142426	0
Dichroplus_fuscus	1.03134e-008	1.56724e-007	0.000142426	0
Dichroplus_schulzi	0.000233593	0.000252624	0.0680315	0
N28	2.88404e-006	1.17894e-006	0.0882877	1.80493e-016
N29	0.000212671	0.000196834	0.323773	2.20068e-011
Leiotettix_viridis	0.00164544	0.00453377	0.588049	7.7946e-009
Pseudoscopas_nigrigena	0.00164544	0.00453377	0.588049	7.7946e-009
N30	0.00191473	0.0156642	0.906219	5.50034e-011
Ommatolampis_sp	0.010257	9.06886e-006	0.00560516	0
Scotussa_daguerrei	2.41382e-007	0.989734	0.00560516	0
N31	0.00110097	0.00117696	0.418428	3.58192e-009
N32	0.00465957	0.0131427	0.615751	4.03299e-008
Dichromorpha_sp	1.01248e-006	4.79146e-005	0.00663408	0
N33	1.72554e-006	4.69566e-005	0.00607695	2.18531e-014
Hyalopteryx_rufipennis	7.29017e-008	1.7883e-006	0.000557126	0
Leptysma_sp	7.29017e-008	1.7883e-006	0.000557126	0
N34	0.00163474	0.00413815	0.440442	5.68559e-008
N35	0.00109056	0.00327887	0.181651	1.80072e-009
Schistocerca_cancellata	6.67428e-008	1.99106e-006	0.000325843	0
Schistocerca_pallens	6.67428e-008	1.99106e-006	0.000325843	0
Schistocerca_flavofasciata	0.00141429	0.00416516	0.181977	9.63495e-009
N36	0.000394152	0.000499517	0.218688	2.27997e-010
N37	0.00043362	0.000482841	0.206803	1.23371e-009
N38	0.000622648	0.00075283	0.288035	1.5991e-009
N39	0.000620663	0.0024484	0.314258	1.32388e-009
N40	0.00110559	2.90025e-005	0.0108354	2.13858e-011
