#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.211866
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.999081
Chlorus_bolivianus: 1.84099
Dichromatos_lilloanus: 1.00097
Dichroplus_vittatus: 1.88284
Leiotettix_flavipes: 0.896626
Ronderosia_sp: 0.993582
Leiotettix_pulcher: 0.994659
Scotussa_daguerrei: 0.997244
Dichroplus_pratensis: 1.18344
Dichroplus_silveiraguidoi: 1.985
Dichroplus_patruelis: 0.997424
N38: 0.935087
Total number of loss events: 15.1815
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N5: 0.813847
Dichroplus_conspersus: 0.857234
Dichroplus_pratensis: 0.857232
Dichroplus_democraticus: 1.00356
N22: 0.961763
N24: 0.973578
N28: 0.640135
N41: 0.554615
N43: 1.42345
Total number of duplication events: 11.8695
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 3.28921e-006
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00687953	0.0172346	0.42908	8.13473e-015
N3	0.000272525	0.000295504	0.00503709	8.516e-020
N4	2.09223e-007	1.36621e-006	5.20714e-005	2.97246e-024
N5	3.90264e-008	0.000450219	0.813847	4.96462e-019
N6	6.06202e-007	0.00193175	0.00507314	2.58769e-020
N7	5.45626e-005	0.00037195	0.0447664	6.74328e-012
Atrachelacris_sp	0.00237511	0.999081	0.136348	0
N8	0.00310828	0.00169448	0.100424	2.1476e-009
Leiotettix_viridis	0.000879675	0.00161226	0.0359249	1.73258e-010
Pseudoscopas_nigrigena	0.000879675	0.00161226	0.0359249	1.73258e-010
Chlorus_bolivianus	0.0146586	1.84099	0.181116	0
N9	2.70827e-006	0.000232687	0.0659446	4.61138e-018
Dichromatos_lilloanus	0.00213493	1.00097	0.120241	0
N10	9.79641e-005	0.000177602	0.0929075	5.52428e-016
N11	2.67524e-006	0.00105173	0.00519656	1.40947e-016
N12	0.000120707	0.102232	0.0118256	5.69688e-014
N13	0.0011986	0.00618939	0.000960591	1.45288e-013
Dichroplus_maculipennis	0.101106	0.0149482	0.00934763	9.85983e-008
Dichroplus_vittatus	6.20732e-007	1.88284	0.00934763	0
Leiotettix_flavipes	9.95211e-005	0.896626	0.0103082	0
N14	0.000208742	0.00512382	0.0158651	2.26192e-014
Leptysma_sp	0.00680028	0.0040086	0.00626874	1.53081e-011
Ronderosia_sp	5.39887e-006	0.993582	0.00626874	0
N15	0.000221727	0.00276418	0.0241852	1.88724e-012
N16	0.00213155	0.0002714	0.00229616	1.2378e-012
N17	0.000148277	0.00520595	0.000841952	4.28416e-014
Leiotettix_pulcher	5.80652e-007	0.994659	9.81906e-006	0
Scotussa_lemniscata	0.00534272	1.44662e-006	9.81906e-006	0
Scotussa_impudica	0.00120448	0.00127333	0.000851771	3.96109e-012
Scotussa_daguerrei	2.19289e-006	0.997244	0.00314795	0
N18	3.47216e-006	9.45727e-006	1.82589e-005	1.02494e-025
N19	0.000246603	0.0082675	0.142793	2.19478e-013
Dichroplus_conspersus	0.00732948	0.00274066	0.857234	1.75293e-007
Dichroplus_pratensis	1.0055e-005	1.18344	0.857232	0
N20	0.000131359	0.00016069	6.83632e-006	2.38898e-021
N21	0.000289442	0.0151343	4.64482e-006	4.92391e-021
Dichroplus_democraticus	0.00790957	0.00455575	1.00356	5.07249e-011
Dichroplus_silveiraguidoi	3.27675e-005	1.985	4.45396e-005	0
N22	7.84372e-005	0.000885984	0.961763	4.18879e-009
N23	0.00011346	0.000130679	0.0382593	2.75814e-016
Dichroplus_exilis	6.47119e-010	1.11054e-008	7.20975e-006	0
Dichroplus_fuscus	6.47119e-010	1.11054e-008	7.20975e-006	0
Dichroplus_schulzi	0.000114146	0.000131418	0.0382665	0
N24	0.000429726	0.00121364	0.973578	9.52107e-012
Dichroplus_elongatus	0.000153178	0.000428384	0.0265271	0
N25	1.27772e-006	0.00257	0.0258594	4.31273e-014
Dichroplus_paraelongatus	0.0025771	8.5503e-007	0.000667612	0
Dichroplus_patruelis	2.81692e-007	0.997424	0.000667612	0
N26	2.40979e-006	2.31899e-005	0.205675	1.30606e-012
N27	4.8927e-006	3.97691e-006	0.157105	5.89998e-014
N28	0.00382006	0.0113406	0.640135	2.55239e-011
Dichromorpha_sp	3.37182e-007	1.86244e-005	0.0022189	0
Hyalopteryx_rufipennis	3.37182e-007	1.86244e-005	0.0022189	0
N29	5.09115e-005	5.50548e-005	0.275423	5.0475e-013
N30	2.738e-005	4.43953e-005	0.207703	1.59169e-012
N31	0.000153734	0.000745532	0.100475	2.01529e-012
N32	0.000397666	0.00103717	0.0468946	1.63473e-011
Diponthus_sp	0.000665027	0.00126552	0.0118553	1.79041e-012
Xyleus_modestus	0.000665027	0.00126552	0.0118553	1.79041e-012
Prionolopha_serrata	0.0023434	0.00479457	0.0587499	1.58462e-011
N33	0.000589967	0.00123393	0.14205	1.69943e-012
N34	1.77136e-006	2.97114e-005	0.0145739	2.21628e-014
N35	1.19208e-008	1.33359e-006	0.00017668	3.79674e-018
Marellia_remipes	0.000909607	0.00182047	0.00242403	6.72491e-018
N36	1.16992e-006	0.00411088	0.00220507	5.11333e-019
