#Nodes with GAIN events with expectation above 0.5
Dichroplus_maculipennis: 0.73268
Total number of gain events: 0.881168
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.999233
Leiotettix_pulcher: 0.941902
Scotussa_daguerrei: 0.944066
Dichromatos_lilloanus: 0.996374
N13: 0.740305
Chlorus_bolivianus: 1.20703
Dichroplus_vittatus: 1.20189
Dichroplus_patruelis: 0.998844
Dichroplus_pratensis: 1.10897
Dichroplus_silveiraguidoi: 1.99596
Xyleus_laevipes: 0.998733
Tropidostethus_sp: 0.997081
Total number of loss events: 13.8845
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N4: 0.521622
Dichroplus_conspersus: 0.938098
Dichroplus_pratensis: 0.938096
Dichroplus_democraticus: 1.00048
N23: 0.963627
N29: 0.663666
Hyalopteryx_rufipennis: 1.00257
N43: 1.30325
Total number of duplication events: 11.9953
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 7.76516e-006
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00457015	0.00880024	0.330243	2.58142e-015
N3	0.000877393	0.00141296	0.00573617	8.12681e-021
N4	1.94708e-007	1.00706e-006	0.521622	1.47412e-015
N5	7.9719e-008	0.00519676	0.398466	2.65124e-018
N6	0.000348996	0.000159789	0.05307	1.16406e-013
N7	0.00434471	7.4449e-006	0.0211122	6.35368e-014
N8	0.000136001	0.000231225	0.00449014	1.02803e-012
Atrachelacris_sp	1.37799e-005	0.999233	0.00125004	0
N9	0.000707849	2.73005e-006	0.00027259	5.56337e-013
Leiotettix_viridis	0.000683711	0.000928426	0.000977451	4.89239e-012
Pseudoscopas_nigrigena	0.000683711	0.000928426	0.000977451	4.89239e-012
N10	0.000232718	0.000721085	0.00436213	6.73722e-012
N11	0.000114231	0.0549179	0.00119178	6.36892e-013
N12	0.00245255	0.00474898	0.000184727	1.36999e-015
Leiotettix_pulcher	6.4296e-009	0.941902	1.54094e-006	0
Scotussa_lemniscata	0.0580985	8.827e-007	1.54094e-006	0
Scotussa_daguerrei	3.43192e-005	0.944066	0.000186267	0
Scotussa_impudica	0.00172719	0.00103931	0.00137805	2.17281e-013
Dichromatos_lilloanus	0.00140074	0.996374	0.0268524	0
N13	1.83745e-007	0.740305	0.027457	3.8664e-019
Chlorus_bolivianus	0.000303071	1.20703	0.0524655	0
N14	0.000208126	0.0269498	0.0189715	6.15234e-013
N15	0.000489997	0.00533678	0.00617392	2.2643e-012
N16	0.017392	0.0178226	0.00474575	3.89683e-012
Dichroplus_maculipennis	0.73268	0.0294054	0.0225396	0
Dichroplus_vittatus	3.99615e-006	1.20189	0.0225395	0
Ronderosia_sp	0.000971425	0.223707	0.027286	0
Leiotettix_flavipes	0.000870769	0.228455	0.0334602	0
