#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.193184
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.988737
Dichromatos_lilloanus: 0.987994
Leiotettix_pulcher: 0.994891
Scotussa_daguerrei: 0.9937
N13: 0.648472
Chlorus_bolivianus: 1.17892
Dichroplus_pratensis: 1.28047
Dichroplus_silveiraguidoi: 1.98936
Dichroplus_patruelis: 0.995929
Dichroplus_vittatus: 1.55359
Leiotettix_flavipes: 0.944496
N38: 0.975016
Total number of loss events: 14.3159
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N5: 0.764723
Dichroplus_conspersus: 0.731501
Dichroplus_pratensis: 0.731501
N17: 0.762944
Dichroplus_democraticus: 1.00212
N21: 0.917295
N23: 0.580234
N26: 0.572154
N40: 0.918574
N43: 1.51835
Total number of duplication events: 13.2817
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 5.82879e-006
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00516301	0.0132748	0.45654	1.36246e-014
N3	0.00208005	0.00295796	0.0633493	2.89937e-017
N4	4.05259e-006	9.10351e-006	0.000694826	5.07551e-021
N5	2.39151e-007	0.00399906	0.764723	3.7298e-015
N6	0.000211625	0.000187636	0.126495	3.16029e-012
N7	2.41639e-005	0.00735152	0.0698949	1.34991e-013
Atrachelacris_sp	3.25567e-005	0.988737	0.0391978	8.25689e-014
N8	0.000552414	0.00129893	0.0211651	9.40616e-013
Dichromatos_lilloanus	2.69951e-005	0.987994	0.0180326	0
N9	0.0125997	0.00129588	0.0147592	9.18359e-010
Leiotettix_viridis	0.000754412	0.001324	0.00327337	0
Pseudoscopas_nigrigena	0.000754412	0.001324	0.00327337	0
N10	0.00158686	0.00506529	0.100902	1.52553e-011
N11	0.00523486	0.00027999	0.00627209	4.29728e-012
N12	0.000281445	0.00406789	0.00184272	9.38942e-014
Leiotettix_pulcher	1.17409e-006	0.994891	7.60888e-005	0
Scotussa_lemniscata	0.00534019	0.00022979	7.60893e-005	0
Scotussa_impudica	0.00201995	0.00123547	0.00191881	0
Scotussa_daguerrei	4.08115e-006	0.9937	0.0081909	0
N13	4.36507e-005	0.648472	0.0626535	3.08993e-015
Chlorus_bolivianus	0.000931009	1.17892	0.172938	0
