#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.370047
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N7: 0.582999
Leiotettix_pulcher: 0.999472
Chlorus_bolivianus: 1.06704
Dichromatos_lilloanus: 0.995062
Dichroplus_silveiraguidoi: 1.98818
Dichroplus_pratensis: 1.0322
Dichroplus_patruelis: 0.998451
Dichroplus_vittatus: 1.56056
Leiotettix_flavipes: 0.6876
Ronderosia_sp: 0.700831
Tropidostethus_sp: 0.996661
Xyleus_laevipes: 0.99974
Total number of loss events: 13.9275
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N5: 0.501246
Chlorus_bolivianus: 0.986574
N14: 0.930344
Leiotettix_viridis: 0.516962
Pseudoscopas_nigrigena: 0.516962
N18: 0.721397
Dichroplus_democraticus: 1.00256
Dichroplus_pratensis: 1
N21: 0.645602
N26: 0.82848
N29: 0.986526
N41: 0.825538
N43: 1.16812
Total number of duplication events: 16.3081
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 1.05141e-006
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.000407204	0.00114518	0.143034	4.77412e-018
N3	3.14742e-005	1.41105e-005	0.00605084	4.33894e-020
N4	0.00122564	0.0012995	0.0250773	1.35726e-018
N5	3.10812e-006	3.29484e-005	0.501246	2.40671e-015
N6	2.91806e-006	0.00591014	0.371968	1.26126e-013
N7	2.40657e-006	0.582999	0.0925919	2.59169e-014
Atrachelacris_sp	0.00109063	0.411901	0.0343147	0
Scotussa_daguerrei	0.00109063	0.411901	0.0343147	0
N8	0.0061871	0.00514582	0.126387	1.98937e-011
Hyalopteryx_rufipennis	0.000133286	4.00729e-006	0.000520636	0
N9	5.66403e-007	0.000399189	0.000448841	2.4107e-018
Leiotettix_pulcher	7.12897e-012	0.999472	7.17066e-005	0
Scotussa_lemniscata	0.000528179	1.97736e-007	7.17066e-005	0
Scotussa_impudica	0.00141056	0.00613767	0.498876	8.44092e-013
N10	3.46418e-007	1.65619e-006	0.000102943	5.62852e-024
N11	3.62777e-007	3.16577e-007	1.77834e-005	1.36916e-026
N12	3.57702e-008	2.87242e-006	0.0134268	3.37586e-019
Chlorus_bolivianus	2.93712e-009	1.06704	0.986574	0
N13	2.30225e-006	2.53292e-008	0.0166172	4.87897e-016
N14	0.00148558	0.0065307	0.930344	5.42743e-013
Dichromatos_lilloanus	1.23008e-006	0.995062	0.0396129	0
Leptysma_sp	0.00500116	6.43615e-005	0.0396131	0
