#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.583428
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.99773
Dichromatos_lilloanus: 0.99912
Leiotettix_pulcher: 0.983888
Scotussa_daguerrei: 0.987742
Chlorus_bolivianus: 1.1476
Dichroplus_vittatus: 1.48883
Ronderosia_sp: 0.501311
Dichroplus_silveiraguidoi: 1.99447
Dichroplus_pratensis: 1.06641
Dichroplus_patruelis: 0.998162
Tropidostethus_sp: 0.972395
Xyleus_laevipes: 0.972461
Total number of loss events: 14.3175
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N4: 0.960958
Dichroplus_conspersus: 1
Dichroplus_democraticus: 1.0008
N21: 0.725592
Dichroplus_pratensis: 0.966673
N23: 0.986671
N41: 0.773126
N43: 1.01719
Total number of duplication events: 9.79786
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 1.92894e-008
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.000150507	0.000252294	0.0255517	5.99589e-020
N3	1.54149e-006	1.00602e-005	0.00232024	1.18205e-020
N4	3.45215e-007	0.00681336	0.960958	1.69294e-016
N5	0.00645998	0.0010531	0.0388173	2.51538e-016
N6	0	4.88781e-013	4.33134e-015	1.16471e-020
N7	0.000718421	0.000121542	0.000179843	2.05423e-017
N8	0.000116668	0.00210557	4.97527e-005	4.10606e-015
Atrachelacris_sp	1.46048e-009	0.99773	9.97376e-006	0
Leiotettix_viridis	0.00284209	0.000987853	9.97372e-006	0
Pseudoscopas_nigrigena	0.00096521	0.0012492	5.97265e-005	3.15504e-014
Dichromatos_lilloanus	3.28179e-006	0.99912	0.00023957	0
N9	0.000189594	0.000296629	0.00020166	8.16425e-019
N10	9.33362e-007	0.0112719	2.13226e-005	7.17125e-017
N11	0.0010644	0.00519733	1.72702e-005	4.38968e-014
Leiotettix_pulcher	2.8337e-009	0.983888	2.56635e-007	0
Scotussa_lemniscata	0.0162212	0.000109146	2.56634e-007	0
Scotussa_daguerrei	1.11737e-009	0.987742	1.75268e-005	0
Scotussa_impudica	0.00166444	0.00128715	3.88494e-005	5.80194e-016
N12	9.50869e-008	0.465501	0.0138705	4.39962e-019
N13	2.60505e-006	0.358201	0.00255096	1.53046e-017
Chlorus_bolivianus	1.02878e-006	1.1476	0.0224775	0
Leiotettix_flavipes	0.00216421	0.170341	0.0224775	0
N14	0.000486908	0.0270387	0.00963761	2.89707e-013
N15	0.0111865	0.0125494	0.0036377	2.00869e-012
Dichroplus_maculipennis	0.473428	0.0265367	0.0118431	0
Dichroplus_vittatus	4.92174e-007	1.48883	0.0119095	0
Ronderosia_sp	0.000377929	0.501311	0.0155472	0
N16	3.0766e-007	6.98393e-007	8.59555e-006	1.68479e-025
N17	6.20486e-008	9.29253e-007	4.0388e-006	1.71148e-026
Dichroplus_conspersus	0.00147391	0.00368338	1	1.33514e-017
N18	2.15513e-022	2.26145e-006	3.136e-008	3.26967e-029
