#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.168215
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.981393
Leiotettix_pulcher: 0.970776
Scotussa_daguerrei: 0.972431
Dichromatos_lilloanus: 0.983204
Chlorus_bolivianus: 1.04929
Dichroplus_silveiraguidoi: 1.99748
Dichroplus_pratensis: 1.00937
Dichroplus_patruelis: 0.999091
Dichroplus_vittatus: 1.53764
Ronderosia_sp: 0.905661
Leiotettix_flavipes: 0.930597
Tropidostethus_sp: 0.9986
Xyleus_laevipes: 0.999189
Total number of loss events: 14.4996
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N8: 0.792133
Chlorus_bolivianus: 0.962446
Leiotettix_viridis: 0.97152
Dichroplus_conspersus: 0.780143
Diponthus_sp: 0.780143
Dichroplus_democraticus: 1.00037
N19: 0.941819
Dichroplus_pratensis: 1
N21: 0.983527
Leiotettix_flavipes: 0.54343
Pseudoscopas_nigrigena: 1.00033
N26: 0.843976
N43: 1.01927
Total number of duplication events: 14.7937
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 4.70578e-010
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	6.32982e-006	4.89738e-005	0.0352067	3.15885e-021
N3	4.5776e-006	9.53403e-006	0.00396253	6.4729e-021
N4	4.31013e-007	4.15503e-006	0.000320006	5.62727e-024
N5	3.82902e-008	5.10355e-008	4.82634e-006	3.27214e-029
N6	1.26357e-008	4.41847e-007	0.0284703	3.45388e-021
N7	3.54309e-008	0.00123532	0.00887617	1.72163e-020
N8	5.14743e-005	0.0153791	0.792133	7.41274e-014
N9	0.000124607	0.00193595	0.129167	1.90813e-013
Atrachelacris_sp	5.81208e-006	0.981393	0.0411462	0
N10	0.00333531	0.000297541	0.0374204	1.35044e-014
N11	3.71818e-006	0.0119858	0.00236422	2.03312e-015
N12	0.000887319	0.00254252	0.00132944	2.04994e-017
Leiotettix_pulcher	1.63298e-009	0.970776	1.75156e-005	0
Scotussa_lemniscata	0.0292239	3.79046e-007	1.75156e-005	0
Scotussa_daguerrei	2.29606e-009	0.972431	0.00134695	0
Scotussa_impudica	0.0158373	0.000660771	0.0037258	0
Dichromatos_lilloanus	0.00187819	0.983204	0.170314	0
Chlorus_bolivianus	1.86421e-008	1.04929	0.962446	0
Leiotettix_viridis	0.000731844	0.000783658	0.97152	1.15311e-015
N13	4.50093e-007	1.1961e-006	3.16349e-007	5.02178e-026
N14	2.88203e-007	0.000241711	4.4666e-008	2.93246e-025
N15	0.000242253	5.18124e-007	1.01573e-008	6.96072e-024
N16	4.39541e-007	5.75529e-008	0.219857	2.38425e-016
Dichroplus_conspersus	0.000131331	0.000296018	0.780143	6.89766e-014
Diponthus_sp	0.000131331	0.000296018	0.780143	6.89766e-014
N17	1.79394e-007	9.28514e-007	1.56441e-008	7.15982e-027
N18	5.56051e-007	0.00251664	1.0213e-008	1.40855e-028
Dichroplus_democraticus	0.00178103	0.000368778	1.00037	0
Dichroplus_silveiraguidoi	6.00602e-007	1.99748	1.08917e-006	0
N19	2.44609e-006	2.41313e-007	0.941819	4.78806e-014
N20	0.000107908	0.000109364	0.0581486	7.39494e-018
Dichroplus_exilis	3.31436e-010	6.46044e-009	3.24312e-005	0
Dichroplus_fuscus	3.31436e-010	6.46044e-009	3.24312e-005	0
Dichroplus_schulzi	0.000108851	0.000110307	0.0581811	0
Dichroplus_pratensis	9.71543e-008	1.00937	1	0
N21	4.71624e-006	9.11043e-006	0.983527	1.49904e-013
Dichroplus_elongatus	0.000116886	0.000113355	0.0164732	0
N22	9.37163e-008	0.000904994	0.0161108	7.32067e-017
Dichroplus_paraelongatus	0.000908469	5.84986e-008	0.000362354	0
Dichroplus_patruelis	1.34569e-011	0.999091	0.000362354	0
N23	6.73737e-007	0.0694289	0.456575	7.05402e-020
N24	9.64329e-005	0.0250425	0.152784	3.97446e-014
N25	0.000879013	0.00359411	0.0254201	6.01739e-014
Dichroplus_maculipennis	0.0950823	0.000451403	0.365226	0
Dichroplus_vittatus	2.2362e-007	1.53764	0.365226	0
Ronderosia_sp	0.000127754	0.905661	0.390646	0
Leiotettix_flavipes	0.00467988	0.930597	0.54343	0
Pseudoscopas_nigrigena	0.00102142	0.00170575	1.00033	1.82103e-013
N26	2.07771e-006	7.36651e-006	0.843976	8.37661e-014
N27	0.000493862	0.0011113	0.143012	3.19497e-014
N28	2.47132e-006	8.88798e-006	0.0081708	1.12451e-014
N29	3.28298e-006	7.82666e-006	0.00757372	4.79245e-016
Dichromorpha_sp	2.8085e-007	6.62287e-006	0.00155489	0
Leptysma_sp	2.8085e-007	6.62287e-006	0.00155489	0
Hyalopteryx_rufipennis	0.000608079	0.00137227	0.00912861	4.29e-015
N30	0.000406725	0.000822405	0.016036	3.58247e-015
N31	0.000117572	0.000125454	0.00126102	8.30322e-018
Schistocerca_cancellata	1.67317e-009	3.7488e-008	2.35877e-006	0
Schistocerca_pallens	1.67317e-009	3.7488e-008	2.35877e-006	0
Schistocerca_flavofasciata	0.000119629	0.000127514	0.00126338	0
N32	8.10008e-007	1.53831e-006	0.0595767	9.60129e-015
N33	1.40951e-006	1.55202e-006	0.0439143	4.27765e-016
N34	0.00025124	0.000628093	0.0520834	5.94897e-016
N35	0.000116278	0.000129286	0.00380264	4.25938e-016
N36	1.13169e-006	0.0013959	0.000767542	1.22813e-016
Marellia_remipes	0.00140163	1.44403e-006	0.000166595	0
Tropidostethus_sp	9.1472e-010	0.9986	0.000166595	0
Paulinia_acuminata	0.000426889	0.000838732	0.000934136	0
N37	0.000116722	0.000130367	0.00409911	2.39344e-016
N38	7.38335e-007	0.000804941	0.000426816	5.97528e-017
Ommexecha_sp	0.00094212	0.000520303	0.000210847	0
Xyleus_laevipes	5.76091e-010	0.999189	0.000210847	0
Xyleus_insignis	0.000422284	0.000827781	0.000637663	0
N39	9.29001e-006	1.24217e-005	0.0332943	1.1588e-015
N40	7.38127e-006	2.96377e-005	0.0181155	1.16738e-013
Ommatolampis_sp	0.00026807	0.000686161	0.00541044	0
Xyleus_modestus	0.00026807	0.000686161	0.00541044	0
Prionolopha_serrata	0.00102409	0.00290351	0.0235259	3.66778e-013
N41	0.00107914	0.00292877	0.0994533	2.19683e-013
Zoniopoda_hempeli	0.000120709	0.000126127	0.00128122	0
N42	3.62993e-007	4.79424e-006	0.000701142	2.59203e-016
Zoniopoda_omnicolor	0.000117629	0.000118615	0.000580078	0
Zoniopoda_tarsata	0.000117629	0.000118615	0.000580078	0
N43	0.00201651	0.00802602	1.01927	4.68827e-010
Trimerotropis_ochraceipennis	0.000117271	0.000165795	0.0202864	0
Trimerotropis_pallidipennis	0.000117271	0.000165795	0.0202864	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.000193318	1.00001	1.03929	2.64941e-013
Leiotettix_pulcher	0.00441385	1.00422	1.03927	2.80499e-013
Scotussa_lemniscata	0.0336377	0.0334397	1.03927	2.80499e-013
