#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.150018
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N8: 0.812811
Chlorus_bolivianus: 1.01779
Dichroplus_pratensis: 1.27409
Dichroplus_patruelis: 0.998092
Dichroplus_silveiraguidoi: 1.99278
Leiotettix_flavipes: 0.998955
Leiotettix_pulcher: 0.991463
Scotussa_daguerrei: 0.990226
Dichroplus_vittatus: 1.26006
Tropidostethus_sp: 0.997656
Xyleus_laevipes: 0.993963
Total number of loss events: 13.2508
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N2: 0.867771
N8: 0.971155
Dichroplus_conspersus: 0.719949
Dichroplus_pratensis: 0.719612
N14: 0.700018
Dichroplus_democraticus: 1.00184
N20: 0.519943
N21: 0.650932
Dichroplus_maculipennis: 0.728217
Dichroplus_vittatus: 0.727252
Pseudoscopas_nigrigena: 0.946557
N27: 0.952726
N29: 0.846319
N43: 1.36255
Trimerotropis_ochraceipennis: 0.539808
Trimerotropis_pallidipennis: 0.539808
Total number of duplication events: 16.5908
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.000409383
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0194501	0.0958183	0.867771	6.23338e-012
N3	1.57261e-005	4.9452e-005	0.00386193	2.3228e-016
N4	0.000927515	0.00106062	0.0288883	7.93928e-016
N5	9.20495e-015	2.58236e-007	3.20396e-005	2.56595e-023
N6	2.35081e-007	3.83335e-007	0.000133461	2.54965e-023
N7	5.327e-008	5.88386e-007	2.33298e-006	3.50431e-025
N8	2.45886e-008	0.812811	0.971155	2.32764e-018
N9	1.37913e-005	0.141334	0.0138388	6.20875e-016
Atrachelacris_sp	0.00130014	0.0481518	0.0150026	0
N10	5.7865e-006	0.0140006	0.000524516	1.40481e-016
Chlorus_bolivianus	1.11705e-006	1.01779	0.0144781	0
Dichromatos_lilloanus	0.00221626	0.0349135	0.0144781	0
Ronderosia_sp	0.00120184	0.189221	0.0288433	0
N11	1.26178e-006	3.74914e-006	2.35234e-007	1.76013e-023
N12	5.60329e-006	8.10195e-006	0.179645	3.40059e-012
N13	9.82153e-005	0.00610542	0.100743	1.86664e-013
Dichroplus_conspersus	0.0060664	0.00259775	0.719949	4.11746e-005
Dichroplus_pratensis	5.19636e-006	1.27409	0.719612	0
N14	2.9391e-005	6.92218e-005	0.700018	6.76346e-012
N15	0.00012223	0.000382165	0.116427	1.17817e-012
Dichroplus_elongatus	1.36126e-005	6.92476e-006	0.00391015	7.65096e-015
N16	3.17677e-007	0.00190124	0.00389523	7.42178e-015
Dichroplus_paraelongatus	0.00190764	6.47409e-008	1.49205e-005	0
