#Nodes with GAIN events with expectation above 0.5
Dichroplus_maculipennis: 0.965395
Total number of gain events: 1.26313
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.965306
Dichromatos_lilloanus: 0.963458
Leiotettix_pulcher: 0.983925
Scotussa_daguerrei: 0.969391
N13: 0.943585
Chlorus_bolivianus: 1.02741
Dichroplus_vittatus: 1.02612
Dichroplus_silveiraguidoi: 1.99384
Dichroplus_patruelis: 0.996629
Xyleus_laevipes: 0.879118
Tropidostethus_sp: 0.879302
Total number of loss events: 12.1573
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N5: 0.997916
Dichroplus_conspersus: 0.789307
N19: 0.618544
Dichroplus_democraticus: 1.00052
N22: 0.677132
N24: 0.607894
N27: 0.621289
N41: 0.839881
N43: 1.03808
Total number of duplication events: 9.06098
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 7.103e-007
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N19:ML=12 to Dichroplus_pratensis:ML=10  ProbOfChange = 0.998974  sum expections= 0.353945
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 2	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00125704	0.00175105	0.0500345	3.79436e-017
N3	0.000985794	0.00100967	0.00430722	1.5409e-018
N4	0.000482133	0.000491364	0.000135132	4.55026e-022
N5	0.000845602	0.031687	0.997916	1.9194e-016
N6	0.000112335	2.19527e-005	0.000618271	4.1434e-017
N7	0.000172383	0.00603841	0.00129027	1.75897e-016
N8	0.00227872	0.000404614	0.000156284	3.26157e-015
Atrachelacris_sp	3.29416e-005	0.965306	3.1924e-005	0
N9	0.0333096	1.52188e-005	1.7442e-005	6.88007e-013
Leiotettix_viridis	0.00155383	0.000151497	1.4482e-005	0
Pseudoscopas_nigrigena	0.00155383	0.000151497	1.4482e-005	0
Dichromatos_lilloanus	6.04543e-005	0.963458	0.000188208	0
N10	0.00192748	0.00183165	0.00133604	3.35828e-015
N11	0.0209061	4.05969e-005	0.000105443	1.99813e-012
N12	0.000376816	0.00669576	3.68549e-005	9.55892e-015
Leiotettix_pulcher	8.44523e-010	0.983925	1.31288e-007	0
Scotussa_lemniscata	0.0160744	4.15272e-007	1.31287e-007	0
Scotussa_impudica	0.0098978	0.000139197	3.69862e-005	0
Scotussa_daguerrei	2.90879e-005	0.969391	0.00014243	0
N13	3.48978e-006	0.943585	0.00200659	5.6746e-021
Chlorus_bolivianus	0.00193696	1.02741	9.01623e-005	0
N14	7.71285e-005	0.00436507	3.67804e-005	2.53023e-016
N15	0.000589478	0.00240527	3.08184e-005	4.0905e-014
N16	0.0111379	0.00445913	3.28976e-006	3.25821e-014
Dichroplus_maculipennis	0.965395	8.63104e-007	1.5137e-005	0
Dichroplus_vittatus	6.29557e-007	1.02612	1.5137e-005	0
Ronderosia_sp	0.000409838	0.0202428	1.84267e-005	0
Leiotettix_flavipes	0.00136838	0.0230504	4.92495e-005	0
N17	0.000475153	0.000490967	8.91475e-006	2.98791e-023
N18	1.222e-005	1.142e-005	0.210696	1.19517e-013
Dichroplus_conspersus	0.00130471	0.00142521	0.789307	4.92211e-012
N19	0.00126639	0.0196262	0.618544	1.93861e-012
Dichroplus_pratensis	0	2	0	0
Diponthus_sp	0.0148681	2.34978e-007	0.168315	0
N20	0.000459565	0.00657831	4.00271e-007	1.0754e-024
Dichroplus_democraticus	0.0068314	0.0022239	1.00052	9.63736e-012
Dichroplus_silveiraguidoi	5.85999e-006	1.99384	3.10396e-006	0
N21	0.000165563	0.000170314	0.314153	5.50698e-013
N22	0.00190083	0.00325502	0.677132	8.9136e-011
