#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.253603
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 1.00042
N11: 0.931147
Chlorus_bolivianus: 1.06166
Leiotettix_pulcher: 0.993879
Scotussa_daguerrei: 0.983732
Ronderosia_sp: 0.984856
Dichroplus_vittatus: 1.85975
Leiotettix_flavipes: 0.921309
Dichroplus_patruelis: 0.998419
Dichroplus_pratensis: 1.07291
Dichroplus_silveiraguidoi: 1.99493
Xyleus_laevipes: 0.996136
Tropidostethus_sp: 0.998667
Total number of loss events: 15.5422
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N2: 0.536739
N5: 0.56712
Dichroplus_conspersus: 0.995857
Dichroplus_pratensis: 0.995831
Dichroplus_democraticus: 1.00064
N24: 0.932194
N26: 0.879134
N28: 0.618712
N43: 1.65707
Total number of duplication events: 11.5322
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.000728321
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.006908	0.0335644	0.536739	5.60827e-013
N3	0.00107529	0.00160906	0.0456841	1.30775e-015
N4	0.00442472	0.00581996	0.061504	1.19598e-015
N5	4.8221e-005	6.10466e-005	0.56712	5.80438e-013
N6	1.34056e-005	0.000574244	0.312009	1.73189e-014
N7	1.61506e-005	0.000309529	0.0736596	1.06526e-017
N8	1.82862e-005	0.00158753	0.0256624	1.87911e-012
N9	0.00217359	0.000771135	0.0190215	7.80914e-011
Atrachelacris_sp	0.0013483	1.00042	0.00303182	0
N10	4.69596e-009	1.6202e-006	9.49341e-005	1.92809e-013
Leiotettix_viridis	0.00166492	0.00263817	0.00293689	7.04374e-012
Pseudoscopas_nigrigena	0.00166492	0.00263817	0.00293689	7.04374e-012
N11	0.00186256	0.931147	0.0170183	1.64881e-014
Chlorus_bolivianus	1.41724e-005	1.06166	0.00503505	0
Dichromatos_lilloanus	0.00787452	0.0738181	0.00503504	0
N12	0.000152943	0.015896	0.0351148	2.17503e-012
N13	0.00229251	0.00367411	0.0110714	1.14612e-010
N14	0.0157854	0.000205185	0.00132517	5.0071e-010
N15	0.000200729	0.00416947	0.000202065	1.17042e-013
Leiotettix_pulcher	6.39923e-010	0.993879	2.29499e-006	0
Scotussa_lemniscata	0.00612224	1.05579e-006	2.29499e-006	0
Scotussa_impudica	0.00278264	0.000779294	0.00020436	0
Scotussa_daguerrei	0.00156213	0.983732	0.00152953	0
Ronderosia_sp	0.00130991	0.984856	0.0126009	0
N16	0.00054692	0.0810822	0.059894	6.55759e-013
N17	0.00331617	0.0179159	0.0158785	2.25493e-010
Dichroplus_maculipennis	0.0887055	0.00395541	0.0456031	6.27975e-007
Dichroplus_vittatus	4.8353e-006	1.85975	0.0456028	0
Leiotettix_flavipes	0.00175113	0.921309	0.0614814	0
N18	0.00344103	0.0094982	0.431024	1.67486e-010
Dichroplus_elongatus	3.92017e-005	2.48512e-005	0.0023615	0
N19	6.28381e-007	0.00156678	0.00234457	2.93876e-016
Dichroplus_paraelongatus	0.00158061	1.20963e-007	1.69266e-005	0
Dichroplus_patruelis	9.33162e-012	0.998419	1.69266e-005	0
N20	0.000239265	0.000270328	0.000431162	2.26182e-022
N21	1.86163e-006	0.000321042	0.00424002	6.34198e-016
Dichroplus_conspersus	0.00404813	0.00614253	0.995857	1.36533e-007
Dichroplus_pratensis	2.55873e-006	1.07291	0.995831	0
N22	0.000256964	0.00028632	2.64127e-005	1.00482e-019
N23	0.000240405	0.00516745	4.7797e-006	2.28289e-021
Dichroplus_democraticus	0.00505273	0.00411177	1.00064	1.68062e-011
Dichroplus_silveiraguidoi	2.59285e-005	1.99493	3.20026e-005	0
N24	0.00101353	0.00235262	0.932194	1.10059e-010
N25	0.000350341	0.000380626	0.0678658	1.22844e-015
Dichroplus_exilis	0	1.82824e-008	8.24657e-006	0
Dichroplus_fuscus	0	1.82824e-008	8.24657e-006	0
Dichroplus_schulzi	0.000469784	0.000500193	0.067874	0
N26	0.00786146	0.0169866	0.879134	5.29052e-007
N27	0.00166449	0.00466093	0.183142	2.93276e-008
Schistocerca_cancellata	1.92499e-008	7.68637e-007	5.86845e-005	0
Schistocerca_pallens	1.92499e-008	7.68637e-007	5.86845e-005	0
Schistocerca_flavofasciata	0.00182954	0.00513932	0.183201	5.77326e-008
N28	0.00192927	0.00441115	0.618712	1.82723e-008
N29	0.000303629	0.000518638	0.196051	2.8937e-009
N30	0.00311744	0.00932219	0.281824	5.16968e-010
N31	8.06915e-006	1.19326e-005	0.000882002	4.958e-014
N32	0.000565811	0.000584617	0.00753319	5.59453e-013
Dichromorpha_sp	0.000428166	0.000503413	0.00243872	2.66227e-012
Hyalopteryx_rufipennis	0.000428166	0.000503413	0.00243872	2.66227e-012
Leptysma_sp	0.00161591	0.00309414	0.00997191	8.32935e-014
N33	0.000520696	0.00614808	0.00885783	8.47346e-014
Xyleus_insignis	0.00582312	0.0016232	0.00199611	5.78094e-012
Xyleus_laevipes	0.00171691	0.996136	0.00199611	0
N34	0.000664758	0.000780358	0.169036	2.65257e-010
N35	0.00217444	0.00517244	0.10256	5.56204e-008
Diponthus_sp	0.000646766	0.00237273	0.0210847	3.61168e-010
Xyleus_modestus	0.000646766	0.00237273	0.0210847	3.61168e-010
N36	0.000295081	0.00039466	0.0730418	2.04599e-011
N37	2.72468e-005	8.51416e-005	0.0277708	4.16946e-012
N38	9.16691e-006	6.02081e-005	0.0167399	1.47212e-013
N39	0.000190755	0.000165568	0.00340301	1.53772e-011
Marellia_remipes	0.000791384	0.00198061	0.00268448	7.75469e-012
Paulinia_acuminata	0.000791384	0.00198061	0.00268448	7.75469e-012
N40	1.97458e-005	0.00270878	0.0030592	3.82017e-013
Ommexecha_sp	0.00373228	0.00292006	0.00302829	2.33326e-012
Tropidostethus_sp	0.00136485	0.998667	0.00302829	0
Ommatolampis_sp	0.00278839	0.0105643	0.0228274	4.72485e-012
Prionolopha_serrata	0.00249969	0.0138262	0.0505982	4.19408e-011
N41	0.00920172	0.048145	0.485313	2.19775e-007
Zoniopoda_hempeli	0.000120718	0.000274018	0.00361626	0
N42	2.85395e-006	0.000151544	0.00333357	1.1262e-013
Zoniopoda_omnicolor	1.00966e-007	5.24516e-006	0.000282697	0
Zoniopoda_tarsata	1.00966e-007	5.24516e-006	0.000282697	0
N43	0.0294131	0.313903	1.65707	0.000726641
Trimerotropis_ochraceipennis	3.08145e-006	0.000663415	0.00629336	0
Trimerotropis_pallidipennis	3.08145e-006	0.000663415	0.00629336	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.016026	1.04472	1.64443	8.11316e-011
Leiotettix_viridis	0.0163426	0.0469367	1.64443	8.83681e-011
Pseudoscopas_nigrigena	0.0163426	0.0469367	1.64443	8.83681e-011
Chlorus_bolivianus	0.0143808	2.03633	1.64443	3.0567e-012
Dichromatos_lilloanus	0.0222412	1.04849	1.64443	3.0567e-012
Leiotettix_pulcher	0.0309174	1.05976	1.64443	6.18775e-010
Scotussa_lemniscata	0.0370396	0.0658841	1.64443	6.18775e-010
Scotussa_impudica	0.0334993	0.0624928	1.64443	6.18658e-010
