#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.282293
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.997753
Leiotettix_pulcher: 0.990978
Scotussa_daguerrei: 0.990533
Dichromatos_lilloanus: 0.979902
Leiotettix_flavipes: 0.968678
Ronderosia_sp: 0.977771
Dichroplus_vittatus: 1.4593
Dichroplus_pratensis: 1.11702
Dichroplus_silveiraguidoi: 1.97611
Dichroplus_patruelis: 0.997586
Chlorus_bolivianus: 1.14496
Xyleus_laevipes: 0.993399
Tropidostethus_sp: 0.999214
N43: 0.791617
Total number of loss events: 15.9875
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N2: 0.888942
N6: 0.545981
Dichroplus_maculipennis: 0.563381
Dichroplus_vittatus: 0.563378
N16: 0.647552
Dichroplus_conspersus: 0.925427
N21: 0.897776
Dichroplus_pratensis: 0.957649
Dichroplus_democraticus: 1.00647
N24: 0.988394
Chlorus_bolivianus: 1.0216
N43: 1.92193
Total number of duplication events: 16.0939
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.00393989
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0286672	0.235705	0.888942	6.15485e-011
N3	0.00038448	0.00407267	0.0231818	4.03171e-017
N4	0.0050246	0.00317789	0.0216837	7.99201e-014
N5	1.02441e-006	6.82212e-006	0.210438	4.35674e-014
N6	6.34627e-007	0.00377518	0.545981	9.65066e-016
N7	9.54769e-005	0.0071502	0.132191	2.36714e-012
Atrachelacris_sp	0.00216668	0.997753	0.111645	3.9291e-011
N8	0.00183163	0.00334703	0.0897152	1.49857e-009
N9	0.0101659	0.000837292	0.0154618	8.39815e-009
N10	0.000295426	0.00761939	0.00642617	5.9848e-012
Leiotettix_pulcher	2.32523e-009	0.990978	4.19194e-005	0
Scotussa_lemniscata	0.0090256	3.33577e-006	4.19191e-005	0
Scotussa_impudica	0.00257305	0.00234587	0.00646809	1.0547e-008
Scotussa_daguerrei	3.50571e-005	0.990533	0.0219299	0
N11	5.86682e-006	0.0278249	0.118269	9.99123e-015
Dichromatos_lilloanus	0.0012015	0.979902	0.125567	7.94262e-014
N12	3.9416e-005	0.00230671	0.0140484	5.41302e-013
N13	0.00195101	0.00688863	0.0618439	9.62135e-009
Leiotettix_flavipes	0.000150045	0.968678	0.0496552	0
Leiotettix_viridis	0.0332604	0.0308688	0.0496553	4.38478e-009
Ronderosia_sp	0.00122296	0.977771	0.111499	2.16752e-012
N14	0.000257639	0.000355527	0.116726	1.16021e-011
N15	0.000766851	0.0146126	0.109718	1.61691e-009
Dichroplus_maculipennis	0.0124113	0.00817106	0.563381	4.65514e-007
Dichroplus_vittatus	0.00858024	1.4593	0.563378	0
N16	0.00244823	0.00857741	0.647552	5.23387e-007
Diponthus_sp	0.000123205	0.000239397	0.0255438	0
Pseudoscopas_nigrigena	0.000123205	0.000239397	0.0255438	0
N17	5.33298e-006	3.78312e-006	0.000126684	7.62454e-022
N18	3.85737e-006	2.79001e-005	3.20944e-005	3.57381e-022
N19	9.87432e-006	0.000106993	0.0424479	3.94032e-015
N20	9.0101e-005	2.3449e-006	0.0322217	1.61851e-009
Dichroplus_conspersus	0.00371732	0.0138072	0.925427	4.81304e-009
N21	0.00208165	0.00639344	0.897776	5.55618e-007
N22	2.00718e-006	6.73108e-005	0.0273618	1.09667e-013
Dichroplus_exilis	4.21976e-008	9.56048e-007	0.000289744	0
Dichroplus_fuscus	4.21976e-008	9.56048e-007	0.000289744	0
Dichroplus_schulzi	0.000122128	0.000187737	0.0276516	0
Dichroplus_pratensis	0.00575094	1.11702	0.957649	0
N23	0.00126562	0.0248033	2.28838e-005	2.33532e-019
Dichroplus_democraticus	0.0118967	0.00950135	1.00647	5.23091e-010
Dichroplus_silveiraguidoi	8.64359e-005	1.97611	0.00022061	0
N24	0.00470167	0.0139955	0.988394	6.43875e-010
Dichroplus_elongatus	3.91266e-005	4.91298e-005	0.0117352	0
N25	1.08771e-006	0.00242462	0.0116576	1.43317e-014
Dichroplus_paraelongatus	0.00241367	2.89628e-007	7.76331e-005	0
Dichroplus_patruelis	5.0255e-011	0.997586	7.76331e-005	0
Chlorus_bolivianus	0.01768	1.14496	1.0216	1.02763e-010
