#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.211449
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.996424
Leiotettix_pulcher: 0.991003
Scotussa_daguerrei: 0.999487
Chlorus_bolivianus: 1.26598
Dichromatos_lilloanus: 0.82644
Ronderosia_sp: 0.94961
Leiotettix_flavipes: 0.996098
Dichroplus_silveiraguidoi: 1.99342
Dichroplus_pratensis: 1.05137
Dichroplus_patruelis: 0.998728
Dichroplus_vittatus: 1.19351
Tropidostethus_sp: 0.947344
Xyleus_laevipes: 0.952077
Total number of loss events: 14.5932
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N7: 0.619536
Chlorus_bolivianus: 0.589737
Dichromatos_lilloanus: 0.589737
N15: 0.552006
N16: 0.677978
Dichroplus_conspersus: 1.00001
Dichroplus_democraticus: 1.00113
Dichroplus_pratensis: 1
N22: 0.663045
N24: 0.613879
Dichroplus_maculipennis: 0.827072
Dichroplus_vittatus: 0.826819
Pseudoscopas_nigrigena: 0.894582
N28: 0.997893
N29: 0.995134
N32: 0.790355
N41: 0.936531
N43: 1.34322
Total number of duplication events: 18.4434
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 1.77758e-006
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00198806	0.00360689	0.318577	6.60284e-017
N3	3.67807e-005	2.33717e-005	0.0111175	6.62557e-020
N4	0.000649697	0.000653593	0.0163919	1.71774e-018
N5	0.000133779	0.000159889	0.00337779	6.05026e-020
N6	9.16688e-007	4.87652e-006	0.000455863	6.11113e-024
N7	2.46318e-007	0.000515026	0.619536	3.48087e-017
N8	5.31266e-005	0.000135366	0.174786	3.56823e-013
N9	2.62688e-005	0.00301578	0.149485	7.14067e-014
Atrachelacris_sp	0.00074152	0.996424	0.0562002	0
Scotussa_impudica	0.00452202	0.00201125	0.0562002	4.62184e-012
N10	0.00149878	0.0106522	0.204358	3.22843e-013
Leiotettix_pulcher	6.28439e-009	0.991003	0.00132704	0
Scotussa_lemniscata	0.0089998	3.18958e-006	0.00132704	0
Scotussa_daguerrei	0.0046411	0.999487	0.380472	5.38426e-014
N11	1.10011e-007	3.87966e-007	7.7458e-006	8.03223e-027
N12	9.37907e-008	1.8987e-007	0.221324	1.32814e-019
N13	1.84447e-007	0.0485781	0.180081	2.50756e-018
N14	3.85851e-007	0.122782	0.00642595	6.42489e-018
Chlorus_bolivianus	1.3893e-006	1.26598	0.589737	0
Dichromatos_lilloanus	0.0135422	0.82644	0.589737	0
N15	0.00319154	0.00468875	0.552006	3.6594e-009
Leptysma_sp	0.0506758	0.000274485	0.0459834	4.76605e-011
Ronderosia_sp	0.00116437	0.94961	0.0459833	0
N16	0.000610113	0.0039347	0.677978	5.45621e-012
Leiotettix_flavipes	0.00167181	0.996098	0.100091	0
Leiotettix_viridis	0.00449138	0.00113169	0.100091	2.27417e-011
N17	5.33562e-008	4.77547e-007	1.68556e-007	1.84018e-027
N18	7.87272e-008	9.28514e-005	1.98834e-009	2.46316e-029
N19	3.5083e-005	8.24846e-006	5.57002e-010	4.74451e-024
Dichroplus_conspersus	0.000840359	0.00160098	1.00001	3.84623e-011
N20	0.000128271	0.00662446	3.73524e-008	1.98999e-023
Dichroplus_democraticus	0.00485906	0.00166739	1.00113	1.43076e-011
Dichroplus_silveiraguidoi	5.55837e-006	1.99342	4.87767e-006	0
Dichroplus_pratensis	4.20933e-008	1.05137	1	0
N21	1.10508e-006	2.07488e-007	0.326429	5.8912e-017
N22	0.000600505	0.000903061	0.663045	2.85814e-013
Dichroplus_elongatus	1.21857e-005	2.95047e-006	0.0105256	0
N23	2.05881e-007	0.00126318	0.0103297	6.35079e-017
Dichroplus_paraelongatus	0.00127228	8.89217e-008	0.000195814	0
Dichroplus_patruelis	1.90553e-011	0.998728	0.000195814	0
N24	0.000582499	0.000670152	0.613879	4.22346e-013
N25	5.56192e-007	1.00229e-005	0.0596738	6.76804e-017
Dichroplus_exilis	9.0563e-010	1.47412e-008	1.7289e-005	0
Dichroplus_fuscus	9.0563e-010	1.47412e-008	1.7289e-005	0
Dichroplus_schulzi	0.000159596	0.000169068	0.0596911	0
