#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.303959
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.843986
Dichromatos_lilloanus: 0.843249
N10: 0.780657
Chlorus_bolivianus: 1.06108
Leiotettix_pulcher: 0.997461
Scotussa_daguerrei: 0.982943
Dichroplus_pratensis: 1.90217
Dichroplus_silveiraguidoi: 1.98539
Dichroplus_patruelis: 0.998853
Tropidostethus_sp: 0.999151
Leiotettix_flavipes: 1.0042
Dichroplus_vittatus: 1.43538
N40: 0.994129
Total number of loss events: 15.3071
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N6: 0.945214
N18: 0.646522
Dichroplus_democraticus: 1.00311
N21: 0.792873
Leiotettix_flavipes: 1
Dichroplus_maculipennis: 0.560556
Dichroplus_vittatus: 0.560556
Pseudoscopas_nigrigena: 0.84258
N31: 0.708171
N36: 0.592696
N43: 1.21188
Total number of duplication events: 13.2276
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 9.26308e-006
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00425573	0.00778514	0.207097	9.8175e-014
N3	0.0018961	0.00237443	0.0467003	1.56351e-014
N4	0.0004198	0.00049784	0.00495789	3.22558e-018
N5	2.50737e-007	1.51205e-006	4.6957e-005	6.86177e-024
N6	1.99256e-006	0.0162017	0.945214	3.25612e-019
N7	1.36579e-006	0.135585	0.0429734	8.1571e-014
N8	7.23166e-005	0.00284435	0.00210788	1.99531e-013
N9	0.00592103	0.00410588	0.00451792	1.09029e-009
Atrachelacris_sp	0.000186426	0.843986	0.00151859	0
Leiotettix_viridis	0.154992	0.00571914	0.00151859	0
Dichromatos_lilloanus	0.001582	0.843249	0.00603651	0
N10	4.95955e-005	0.780657	0.00565232	1.34062e-013
Chlorus_bolivianus	3.30381e-006	1.06108	0.00249569	0
Ronderosia_sp	0.00439891	0.0675341	0.00249569	0
N11	0.00282398	0.00408782	0.0518507	1.55701e-010
N12	0.0171499	0.000367334	0.00272689	3.23469e-010
N13	0.000151206	0.000123172	0.000193314	2.68858e-013
N14	0.000331288	0.00285948	2.03203e-005	8.10318e-019
Leiotettix_pulcher	5.28474e-013	0.997461	0	0
Marellia_remipes	0.00253865	5.16682e-009	4.11925e-009	0
Scotussa_lemniscata	0.000235066	0.000447518	2.03244e-005	0
Scotussa_impudica	0.000169814	0.00037131	0.000213639	0
Scotussa_daguerrei	0.000120776	0.982943	0.00294053	0
N15	5.28486e-007	1.04349e-006	4.3561e-006	6.8387e-024
N16	1.50827e-006	5.86562e-007	1.21588e-006	1.80306e-019
N17	5.16227e-006	1.53576e-005	1.62147e-007	3.09684e-021
N18	0.000225192	0.000247465	0.646522	8.06598e-011
Dichroplus_conspersus	0.00081866	0.00174862	0.353479	0
N19	0.000723191	0.0170734	0.27149	1.03662e-013
Dichroplus_pratensis	3.40941e-008	1.90217	0.0819887	0
Ommatolampis_sp	0.0144826	4.0489e-007	0.081226	0
N20	0.00043383	0.0149638	1.59014e-007	1.68983e-021
Dichroplus_democraticus	0.00898799	0.00475638	1.00311	0
Dichroplus_silveiraguidoi	2.96632e-005	1.98539	2.68386e-005	0
N21	3.72819e-005	2.70658e-005	0.792873	1.00598e-013
N22	0.000569371	0.00102707	0.200233	3.98911e-013
N23	0.000108332	0.000126072	0.00656675	1.11282e-014
Dichroplus_elongatus	0.000230118	0.00044947	0.000327193	0
N24	2.25469e-007	0.00114179	0.000315175	1.75816e-017
Dichroplus_paraelongatus	0.00125342	0.000106913	1.2018e-005	0
Dichroplus_patruelis	3.45556e-011	0.998853	1.2018e-005	0
Paulinia_acuminata	0.000121413	0.000375194	0.00689395	0
N25	0.00010819	0.000304523	0.165084	8.26202e-013
N26	0.000117224	0.000380446	0.0406957	1.78472e-014
N27	6.15978e-007	0.000836779	0.00119408	1.27799e-015
N28	0.00107252	0.0004458	0.000151756	2.55967e-014
Dichroplus_exilis	1.31454e-007	1.31347e-007	6.2508e-007	0
Dichroplus_fuscus	1.31454e-007	1.31347e-007	6.2508e-007	0
Tropidostethus_sp	9.75919e-008	0.999151	0.000152381	0
Dichroplus_schulzi	0.000134636	0.000359913	0.00134696	0
Ommexecha_sp	0.000570306	0.00145528	0.0420426	0
Leiotettix_flavipes	0.00840425	1.0042	1	0
N29	2.4094e-005	3.89604e-005	0.157474	8.7827e-016
N30	0.000986136	0.015323	0.282024	5.84775e-012
Dichroplus_maculipennis	0.0131388	0.00309966	0.560556	0
Dichroplus_vittatus	1.47694e-006	1.43538	0.560556	0
Pseudoscopas_nigrigena	0.00222326	0.00422738	0.84258	1.08437e-010
N31	0.000640442	0.00143222	0.708171	2.0467e-010
N32	0.00109708	0.00214889	0.273115	8.4936e-011
Dichromorpha_sp	0.0002778	0.000614099	0.023725	0
N33	0.00012386	0.000438881	0.0231986	1.13169e-013
Hyalopteryx_rufipennis	0.000108101	0.000111223	0.000526443	0
Leptysma_sp	0.000108101	0.000111223	0.000526443	0
N34	0.000845079	0.00207621	0.249656	1.15701e-010
N35	0.00055742	0.000938484	0.047104	9.12575e-014
Schistocerca_cancellata	3.25462e-008	6.92638e-007	7.99338e-005	0
Schistocerca_pallens	3.25462e-008	6.92638e-007	7.99338e-005	0
Schistocerca_flavofasciata	0.000569195	0.00127935	0.0471839	0
N36	0.00131034	0.00225394	0.592696	2.26349e-008
N37	0.000168235	0.000358108	0.0997259	1.36367e-009
N38	0.000346687	0.000734315	0.173987	1.06636e-010
N39	0.000625756	0.00846137	0.134163	1.66745e-010
N40	0.00243596	0.994129	0.0511001	7.71361e-016
Diponthus_sp	4.2018e-010	2.40728e-006	0	0
Xyleus_laevipes	4.2018e-010	2.40728e-006	0	0
Xyleus_insignis	0.00835003	0.00410049	0.0511001	2.69565e-010
Prionolopha_serrata	0.00228755	0.0103278	0.185263	2.01812e-009
Xyleus_modestus	0.00514336	0.0201607	0.35925	9.08825e-010
N41	0.00458424	0.0180649	0.454859	2.35573e-009
Zoniopoda_hempeli	0.000118135	0.000434337	0.00411855	0
N42	0.000110238	0.000191915	0.00394024	7.08066e-014
Zoniopoda_omnicolor	0.000107366	0.000109251	0.000178309	0
Zoniopoda_tarsata	0.000107366	0.000109251	0.000178309	0
N43	0.0203643	0.0776303	1.21188	9.23108e-006
Trimerotropis_ochraceipennis	0.0007301	0.00345402	0.0507793	0
Trimerotropis_pallidipennis	0.0007301	0.00345402	0.0507793	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.012755	1.01338	1.25513	1.09069e-009
Leiotettix_viridis	0.167561	0.175115	1.25513	1.09069e-009
Dichromatos_lilloanus	0.00822956	1.00854	1.25513	3.94915e-013
Chlorus_bolivianus	0.00662814	2.00419	1.25514	3.29447e-013
Ronderosia_sp	0.0110237	1.01064	1.25514	3.29447e-013
Leiotettix_pulcher	0.0270303	1.03176	1.25881	4.79553e-010
Marellia_remipes	0.0295689	0.0342984	1.25881	4.79553e-010
Scotussa_lemniscata	0.0269341	0.0318864	1.25881	4.79553e-010
Scotussa_impudica	0.0267176	0.031687	1.25881	4.79284e-010
Scotussa_daguerrei	0.00951863	1.01389	1.25881	1.55815e-010
Dichroplus_conspersus	0.00762293	0.012672	1.25881	8.07736e-011
Dichroplus_pratensis	0.0075275	1.93017	1.25881	8.08773e-011
Ommatolampis_sp	0.0220101	0.0279972	1.25805	8.08773e-011
Dichroplus_democraticus	0.0160009	0.0303961	1.26192	1.13813e-013
Dichroplus_silveiraguidoi	0.00704257	2.01103	0.258835	1.13813e-013
Dichroplus_elongatus	0.00751902	0.0122902	1.25881	6.2445e-013
Dichroplus_paraelongatus	0.00854255	0.0130895	1.25881	6.24468e-013
Dichroplus_patruelis	0.00728913	1.01184	1.25881	6.24468e-013
Paulinia_acuminata	0.00730198	0.0120899	1.25881	6.13322e-013
Dichroplus_exilis	0.00790988	0.0126553	1.25881	1.08534e-012
Dichroplus_fuscus	0.00790988	0.0126553	1.25881	1.08534e-012
Tropidostethus_sp	0.00683733	1.01136	1.25881	1.05974e-012
Dichroplus_schulzi	0.00697125	0.0117325	1.25881	1.05846e-012
Ommexecha_sp	0.0072897	0.0124474	1.25881	1.04061e-012
Leiotettix_flavipes	0.0149767	1.01486	1.25881	1.13813e-013
Dichroplus_maculipennis	0.0207206	0.0291191	1.25881	5.96244e-012
Dichroplus_vittatus	0.00758334	1.4614	1.25881	5.96244e-012
Pseudoscopas_nigrigena	0.00881898	0.0149237	1.25881	1.08551e-010
Dichromorpha_sp	0.00816716	0.0143548	1.25881	2.8972e-010
Hyalopteryx_rufipennis	0.00812132	0.0142908	1.25881	2.89833e-010
Leptysma_sp	0.00812132	0.0142908	1.25881	2.89833e-010
Schistocerca_cancellata	0.0081948	0.0146072	1.25881	3.20577e-010
Schistocerca_pallens	0.0081948	0.0146072	1.25881	3.20577e-010
Schistocerca_flavofasciata	0.00820655	0.0149473	1.25881	3.20486e-010
Diponthus_sp	0.00914272	1.01372	1.25877	2.4272e-008
Xyleus_laevipes	0.00914272	1.01372	1.25877	2.4272e-008
Xyleus_insignis	0.0150568	0.0236934	1.25877	2.45416e-008
Prionolopha_serrata	0.00836855	0.0214593	1.25877	2.61234e-008
Xyleus_modestus	0.0108777	0.0305579	1.25877	2.49075e-008
Zoniopoda_hempeli	0.0102685	0.0285383	1.25877	2.49907e-008
Zoniopoda_omnicolor	0.0103679	0.0284052	1.25877	2.49908e-008
Zoniopoda_tarsata	0.0103679	0.0284052	1.25877	2.49908e-008
Trimerotropis_ochraceipennis	0.0210944	0.0810843	1.26266	9.23108e-006
Trimerotropis_pallidipennis	0.0210944	0.0810843	1.26266	9.23108e-006
