Phylum,Sub-Phylum,Class,Order,Family,Genus,Species,C-value,Mbp,Chrom.num,Method,FromGsizeDataBase,AlreadyInGsizeDataBase
Arthropoda,Hexapoda,Insecta,Blattaria,Blaberidae,Blaberus,Blaberus fuscus,3.36,3286.08,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Blattaria,Blaberidae,Blaptica,Blaptica dubia,4.54,4440.12,,FIA,Y,Y
Arthropoda,Hexapoda,Insecta,Blattaria,Blaberidae,Nauphoeta,Nauphoeta cinerea,5.15,5036.70,,FIA,Y,Y
Arthropoda,Hexapoda,Insecta,Blattaria,Blatellidae,Blatella,Blatella nipponica,2.13,2083.14,,FIA,Y,Y
Arthropoda,Hexapoda,Insecta,Blattaria,Blattellidae,Blattella,Blattella germanica,2.00,1956.00,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Blattaria,Blattidae,Blatta,Blatta orientalis,3.03,2963.34,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Blattaria,Blattidae,Periplaneta,Periplaneta americana,2.72,2660.16,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Blattaria,Cryptocercidae,Cryptocercus,Cryptocercus kyebangensis,1.16,1134.48,,FIA,Y,Y
Arthropoda,Hexapoda,Insecta,Blattaria,Cryptocercidae,Cryptocercus,Cryptocercus punctulatus,1.32,1290.96,,FIA,Y,Y
Arthropoda,Hexapoda,Insecta,Blattodea,Blaberidae,Panchlora,Panchlora nivea,1.52,1486.56,,FCM,Y,Y
Arthropoda,Hexapoda,Insecta,Blattodea,Blattellidae,Parcoblatta,Parcoblatta pensylvanica,1.05,1026.90,,FCM,Y,Y
Arthropoda,Hexapoda,Insecta,Blattodea,Blattidae,Periplaneta,Periplaneta americana,3.41,3334.98,,FCM,Y,Y
Arthropoda,Hexapoda,Insecta,Dermaptera,Labiduridae,Labidura,Labidura riparia,0.53,518.34,,FCM,Y,Y
Arthropoda,Hexapoda,Insecta,Embiidina,Oligotomidae,Oligotoma,Oligotoma saundersii,2.66,2601.48,,FCM,Y,Y
Arthropoda,Hexapoda,Insecta,Isoptera,Hodotermitidae,Hodotermes,Hodotermes mossambicus,1.00,978.00,,FIA,Y,Y
Arthropoda,Hexapoda,Insecta,Isoptera,Kalotermitidae,Glyptotermes,Glyptotermes fuscus,1.56,1525.68,,FIA,Y,Y
Arthropoda,Hexapoda,Insecta,Isoptera,Kalotermitidae,Glyptotermes,Glyptotermes nakajimai,0.89,870.42,,FIA,Y,Y
Arthropoda,Hexapoda,Insecta,Isoptera,Kalotermitidae,Neotermes,Neotermes koshunensis,1.87,1828.86,,FIA,Y,Y
Arthropoda,Hexapoda,Insecta,Isoptera,Mastotermitidae,Mastotermes,Mastotermes darwiniensis,1.30,1271.40,,FIA,Y,Y
Arthropoda,Hexapoda,Insecta,Isoptera,Rhinotermitidae,Coptotermes,Coptotermes formosanus,0.93,909.54,,FCM,Y,Y
Arthropoda,Hexapoda,Insecta,Isoptera,Rhinotermitidae,Coptotermes,Coptotermes formosanus,0.86,841.08,,FIA,Y,Y
Arthropoda,Hexapoda,Insecta,Isoptera,Rhinotermitidae,Reticulitermes,Reticulitermes flavipes,1.07,1046.46,,FCM,Y,Y
Arthropoda,Hexapoda,Insecta,Isoptera,Rhinotermitidae,Reticulitermes,Reticulitermes speratus kyushuensis,1.07,1046.46,,FIA,Y,Y
Arthropoda,Hexapoda,Insecta,Isoptera,Rhinotermitidae,Reticulitermes,Reticulitermes speratus speratus,1.01,987.78,,FIA,Y,Y
Arthropoda,Hexapoda,Insecta,Isoptera,Rhinotermitidae,Reticulitermes,Reticulitermes yaeyamanus,1.00,978.00,,FIA,Y,Y
Arthropoda,Hexapoda,Insecta,Isoptera,Termitidae,Nasutitermes,Nasutitermes takasagoensis,1.68,1643.04,,FIA,Y,Y
Arthropoda,Hexapoda,Insecta,Isoptera,Termitidae,Odontotermes,Odontotermes formosanus,1.48,1447.44,,FIA,Y,Y
Arthropoda,Hexapoda,Insecta,Isoptera,Termitidae,Pericapritermes,Pericapritermes nitobei,1.90,1858.20,,FIA,Y,Y
Arthropoda,Hexapoda,Insecta,Isoptera,Termopsidae,Hodotermopsis,Hodotermopsis sjostedti,1.27,1242.06,,FIA,Y,Y
Arthropoda,Hexapoda,Insecta,Isoptera,Termopsidae,Zootermopsis,Zootermopsis nevadensis,0.58,567.24,,FIA,Y,Y
Arthropoda,Hexapoda,Insecta,Mantodea,Hymenopodidae,Acromantis,Acromantis japonica,4.53,4430.34,,FIA,Y,Y
Arthropoda,Hexapoda,Insecta,Mantodea,Mantidae,Litaneutria,Litaneutria sp.,3.32,3246.96,,FCM,Y,Y
Arthropoda,Hexapoda,Insecta,Mantodea,Mantidae,Stagmomantis,Stagmomantis carolina,3.95,3863.10,,FCM,Y,Y
Arthropoda,Hexapoda,Insecta,Mantodea,Mantidae,Statilia,Statilia maculata,3.05,2982.90,,FIA,Y,Y
Arthropoda,Hexapoda,Insecta,Mantodea,Mantidae,Tenodera,Tenodera aridifolia,2.92,2855.76,,FIA,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Acrida,Acrida conica,10.82,10581.96,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Acrida,Acrida conica,12.55,12273.90,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Ailopus,Ailopus thalassinus,6.68,6533.04,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Austroicetes,Austroicetes pusilla,6.29,6151.62,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Caledia,Caledia captiva,10.90,10660.20,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Campylacantha,Campylacantha olivacea,6.57,6425.46,,FCM,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Chorthippus,Chorthippus apicalis,12.61,12332.58,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Chorthippus,Chorthippus binotatus binotatus,10.91,10669.98,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Chorthippus,Chorthippus brunneus,8.55,8361.90,18.00,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Chorthippus,Chorthippus brunneus,9.46,9251.88,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Chorthippus,Chorthippus brunneus,10.15,9926.70,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Chorthippus,Chorthippus cf. binotatus,10.35,10122.30,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Chorthippus,Chorthippus dorsatus,8.34,8156.52,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Chorthippus,Chorthippus jacobsi,10.84,10601.52,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Chorthippus,Chorthippus jucundus,11.88,11618.64,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Chorthippus,Chorthippus longicornis,8.58,8391.24,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Chorthippus,Chorthippus nevadensis,11.53,11276.34,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Chorthippus,Chorthippus parallelus,12.31,12039.18,18.00,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Chorthippus,Chorthippus parallelus,13.36,13066.08,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Chorthippus,Chorthippus parallelus,13.83,13525.74,,NS,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Chorthippus,Chorthippus parallelus,14.72,14396.16,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Chorthippus,Chorthippus scalaris,14.72,14396.16,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Chorthippus,Chorthippus vagans,8.64,8449.92,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Chorthippus,Chorthippus vagans,8.68,8489.04,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Chortoicetes,Chortoicetes terminifera,5.99,5858.22,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Chortoicetes,Chortoicetes terminifera,7.22,7061.16,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Cryptobothrus,Cryptobothrus chrysophorus,9.37,9163.86,24.00,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Eyprepocnemis,Eyprepocnemis plorans,9.70,9486.60,,FIA,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Gastrimargus,Gastrimargus musicus,9.01,8811.78,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Gomphocerus,Gomphocerus sibiricus,8.95,8753.10,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Heteracris,Heteracris adspersus,6.34,6200.52,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Humbe,Humbe tenuicornis,8.21,8029.38,24.00,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Locusta,Locusta migratoria,5.28,5163.84,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Locusta,Locusta migratoria,5.47,5349.66,24.00,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Locusta,Locusta migratoria,6.09,5956.02,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Locusta,Locusta migratoria,6.27,6132.06,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Locusta,Locusta migratoria,6.35,6210.30,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Locusta,Locusta migratoria,6.44,6298.32,,FCM,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Macrotona,Macrotona australis,8.49,8303.22,24.00,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus differentialis,3.84,3755.52,24.00,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus differentialis,6.23,6092.94,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus differentialis,7.03,6875.34,,FCM,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sanguinipes,5.83,5701.74,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Myrmeleotettix,Myrmeleotettix maculatus,12.14,11872.92,18.00,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Myrmeleotettix,Myrmeleotettix maculatus,12.66,12381.48,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Myrmeleotettix,Myrmeleotettix maculatus,13.38,13085.64,,NS,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Omocestus,Omocestus viridulus,13.16,12870.48,18.00,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Peakesia,Peakesia hospita,10.47,10239.66,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Phaulacridium,Phaulacridium vittatum,10.73,10493.94,24.00,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Podisma,Podisma pedestris,16.93,16557.54,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Schistocerca,Schistocerca cancellata,9.49,9281.22,24.00,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Schistocerca,Schistocerca gregaria,8.55,8361.90,24.00,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Schistocerca,Schistocerca gregaria,8.71,8518.38,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Schistocerca,Schistocerca gregaria,8.96,8762.88,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Schistocerca,Schistocerca paranensis,8.63,8440.14,24.00,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Schizobothrus,Schizobothrus flavovittatus,7.50,7335.00,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Stauroderus,Stauroderus scalaris,16.34,15980.52,,NS,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Valanga,Valanga irregularis,9.44,9232.32,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Eumasticidae,Warramaba,Warramaba virgo,3.75,3667.50,,NS,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Eumasticidae,Warramaba,Warramaba virgo,4.00,3912.00,16.00,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Gryllacrididae,Ceuthophilus,Ceuthophilus stygius,9.55,9339.90,,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Gryllidae,Acheta,Acheta domesticus,2.00,1956.00,12.00,FD,Y,Y
Arthropoda,Hexapoda,Insecta,Orthoptera,Gryllidae,Acheta,Acheta domesticus,2.00,1956.00,,FD,Y,Y
