Num,Species,Index
1,Pseudacanthops sp,3469.316394
2,Pseudomiopteryx infuscata,4518.821351
3,Liturgusa maya,3399.569676
4,Liturgusa cursor,3400.525038
5,Cheddikulama straminea,4325.542631
6,Bolbe pallida,4215.406242
7,Cliomantis cornuta,4215.406242
8,Polyphaga aegyptiaca,5368.498525
9,Lamproblatta albipalpus,4758.417612
10,Mastotermes darwiniensis,4057.995693
11,Porotermes adamsoni,4736.795509
12,Stolotermes sp,3453.174803
13,Zootermopsis angusticollis,2973.60876
14,Zootermopsis nevadensis,2973.60876
15,Glyptotermes brevicornis,3359.371306
16,Glyptotermes iridipennis,3361.306911
17,Bifiditermes improbus,3170.903662
18,Neotermes insularis,3126.097037
19,Cryptotermes primus,2610.916684
20,Cryptotermes queenslandis,2323.962314
21,Cryptotermes austrinus,2329.849295
22,Cryptotermes brevis,3036.488754
23,Cryptotermes cynocephalus,2784.405875
24,Cryptotermes secundus,2355.845791
25,Cryptotermes dudleyi,2357.896518
26,Procryptotermes australiensis,2712.417235
27,Cryptotermes domesticus,2927.409917
28,Incisitermes sp,3760.150535
29,Kalotermes flavicollis,3639.835801
30,Schedorhinotermes lamanianus,3591.319245
31,Coptotermes acinaciformis,3562.130548
32,Reticulitermes lucifugus,2654.893664
33,Reticulitermes urbis,2762.258681
34,Reticulitermes flavipes,2942.892398
35,Macrotermes bellicosus,3440.195612
36,Odontotermes sp,3757.797481
37,Pseudacanthotermes militaris,3305.276658
38,Microtermes sp,3711.428254
39,Drepanotermes septentrionalis,2740.730751
40,Amitermes parvus,2724.239979
41,Amitermes germanus,2695.582697
42,Amitermes darwini,2741.834888
43,Macrognathotermes sunteri,3182.39899
44,Ephelotermes taylori,3051.986066
45,Lophotermes septentrionalis,3469.030021
46,Ephelotermes melachoma,3045.807893
47,Unguitermes sp,3455.718943
48,Tuberculitermes bycanistes,3190.306144
49,Nasutitermes longipennis,3402.284888
50,Tumulitermes pastinator,3094.053451
51,Nasutitermes graveolus,2839.230939
52,Nasutitermes triodiae,2860.917481
53,Crenetermes albotarsalis,3330.335481
54,Procubitermes sp,3835.833667
55,Cubitermes sp,4013.099278
56,Pericapritermes sp,4343.33915
57,Thoracotermes macrothorax,3406.923308
58,Microcerotermes boreus,3088.43362
59,Microcerotermes nervosus,3088.43362
60,Protermes sp,3711.879992
61,Cryptocercus primarius,3480.75197
62,Cryptocercus relictus,3453.531441
63,Cryptocercus punctulatus,3967.151974
64,Arenivaga sp,5926.934343
65,Pelmatosilpha sp,4455.59876
66,Deropeltis erythrocephala,3790.761065
67,Periplaneta brunnea,3006.071353
68,Periplaneta americana,3103.911767
69,Periplaneta japonica,4389.859711
70,Periplaneta fuliginosa,2629.129905
71,Periplaneta australasiae,2641.744186
72,Blatta orientalis,3260.785578
73,Eurycotis floridana,4064.965115
74,Parcoblatta sp,5213.77951
75,Pseudomops sp,5094.527982
76,Lobopterella dimidiatipes,4039.880838
77,Symplocodes sp,3397.643148
78,Hemithyrsocera sp,3407.39911
79,Margattea sp,4312.480398
80,Supella longipalpa,4185.377326
81,Panchlora viridis,4390.167369
82,Ectobius pallidus,4371.835837
83,Symploce sp,3680.068517
84,Xestoblatta sp,3806.828075
85,Panchlora nivea,4523.703785
86,Rhabdoblatta sp,3955.499768
87,Blattella bisignata,2997.592888
88,Blattella germanica,2987.292519
89,Loboptera decipiens,3566.674792
90,Blattella sauteri,3406.407151
91,Diploptera punctata,3921.603568
92,Galiblatta sp,3975.333489
93,Pycnoscelus surinamensis,3645.706501
94,Nauphoeta cinerea,3494.608951
95,Epilampra sp,4144.077392
96,Panesthia sp,4899.574314
97,Macropanesthia rhinoceros,3664.468315
98,Lanxoblatta emarginata,2904.053904
99,Phoetalia sp,2968.336531
100,Gromphadorhina portentosa,3289.260493
101,Eublaberus distanti,2415.43197
102,Eublaberus posticus,2410.990253
103,Archimandrita tessellata,2385.207348
104,Byrsotria fumigata,2723.20531
105,Blaberus giganteus,2039.063558
106,Blaberus discoidalis,2044.504758
107,Karoophasma biedouwense,4828.23353
108,Grylloblatta sp,4145.938328
109,Galloisiana nipponensis,4145.938328
110,Calineuria sp,4387.356355
111,Perlodes sp,4387.356355
112,Gryllotalpa sp,5210.419484
113,Isoperla grammatica,3938.711165
114,Chaetospania sp,3151.119486
115,Nala lividipes,3214.077457
116,Gonolabis sp,2789.165516
117,Hemimerus sp,3700.198439
118,Labidura riparia,3249.206252
119,Nesogaster sp,2744.909119
120,Arixenia esau,3821.696072
121,Anisolabis maritima,3765.911823
122,Anechura sp,3162.803972
123,Forficula auricularia,3162.803972
124,Euborellia moesta,3830.323876
125,Perla abdominalis,3381.600592
126,Perla marginata,3380.487303
127,Metaleptea sp,5842.292241
128,Trimerotropis ochraceipennis,4402.619578
129,Trimerotropis pallidipennis,4402.619578
130,Marellia remipes,3855.660403
131,Ommexecha sp,3883.032032
132,Tropidostethus sp,3852.17265
133,Paulinia acuminata,3945.717737
134,Pseudoscopas nigrigena,4463.207248
135,Nahuelia rubriventris,5350.158724
136,Scotussa daguerrei,3980.312241
137,Scotussa impudica,3826.706606
138,Leiotettix pulcher,3111.477271
139,Scotussa lemniscata,3107.721269
140,Atrachelacris sp,4568.53022
141,Dichromatos lilloanus,3625.320423
142,Chlorus bolivianus,3832.678136
143,Ronderosia sp,3491.447494
144,Dichroplus silveiraguidoi,3139.594728
145,Dichroplus pratensis,3463.236045
146,Dichroplus conspersus,3306.637868
147,Dichroplus elongatus,3073.296337
148,Dichroplus paraelongatus,2660.308133
149,Dichroplus patruelis,2659.709798
150,Dichroplus fuscus,3031.662396
151,Dichroplus exilis,2987.909307
152,Dichroplus schulzi,3335.146036
153,Leiotettix viridis,4377.005132
154,Leiotettix flavipes,3618.697047
155,Dichroplus maculipennis,3928.957151
156,Dichroplus vittatus,3976.748303
157,Dichroplus democraticus,4624.82359
158,Neopedies brunneri,4887.486278
159,Xyleus insignis,3588.645551
160,Xyleus laevipes,3588.645551
161,Chromacris speciosa,5040.91233
162,Zoniopoda tarsata,4017.708129
163,Zoniopoda hempeli,4003.434973
164,Zoniopoda omnicolor,4035.958853
165,Prionolopha serrata,4432.248512
166,Diponthus sp,4299.414858
167,Xyleus modestus,3736.958725
168,Atacamacris diminuta,4939.490639
169,Schistocerca flavofasciata,3795.162294
170,Schistocerca pallens,3267.157003
171,Schistocerca cancellata,3267.157003
172,Ommatolampis sp,4354.810933
173,Leptysma sp,4358.214668
