,,,,,Evidence XO-XY comparison,Evidence XO or XY and multi-XY,,,
Order,Genus,XO,XY,multi-XY,,,,,
Blattodea,Cryptotermes(6),,23,16.4,,fusion,,,
Dermaptera,Forficula(14),,11,10.8,,fusion,,,
,Nala(3),,17.5,17,,fusion,,,
,Nesogaster(2),10,,9,,fusion,,,
Mantodea,Deiphobe(2),9,,12,,fission,,,
Orthoptera,Aleuas(6),9,9.2,,-,,,,
,Dichroplus(35),10.74,8.71,9,fusion,fission,,,
,Diponthus(7),10.5,10,,fusion,,,,
,Eurotettix(5),,10,9,,fusion,,,
,Gryllotalpa(5),9.67,5,,fusion,,,,
,Isophya(25),15,14,,fusion,,,,
,Leiotettix(10),11,8,5.5,fusion,fusion,,,
,Scotussa(8),10.6,8.5,9,fusion,fission,,,
,Scyllina(3),11,10,,fusion,,,,
,Tetrixocephalus(5),11,10,,fusion,,,,
,Xyleus(9),11,10,,fusion,,,,
,Zoniopoda(6),11,10,,fusion,,,,
Phasmatodea,Didymuria(11),17.6,14.67,,fusion,,,,
,Isagoras(3),18,16,,fusion,,,,
,Leptynia(5),18.25,17,,fusion,,,,
,Podacanthus(3),17,13,,fusion,,,,
,Prisopus(2),24,13,,fusion,,,,
Plecoptera,Perla(7),9.5,4,11.75,fusion,fission,,,
